,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,杜进涛,  主治医师,外科,头颈外科,四川大学华西医院,10.0,941,,￥150,
1,陈飞,  主任医师,外科,头颈外科,四川大学华西医院,10.0,236,,￥60,
2,姚晓峰,  副主任医师,外科,头颈外科,天津市肿瘤医院,9.9,306,,￥50,
3,祝江才,  副主任医师,外科,头颈外科,上海交通大学附属第一人民医院,9.9,3009,,￥50,
4,陈请国,  副主任医师,外科,头颈外科,华中科技大学同济医学院附属同济医院,9.9,301,,￥70,
5,林凌,  副主任医师,外科,头颈外科,武汉市中心医院南京路院区,10.0,1690,,￥32,￥70
6,刘吉峰,  副主任医师,外科,头颈外科,四川大学华西医院,9.9,385,,￥50,￥100
7,张克君,  主任医师,外科,头颈外科,青岛大学附属医院黄岛院区,9.7,645,专家团队,￥120,￥100
8,周佳青,  主任医师,外科,头颈外科,上海交通大学医学院附属仁济医院西院,9.9,2122,,￥100,
9,袁分钱,  主治医师,外科,头颈外科,江西省肿瘤医院,10.0,707,,￥99,
10,王家东,  主任医师,外科,头颈外科,上海交通大学医学院附属仁济医院东院,9.9,1454,,￥100,
11,官青,  副主任医师,外科,头颈外科,复旦大学附属肿瘤医院徐汇院区,10.0,740,,￥100,
12,张翔宇,  主治医师,外科,头颈外科,四川省肿瘤医院,10.0,84,,￥20,
13,孙团起,  副主任医师,外科,头颈外科,复旦大学附属肿瘤医院徐汇院区,9.9,4683,专家团队,￥200,
14,刘治超,  主治医师,外科,头颈外科,山东省第二人民医院（山东省耳鼻喉医院）,10.0,85,,￥20,
15,王卓颖,  主任医师,外科,头颈外科,上海交通大学医学院附属仁济医院西院,9.8,1616,,￥399,
16,王蕴珺,  副主任医师,外科,头颈外科,复旦大学附属肿瘤医院徐汇院区,10.0,73,,￥80,
17,任建君,  主治医师,外科,头颈外科,四川大学华西医院,10.0,34,,￥50,
18,安勇,  副主任医师,外科,头颈外科,复旦大学附属肿瘤医院徐汇院区,9.8,158,,￥200,
19,左良,  副主任医师,外科,头颈外科,湖南省肿瘤医院,10.0,276,,￥30,
20,孙文海,  主任医师,外科,头颈外科,青岛大学附属医院黄岛院区,10.0,2351,专家团队,￥100,
21,魏文俊,  副主任医师,外科,头颈外科,复旦大学附属肿瘤医院徐汇院区,10.0,853,,￥150,
22,张诠,  主任医师,外科,头颈外科,中山大学附属肿瘤医院,10.0,38,,￥500,
23,高尚,  副主任医师,外科,头颈外科,上海交通大学附属第一人民医院,9.8,14,,￥80,
24,谢李,  副主任医师,外科,头颈外科,湖南省肿瘤医院,,4,专家团队,￥49,
25,吴宇,  副主任医师,外科,头颈外科,福建省肿瘤医院,,2,,￥80,
26,陈杰,  主任医师,外科,头颈外科,湖南省肿瘤医院,9.9,690,专家团队,￥50,
27,孙国华,  副主任医师,外科,头颈外科,复旦大学附属肿瘤医院徐汇院区,9.8,2152,专家团队,￥200,￥200
28,徐雅男,  副主任医师,外科,头颈外科,上海交通大学医学院附属仁济医院东院,10.0,2406,,￥60,￥200
29,彭小伟,  主任医师,外科,头颈外科,湖南省肿瘤医院,9.6,112,专家团队,￥79,￥100
30,李润元,  主治医师,外科,头颈外科,内蒙古自治区肿瘤医院,,4,,￥50,
31,鹿亮亮,  主治医师,外科,头颈外科,沈阳市第六人民医院沈阳市传染病医院,,2,,￥20,
32,伏桂明,  主治医师,外科,头颈外科,四川省肿瘤医院,10.0,623,,￥30,
33,董安兵,  副主任医师,外科,头颈外科,青岛大学附属医院黄岛院区,10.0,76,,￥15,
34,周俊年,  副主任医师,外科,头颈外科,甘肃省武威肿瘤医院,10.0,31,,￥80,￥60
35,费梦嘉,  主治医师,外科,头颈外科,上海交通大学医学院附属仁济医院东院,10.0,119,,￥33,
36,陈隽,  主治医师,外科,头颈外科,上海交通大学医学院附属仁济医院东院,9.9,201,,￥50,
37,王玥,  主任医师,外科,头颈外科,江苏省肿瘤医院,9.6,31,,￥300,
38,陈林,  主治医师,外科,头颈外科,山东省第二人民医院（山东省耳鼻喉医院）,,2,,￥20,
39,孙继兵,  主治医师,外科,头颈外科,山东省第二人民医院（山东省耳鼻喉医院）,10.0,6,,￥20,
40,崔鹏,  副主任医师,外科,头颈外科,山东省第二人民医院（山东省耳鼻喉医院）,10.0,10,,￥20,
41,王静,  副主任医师,外科,头颈外科,辽宁省肿瘤医院,10.0,60,,￥20,
42,李静娟,  主治医师,外科,头颈外科,安阳市肿瘤医院,,1,,￥30,
43,安树才,  主任医师,外科,头颈外科,青岛大学附属医院黄岛院区,9.9,2723,专家团队,￥100,
44,王珏儒,  主任医师,外科,头颈外科,青岛大学附属医院黄岛院区,9.7,212,专家团队,￥50,￥200
45,史荣亮,  副主任医师,外科,头颈外科,复旦大学附属肿瘤医院徐汇院区,9.8,745,专家团队,￥200,￥499
46,向俊,  副主任医师,外科,头颈外科,复旦大学附属肿瘤医院徐汇院区,9.8,692,,￥200,
47,王建彪,  副主任医师,外科,头颈外科,浙江大学医学院附属邵逸夫医院,9.9,77,,￥39,￥1000
48,龚靖淋,  主治医师,外科,头颈外科,重庆大学附属肿瘤医院,10.0,35,,￥30,
49,华辉,  主任医师,外科,头颈外科,青岛大学附属医院黄岛院区,9.9,159,专家团队,￥50,
50,钟兵,  主治医师,外科,头颈外科,四川大学华西医院,,1,,￥100,
51,刘方舟,  主任医师,外科,头颈外科,江苏省肿瘤医院,9.4,117,,￥80,
52,胡杰,  主治医师,外科,头颈外科,湖南省肿瘤医院,9.9,146,,￥10,
53,李晋芸,  副主任医师,外科,头颈外科,湖南省肿瘤医院,9.4,76,,￥100,
54,万全鑫,  主治医师,外科,头颈外科,四川省肿瘤医院,10.0,424,,￥20,
