,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,杨泉林,  主治医师,外科,心血管外科,复旦大学附属中山医院,10.0,1094,,￥30,
1,赵东,  副主任医师,外科,心血管外科,复旦大学附属中山医院,9.8,463,,￥80,
2,胡晓鹏,  主任医师,外科,心血管外科,中国医学科学院阜外医院,10.0,891,,￥149,￥1000
3,过常发,  副主任医师,外科,心血管外科,复旦大学附属中山医院,9.8,250,,￥200,￥500
4,然鋆,  副主任医师,外科,心血管外科,中国医学科学院阜外医院,10.0,1084,,￥30,￥50
5,许刚,  主任医师,外科,心血管外科,广东省人民医院,9.9,183,,￥60,
6,姜文剑,  主任医师,外科,心血管外科,首都医科大学附属北京安贞医院,,2,,￥50,
7,胡志伟,  主任医师,外科,心血管外科,华中科技大学同济医学院附属协和医院,9.8,63,专家团队,￥80,
8,洪涛,  主任医师,外科,心血管外科,复旦大学附属中山医院,9.8,1022,,￥150,
9,季强,  副主任医师,外科,心血管外科,复旦大学附属中山医院,9.9,712,,￥30,
10,杨成,  副主任医师,外科,心血管外科,复旦大学附属中山医院,9.7,181,,￥200,￥120
11,王文硕,  主治医师,外科,心血管外科,复旦大学附属中山医院,,2,,￥108,
12,王哲,  主任医师,外科,心血管外科,上海交通大学医学院附属瑞金医院,9.9,420,,￥60,￥120
13,念辉,  主治医师,外科,心血管外科,复旦大学附属中山医院,,4,,￥100,
14,何晓敏,  副主任医师,外科,心血管外科,上海儿童医学中心,10.0,266,,￥30,
15,孙晓宁,  主任医师,外科,心血管外科,复旦大学附属中山医院,9.8,987,专家团队,￥300,
16,刘欢,  副主任医师,外科,心血管外科,复旦大学附属中山医院,,3,,￥100,
17,芮璐,  副主任医师,外科,心血管外科,中国医学科学院阜外医院,10.0,34,,￥59,
18,朱海龙,  副主任医师,外科,心血管外科,西京医院,9.9,119,专家团队,￥60,
19,史嘉玮,  主任医师,外科,心血管外科,华中科技大学同济医学院附属协和医院,9.9,77,专家团队,￥30,
20,周红梅,  主任医师,外科,心血管外科,武汉亚洲心脏病医院,9.9,1386,,￥30,
21,杨建业,  副主任医师,外科,心血管外科,华中科技大学同济医学院附属同济医院,10.0,124,,￥30,
22,杨兆华,  副主任医师,外科,心血管外科,复旦大学附属中山医院,10.0,179,专家团队,￥200,
23,杨秀滨,  主任医师,外科,心血管外科,首都医科大学附属北京安贞医院,10.0,160,,￥150,￥500
24,高华炜,  副主任医师,外科,心血管外科,中国医学科学院阜外医院,9.6,75,,￥60,￥150
25,张芃,  副主任医师,外科,心血管外科,中国医学科学院阜外医院,10.0,181,,￥200,￥50
26,刘琛,  副主任医师,外科,心血管外科,复旦大学附属中山医院,9.9,559,,￥200,￥300
27,杨守国,  副主任医师,外科,心血管外科,复旦大学附属中山医院,9.8,655,,￥150,￥200
28,刘兴荣,  主任医师,外科,心血管外科,北京协和医院,9.9,99,,,￥200
29,孙永丰,  副主任医师,外科,心血管外科,华中科技大学同济医学院附属协和医院,10.0,15,,￥60,
30,杨腾蛟,  主治医师,外科,心血管外科,中国医学科学院阜外医院,10.0,21,,￥150,￥150
31,焦玉清,  副主任医师,外科,心血管外科,首都医科大学附属北京安贞医院,10.0,20,,￥60,
32,陈文生,  主任医师,外科,心血管外科,西京医院,9.7,44,专家团队,￥60,
33,叶晓峰,  主任医师,外科,心血管外科,上海交通大学医学院附属瑞金医院,9.9,301,,￥20,￥20
34,杨勇,  副主任医师,外科,心血管外科,西京医院,9.7,266,,￥50,￥200
35,黄奔,  主治医师,外科,心血管外科,复旦大学附属中山医院,,3,,￥30,
36,周密,  副主任医师,外科,心血管外科,上海交通大学医学院附属瑞金医院,9.9,528,,￥80,
37,王海灏,  副主任医师,外科,心血管外科,华中科技大学同济医学院附属同济医院,10.0,730,,￥30,
38,许日昊,  副主任医师,外科,心血管外科,吉林大学第二医院,10.0,819,,￥30,
39,赖颢,  主任医师,外科,心血管外科,复旦大学附属中山医院,9.9,286,,￥200,
40,夏利民,  主任医师,外科,心血管外科,复旦大学附属中山医院,9.6,329,,￥200,
41,张伟志,  副主任医师,外科,心血管外科,中南大学湘雅二医院,10.0,171,,￥50,
42,王春,  主任医师,外科,心血管外科,中国医科大学附属第一医院,10.0,85,,￥200,￥300
43,路天怡,  主治医师,外科,心血管外科,中国医学科学院阜外医院,,20,,￥38,￥80
44,杨学勇,  主任医师,外科,心血管外科,首都医科大学附属北京安贞医院,10.0,138,专家团队,￥60,￥300
45,陈新忠,  主任医师,外科,心血管外科,华中科技大学同济医学院附属协和医院,10.0,2,,￥40,
46,贾一新,  主任医师,外科,心血管外科,首都医科大学附属北京安贞医院,10.0,26,,￥200,￥300
47,侯斌,  副主任医师,外科,心血管外科,中国医学科学院阜外医院,,4,,￥100,
48,潘燕军,  副主任医师,外科,心血管外科,上海儿童医学中心,10.0,40,,￥50,
49,陈建新,  副主任医师,外科,心血管外科,哈尔滨医科大学附属第四医院,10.0,1049,,￥20,￥50
50,迟超,  副主任医师,外科,心血管外科,哈尔滨医科大学附属第一医院,,2,,￥30,
51,郑腾飞,  主治医师,外科,心血管外科,郑州大学附属郑州中心医院,10.0,703,,￥10,￥20
52,庄瑜,  副主任医师,外科,心血管外科,上海交通大学附属第一人民医院,9.9,37,,￥20,
53,许耀强,  主任医师,外科,心血管外科,首都医科大学附属北京安贞医院,10.0,608,,￥80,￥200
54,夏天,  副主任医师,外科,心血管外科,华中科技大学同济医学院附属协和医院,9.6,51,专家团队,￥30,
55,任长伟,  副主任医师,外科,心血管外科,首都医科大学附属北京安贞医院,10.0,27,,￥60,￥200
56,汪源,  副主任医师,外科,心血管外科,华中科技大学同济医学院附属同济医院,10.0,13,,￥39,￥100
