,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,黄伯高,  副主任医师,外科,整形外科,上海交通大学医学院附属瑞金医院,9.8,1970,,￥100,￥150
1,向军,  副主任医师,外科,整形外科,上海交通大学医学院附属瑞金医院,10.0,236,,￥116,
2,崔江波,  主治医师,外科,整形外科,西京医院,10.0,2171,,￥30,￥50
3,刘珍君,  副主任医师,外科,整形外科,中国医学科学院整形外科医院,10.0,5403,专家团队,￥30,￥200
4,易磊,  副主任医师,外科,整形外科,上海交通大学医学院附属瑞金医院,10.0,480,,￥60,￥300
5,唐银科,  主治医师,外科,整形外科,西京医院,9.9,985,,￥20,
6,黄渭清,  主任医师,外科,整形外科,北京协和医院西院,9.8,185,,￥300,
7,吴欢欢,  主治医师,外科,整形外科,中国医学科学院整形外科医院,10.0,9931,,￥50,￥200
8,潘博,  主任医师,外科,整形外科,中国医学科学院整形外科医院,10.0,19,,￥60,￥299
9,牛峰,  主任医师,外科,整形外科,中国医学科学院整形外科医院,10.0,227,,￥100,￥200
10,魏思明,  主治医师,外科,整形外科,西京医院,10.0,423,,￥20,
11,黄晓琴,  副主任医师,外科,整形外科,上海交通大学医学院附属瑞金医院,9.8,131,,￥100,￥200
12,宋维铭,  主任医师,外科,整形外科,中国医学科学院整形外科医院,10.0,116,,￥100,
13,曾昂,  副主任医师,外科,整形外科,北京协和医院,10.0,23,专家团队,￥59,
14,王西樵,  副主任医师,外科,整形外科,上海交通大学医学院附属瑞金医院,9.9,463,,￥150,￥300
15,张剑,  副主任医师,外科,整形外科,上海交通大学医学院附属瑞金医院,9.9,723,,￥60,￥100
16,宋可新,  副主任医师,外科,整形外科,北京协和医院,10.0,96,,￥100,
17,童华,  主治医师,外科,整形外科,复旦大学附属眼耳鼻喉科医院,10.0,704,,￥200,￥500
18,曹姣,  主治医师,外科,整形外科,西京医院,10.0,174,,￥30,
19,徐海倩,  副主任医师,外科,整形外科,哈尔滨医科大学附属第一医院,10.0,14477,,￥30,￥100
20,黄威,  主任医师,外科,整形外科,中国医科大学附属第一医院,10.0,405,,￥30,
21,钱瑾,  主治医师,外科,整形外科,中国医学科学院整形外科医院,,4,,￥49,
22,王璐,  副主任医师,外科,整形外科,西安交通大学第一附属医院,10.0,739,专家团队,￥20,￥50
23,杨燕文,  主治医师,外科,整形外科,复旦大学附属中山医院,10.0,93,,￥20,
24,曾宁,  副主任医师,外科,整形外科,华中科技大学同济医学院附属同济医院,,2,,￥30,
25,卿勇,  副主任医师,外科,整形外科,四川大学华西医院,9.8,355,,￥59,￥120
26,侯典举,  主任医师,外科,整形外科,中国医学科学院整形外科医院,,4,,￥100,￥300
27,袁一飞,  副主任医师,外科,整形外科,复旦大学附属眼耳鼻喉科医院,9.9,3035,,￥150,￥200
28,杨井,  副主任医师,外科,整形外科,华中科技大学同济医学院附属协和医院,9.9,2072,专家团队,￥50,
29,付记乐,  主任医师,外科,整形外科,南方医科大学南方医院,10.0,1001,,￥19,￥120
30,王介聪,  副主任医师,外科,整形外科,华中科技大学同济医学院附属协和医院,9.8,261,专家团队,￥20,￥200
31,唐建兵,  副主任医师,外科,整形外科,中国人民解放军南部战区总医院,10.0,5349,,￥30,￥30
32,吕倩雯,  主治医师,外科,整形外科,中国医学科学院整形外科医院,10.0,9,,￥30,￥100
33,曲春安,  主治医师,外科,整形外科,中国医学科学院整形外科医院,10.0,29,,￥20,￥50
34,董立维,  副主任医师,外科,整形外科,西京医院,10.0,39,专家团队,￥200,￥200
35,付洋,  主治医师,外科,整形外科,北部战区总医院,10.0,4570,,￥30,￥100
36,乔亮,  副主任医师,外科,整形外科,上海交通大学医学院附属瑞金医院,10.0,78,,￥128,￥300
37,刘晓瑾,  主治医师,外科,整形外科,中南大学湘雅医院,10.0,617,专家团队,￥50,
38,王少根,  主任医师,外科,整形外科,合肥市滨湖医院,10.0,6965,,￥30,￥100
39,刘军,  副主任医师,外科,整形外科,上海交通大学医学院附属新华医院,10.0,2827,,￥100,￥300
40,任立文,  主治医师,外科,整形外科,哈尔滨医科大学附属第一医院,10.0,184,,￥20,￥40
41,袁文达,  主治医师,外科,整形外科,中国人民解放军南部战区总医院,10.0,6894,,￥30,￥40
42,朱雅颖,  副主任医师,外科,整形外科,复旦大学附属眼耳鼻喉科医院,9.8,2822,专家团队,￥100,
43,尹宏宇,  副主任医师,外科,整形外科,中国医学科学院整形外科医院,9.8,69,,￥10,￥500
44,王永翔,  主任医师,外科,整形外科,甘肃省第二人民医院,10.0,4928,,￥20,￥20
45,王千文,  主治医师,外科,整形外科,中国医学科学院整形外科医院,,3,,￥30,￥100
46,杨庆华,  主任医师,外科,整形外科,中国医学科学院整形外科医院,9.7,27,,￥100,￥100
47,唐泓波,  副主任医师,外科,整形外科,华中科技大学同济医学院附属同济医院,10.0,20,,￥30,
48,丁爽,  主治医师,外科,整形外科,哈尔滨医科大学附属第一医院,10.0,262,,￥30,
49,丁毓威,  主治医师,外科,整形外科,九江市第一人民医院,10.0,4106,,￥20,￥100
50,冷冰,  副主任医师,外科,整形外科,中国医科大学附属第一医院,10.0,16,,￥30,￥30
51,楚菲菲,  主治医师,外科,整形外科,西京医院,10.0,149,,￥50,
52,刘春军,  主任医师,外科,整形外科,中国医学科学院整形外科医院,9.8,128,,￥500,￥500
53,易延华,  副主任医师,外科,整形外科,南方医科大学南方医院,9.7,81,,￥20,￥30
54,苗勇,  副主任医师,外科,整形外科,南方医科大学南方医院,9.9,261,,￥30,￥400
55,杨增杰,  副主任医师,外科,整形外科,中国医学科学院整形外科医院,9.9,107,,￥60,￥200
56,武凤莲,  副主任医师,外科,整形外科,秦皇岛市第一医院,10.0,7988,,￥30,￥100
57,陶然,  主治医师,外科,整形外科,上海长海医院,10.0,91,,￥25,￥80
58,孙超锋,  主任医师,外科,整形外科,唐都医院,10.0,7,,￥30,
59,刘文礼,  主任医师,外科,整形外科,保定市第一中心医院,,4,,￥1000,
60,张志泉,  副主任医师,外科,整形外科,华中科技大学同济医学院附属协和医院,10.0,38,专家团队,￥50,
61,窦懿,  副主任医师,外科,整形外科,上海交通大学医学院附属瑞金医院,10.0,28,,￥50,
62,吕建平,  副主任医师,外科,整形外科,潍坊市人民医院,10.0,6138,专家团队,￥30,￥30
63,祁永章,  主任医师,外科,整形外科,青海大学附属医院,10.0,18,专家团队,￥50,
64,马志兵,  副主任医师,外科,整形外科,江苏省中医院,10.0,1918,,￥24,￥39
65,朱明,  主治医师,外科,整形外科,复旦大学附属中山医院,10.0,46,,￥20,
66,杨冠龙,  主治医师,外科,整形外科,郑州市第一人民医院,10.0,3152,,￥20,￥99
67,张治华,  副主任医师,外科,整形外科,苏州市立医院,10.0,4981,,￥50,￥60
68,丛纲,  副主任医师,外科,整形外科,南通市中医院,10.0,7203,,￥25,
69,皮庆猛,  副主任医师,外科,整形外科,上海交通大学医学院附属仁济医院东院,10.0,7710,专家团队,￥80,￥200
70,闫贺,  主治医师,外科,整形外科,山东中医药大学第二附属医院,10.0,3073,,￥29,￥99
71,张佳,  主治医师,外科,整形外科,苏州市立医院,10.0,6327,,￥30,
