,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,张双民,  主任医师,外科,普外科,北京协和医院西院,9.9,485,,￥200,￥300
1,张宁,  主治医师,外科,普外科,北京协和医院,10.0,323,,￥200,￥600
2,胡晓鹏,  副主任医师,外科,普外科,华中科技大学同济医学院附属同济医院,10.0,3881,,￥70,￥200
3,陈伟杰,  主治医师,外科,普外科,北京协和医院,10.0,142,,￥200,
4,康维明,  主任医师,外科,普外科,北京协和医院,10.0,271,,￥296,
5,黄伯高,  副主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.8,1970,,￥100,￥150
6,姜立,  主任医师,外科,普外科,华中科技大学同济医学院附属同济医院,10.0,4319,专家团队,￥29,￥200
7,张立阳,  副主任医师,外科,普外科,北京协和医院,9.9,430,,￥200,￥500
8,王小成,  主治医师,外科,普外科,四川大学华西医院,9.9,139,,￥88,￥200
9,刘乔飞,  副主任医师,外科,普外科,北京协和医院,9.9,560,,￥200,￥200
10,李晓斌,  副主任医师,外科,普外科,北京协和医院,9.9,73,,￥200,
11,吴文川,  主任医师,外科,普外科,复旦大学附属中山医院,9.9,1191,,￥200,￥500
12,王聪,  副主任医师,外科,普外科,复旦大学附属中山医院,10.0,591,,￥100,
13,张琨,  主治医师,外科,普外科,四川大学华西医院,10.0,334,,￥50,
14,倪小健,  主治医师,外科,普外科,复旦大学附属中山医院,10.0,757,,￥60,
15,王文权,  副主任医师,外科,普外科,复旦大学附属中山医院,10.0,221,,￥30,
16,刘亮,  主任医师,外科,普外科,复旦大学附属中山医院,9.9,801,,￥300,
17,薄晓波,  住院医师,外科,普外科,复旦大学附属中山医院,10.0,98,,￥20,
18,邱伟华,  主任医师,外科,普外科,上海交通大学医学院附属瑞金医院古北分院,10.0,7810,专家团队,￥200,￥350
19,任黎,  副主任医师,外科,普外科,复旦大学附属中山医院,9.7,176,,￥100,
20,石程剑,  副主任医师,外科,普外科,华中科技大学附属同济医院光谷院区,,1,,￥30,
21,何国栋,  副主任医师,外科,普外科,复旦大学附属中山医院,10.0,560,,￥40,
22,张磊,  副主任医师,外科,普外科,复旦大学附属中山医院,10.0,666,,￥30,
23,周毅,  副主任医师,外科,普外科,华中科技大学同济医学院附属同济医院,10.0,660,,￥30,
24,钟芸诗,  主任医师,外科,普外科,复旦大学附属中山医院,9.8,2629,,￥300,￥680
25,尹路,  主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.9,639,专家团队,￥60,
26,严佶祺,  主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.9,4633,,￥240,
27,严律南,  主任医师,外科,普外科,四川大学华西医院,9.9,488,专家团队,￥300,￥1000
28,戎叶飞,  副主任医师,外科,普外科,复旦大学附属中山医院,9.8,94,,￥200,
29,张浩波,  副主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.6,215,,￥50,
30,何永刚,  副主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,10.0,2561,,￥128,￥148
31,王哲,  主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.9,420,,￥60,￥120
32,王建国,  主任医师,外科,普外科,合肥市第一人民医院,10.0,13355,,￥50,￥60
33,江颖,  主任医师,外科,普外科,复旦大学附属中山医院,9.7,2832,,￥300,
34,易斌,  主任医师,外科,普外科,华中科技大学同济医学院附属同济医院,9.8,450,,￥25,
35,胡新华,  主任医师,外科,普外科,中国医科大学附属第一医院,10.0,847,,￥100,
36,苏安平,  副主任医师,外科,普外科,四川大学华西医院,9.9,85,,￥80,
37,项明,  主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.5,319,,￥150,
38,杨中印,  副主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.6,35,,￥39,￥300
39,包海军,  主任医师,外科,普外科,甘肃省第二人民医院,10.0,19474,专家团队,￥50,￥100
40,张大林,  副主任医师,外科,普外科,中国医科大学附属第一医院,,3,,￥30,
41,陆毅群,  主任医师,外科,普外科,上海国际医学中心,9.6,810,,￥200,￥1000
42,刘寒,  副主任医师,外科,普外科,复旦大学附属中山医院,9.6,61,,￥300,
43,李方跃,  主任医师,外科,普外科,安徽医科大学第一附属医院绩溪路院区,10.0,9561,,￥100,
44,欧阳洋,  副主任医师,外科,普外科,中南大学湘雅医院,9.8,12,,￥100,
45,杨为戈,  副主任医师,外科,普外科,复旦大学附属中山医院,10.0,1959,专家团队,￥150,
46,王越琦,  副主任医师,外科,普外科,复旦大学附属中山医院,10.0,333,,￥200,
47,艾志龙,  主任医师,外科,普外科,复旦大学附属中山医院,9.9,2240,,￥300,
48,杨明炜,  主任医师,外科,普外科,华中科技大学附属同济医院中法新城院区,9.9,2579,,￥30,
49,曹克坚,  主任医师,外科,普外科,上海交通大学附属胸科医院,9.9,849,,￥500,
50,顾斐,  副主任医师,外科,普外科,复旦大学附属华山医院,9.9,2059,,￥30,
51,李琛,  主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.9,48,,￥60,
52,赵璐,  主治医师,外科,普外科,华中科技大学同济医学院附属同济医院,10.0,768,,￥30,
53,董文武,  副主任医师,外科,普外科,中国医科大学附属第一医院,9.9,929,,￥50,
54,丁则阳,  副主任医师,外科,普外科,华中科技大学同济医学院附属同济医院,9.8,171,,￥30,￥50
55,张磊,  主治医师,外科,普外科,上海交通大学医学院附属瑞金医院,10.0,36,,￥100,
56,李振符,  主任医师,外科,普外科,石家庄市人民医院,10.0,28639,,￥50,￥60
57,严红军,  副主任医师,外科,普外科,三门峡市中心医院,10.0,6019,,￥30,￥50
58,汪启斌,  主任医师,外科,普外科,十堰市人民医院,10.0,6953,,￥20,￥20
59,费健,  主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.9,2472,,￥299,￥1500
60,王红,  副主任医师,外科,普外科,复旦大学附属中山医院,9.9,1569,专家团队,￥200,￥220
61,宋陆军,  主任医师,外科,普外科,复旦大学附属中山医院,9.8,308,,￥300,
62,王小飞,  副主任医师,外科,普外科,四川大学华西医院,10.0,44,,￥129,￥300
63,王海玉,  主治医师,外科,普外科,复旦大学附属中山医院,9.7,27,,￥30,
64,李昱骥,  副主任医师,外科,普外科,中国医科大学附属第一医院,10.0,55,,￥20,
65,张鹤达,  主治医师,外科,普外科,江苏省人民医院,10.0,470,,￥26,￥80
66,左道宏,  主治医师,外科,普外科,郑州大学第一附属医院,,53,,￥20,
67,程东峰,  副主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.9,1365,专家团队,￥80,￥228
68,王幸,  主治医师,外科,普外科,四川大学华西医院,9.9,205,,￥35,
69,匡洁,  副主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.9,913,,￥100,￥200
70,王伟珅,  主治医师,外科,普外科,上海交通大学医学院附属瑞金医院,10.0,54,,￥20,￥200
71,刘东生,  主治医师,外科,普外科,邯郸市第一医院,10.0,44243,,￥29,￥39
72,杜军威,  主治医师,外科,普外科,郑州大学第一附属医院,10.0,376,,￥30,￥100
73,张丹华,  副主任医师,外科,普外科,郑州大学第一附属医院,10.0,957,,￥20,
74,丁守成,  主任医师,外科,普外科,天津市蓟州区人民医院,10.0,4136,,￥30,
75,刘征,  副主任医师,外科,普外科,郑州大学第一附属医院,,11,,￥30,
76,张鹏,  副主任医师,外科,普外科,华中科技大学同济医学院附属同济医院,9.9,567,,￥60,
77,童汉兴,  副主任医师,外科,普外科,复旦大学附属中山医院,9.8,121,,￥100,￥300
78,刘凤林,  主任医师,外科,普外科,复旦大学附属中山医院,9.8,46,,￥300,
79,陈拥军,  主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.8,236,,￥268,
80,杨栋,  副主任医师,外科,普外科,中国医科大学附属第一医院,10.0,1175,,￥70,￥100
81,孙晶,  副主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.8,109,,￥40,￥200
82,王志明,  主任医师,外科,普外科,中南大学湘雅医院,9.0,72,,￥300,
83,董荣坤,  主任医师,外科,普外科,十堰市人民医院,10.0,6847,,￥20,￥50
84,欧阳军,  主治医师,外科,普外科,蚌埠医学院第三附属医院,10.0,24603,,￥30,￥60
85,李剑,  副主任医师,外科,普外科,河南省肿瘤医院,,4,,￥20,
86,何建蓉,  副主任医师,外科,普外科,上海国际医学中心,9.7,479,,￥498,￥800
87,王岭,  主任医师,外科,普外科,西京医院,9.9,4294,,￥100,
88,申铭,  主任医师,外科,普外科,华中科技大学同济医学院附属同济医院,9.6,36,专家团队,￥50,
89,冯向东,  主任医师,外科,普外科,中日友好医院,10.0,1674,,￥200,￥300
90,陈国胜,  副主任医师,外科,普外科,江苏省人民医院,10.0,43,专家团队,￥60,￥200
91,王旭广,  主任医师,外科,普外科,郑州大学第一附属医院,10.0,347,专家团队,￥100,
92,沈奇伟,  主治医师,外科,普外科,复旦大学附属华山医院,9.7,11,专家团队,￥100,
93,乔刚,  副主任医师,外科,普外科,天津市宝坻区人民医院,,2,,￥30,￥30
94,王建承,  副主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.7,181,,￥30,
95,乔亮,  副主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,10.0,78,,￥128,￥300
96,周悦,  副主任医师,外科,普外科,江苏省人民医院,10.0,421,,￥20,
97,高超,  主治医师,外科,普外科,天津医科大学总医院,,33,,￥20,￥30
98,狄忠民,  副主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.9,999,,￥200,
99,邱维诚,  主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.6,385,专家团队,￥80,￥200
100,陈彦,  副主任医师,外科,普外科,华中科技大学同济医学院附属同济医院,10.0,174,,￥100,
101,李欣,  副主任医师,外科,普外科,北京大学第三医院,10.0,1688,,￥200,￥500
102,刘彦,  主任医师,外科,普外科,华中科技大学同济医学院附属协和医院,8.8,78,,￥50,￥60
103,王吉文,  主治医师,外科,普外科,复旦大学附属中山医院,10.0,415,,￥30,
104,吴福生,  主任医师,外科,普外科,浙江大学医学院附属第一医院,9.7,111,,￥100,￥200
105,陈盛,  副主任医师,外科,普外科,上海儿童医学中心,10.0,2032,,￥49,￥70
106,胡皓,  主治医师,外科,普外科,复旦大学附属中山医院,10.0,170,,￥100,
107,孙龙昊,  副主任医师,外科,普外科,天津医科大学总医院,10.0,353,,￥20,￥50
108,宋洪江,  主任医师,外科,普外科,哈尔滨医科大学附属肿瘤医院,10.0,41,,￥100,
109,杨婧,  主任医师,外科,普外科,甘肃省人民医院,10.0,1280,,￥30,
110,叶京明,  主任医师,外科,普外科,北京大学第一医院,10.0,114,,￥99,
111,刘柳洪,  主治医师,外科,普外科,北京市昌平区中西医结合医院,10.0,61064,专家团队,￥20,￥40
112,刘伟,  主治医师,外科,普外科,中国人民解放军第169医院,10.0,1850,,￥15,￥40
113,许哲鑫,  主治医师,外科,普外科,阜新矿业集团总医院,10.0,1737,,,￥49
114,韦烨,  主任医师,外科,普外科,复旦大学附属中山医院,9.7,684,,￥100,
115,魏洪亮,  主治医师,外科,普外科,西京医院,10.0,3458,专家团队,￥199,￥399
116,朱良纲,  副主任医师,外科,普外科,上海交通大学医学院附属瑞金医院,9.7,108,专家团队,￥150,
117,施晨晔,  主治医师,外科,普外科,复旦大学附属中山医院,10.0,75,,￥200,
118,蔡雄,  副主任医师,外科,普外科,华中科技大学同济医学院附属协和医院,10.0,530,,￥30,
119,杨远,  副主任医师,外科,普外科,上海国际医学中心,10.0,1350,,￥60,￥200
120,张植木,  副主任医师,外科,普外科,合肥市第一人民医院,10.0,3640,,￥40,￥60
121,胡永泽,  主任医师,外科,普外科,内蒙古自治区中医医院,10.0,3447,,￥30,￥50
122,蒯加高,  副主任医师,外科,普外科,芜湖市第二人民医院,10.0,1596,,￥20,￥30
123,马艺洪,  主治医师,外科,普外科,滕州市中心人民医院,10.0,3318,,￥30,￥39
124,陶佳栋,  主治医师,外科,普外科,浙江大学医学院附属第一医院,10.0,15,,￥30,
125,骆鹏,  主治医师,外科,普外科,蓬莱市中医医院,10.0,13100,,￥20,￥50
126,谷琦琦,  主治医师,外科,普外科,郑州大学第一附属医院,,23,,￥20,
127,郭吉利,  副主任医师,外科,普外科,七台河市人民医院,10.0,880,,￥20,￥30
128,周哲,  副主任医师,外科,普外科,湘潭市第一人民医院,9.9,1058,专家团队,￥30,￥200
129,黄剑波,  主治医师,外科,普外科,重庆医科大学附属第一医院,,34,,￥20,
130,丁洋,  副主任医师,外科,普外科,安徽医科大学第二附属医院,,2,,￥45,
131,张凡勇,  主治医师,外科,普外科,黄冈市中心医院,,1,,￥30,￥60
132,尹兴,  副主任医师,外科,普外科,牡丹江市康安医院,10.0,149,,￥30,￥80
133,武守国,  副主任医师,外科,普外科,浙江省立同德医院,,1,,￥80,
134,程枝甫,  副主任医师,外科,普外科,祁门县人民医院,10.0,20406,,￥25,￥50
135,杜新,  主治医师,外科,普外科,郑州大学第一附属医院,,2,,￥15,
