,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,胡恒龙,  主治医师,外科,泌尿外科,华中科技大学同济医学院附属同济医院,10.0,1208,,￥30,￥80
1,王延柱,  副主任医师,外科,泌尿外科,西京医院,10.0,5729,,￥50,￥80
2,杨欢,  副主任医师,外科,泌尿外科,华中科技大学同济医学院附属同济医院,10.0,865,,￥49,￥99
3,饶可,  副主任医师,外科,泌尿外科,华中科技大学同济医学院附属同济医院,9.9,2662,,￥30,￥100
4,徐奔,  主治医师,外科,泌尿外科,北京大学第一医院,9.9,5010,,￥50,
5,黄钟明,  副主任医师,外科,泌尿外科,北京协和医院,10.0,524,,￥200,
6,高宛生,  副主任医师,外科,泌尿外科,郑州大学第一附属医院,10.0,7143,专家团队,￥19,￥20
7,尚永刚,  主治医师,外科,泌尿外科,重庆医科大学附属第一医院,10.0,11585,,￥40,￥60
8,徐鹏超,  主治医师,外科,泌尿外科,郑州大学第一附属医院,10.0,1218,,￥20,￥50
9,王永春,  副主任医师,外科,泌尿外科,牡丹江市中医医院,10.0,121240,,￥39,￥90
10,周学锋,  副主任医师,外科,泌尿外科,华中科技大学同济医学院附属同济医院,10.0,854,专家团队,￥50,
11,陆毅群,  主任医师,外科,泌尿外科,上海国际医学中心,9.6,810,,￥200,￥1000
12,张争,  主任医师,外科,泌尿外科,北京大学第一医院,10.0,1789,,￥800,￥2000
13,侯剑刚,  主任医师,外科,泌尿外科,复旦大学附属华山医院,9.8,2997,,￥80,￥300
14,刘海波,  主任医师,外科,泌尿外科,中国医科大学附属第一医院,9.9,1149,,￥129,￥199
15,李世潘,  主治医师,外科,泌尿外科,四川大学华西医院,9.5,434,,￥20,￥80
16,马成泉,  主治医师,外科,泌尿外科,天津医科大学总医院,10.0,14286,,￥29,￥50
17,哈木拉提·吐送,  副主任医师,外科,泌尿外科,新疆医科大学第一附属医院,,4,,,
18,赵连明,  副主任医师,外科,泌尿外科,北京大学第三医院,10.0,14447,,￥120,￥180
19,任玉林,  副主任医师,外科,泌尿外科,甘肃省第二人民医院,10.0,34120,专家团队,￥40,￥50
20,胡其准,  主治医师,外科,泌尿外科,华中科技大学同济医学院附属同济医院,10.0,221,,,￥200
21,杨橙,  主治医师,外科,泌尿外科,复旦大学附属中山医院,10.0,2435,,￥46,
22,王新胜,  副主任医师,外科,泌尿外科,天津市第一中心医院,10.0,11373,,￥15,
23,林焕懿,  主治医师,外科,泌尿外科,中山大学附属第一医院,10.0,29,,￥50,
24,李继清,  主任医师,外科,泌尿外科,广西国际壮医医院(总院),10.0,13633,,￥30,￥30
25,宋瑞祥,  主治医师,外科,泌尿外科,上海长海医院,10.0,1851,,￥45,￥60
26,王逸民,  主任医师,外科,泌尿外科,浙江大学医学院附属第一医院,9.9,180,,￥100,￥120
27,张彩霞,  副主任医师,外科,泌尿外科,中山大学孙逸仙纪念医院,10.0,2846,,￥120,
28,胡政麾,  副主任医师,外科,泌尿外科,浙江大学医学院附属第一医院,10.0,244,,￥159,￥150
29,刘立,  副主任医师,外科,泌尿外科,复旦大学附属中山医院,10.0,224,,￥60,
30,熊朝晖,  主任医师,外科,泌尿外科,武警安徽省总队医院,10.0,3301,,￥20,￥30
31,邱实,  主任医师,外科,泌尿外科,北部战区总医院,10.0,7347,,￥50,￥100
32,常永欣,  主治医师,外科,泌尿外科,焦作市第二人民医院,10.0,56549,,￥20,
33,李湘燕,  主任医师,外科,泌尿外科,北京大学第一医院,10.0,97,,￥300,
34,唐琦,  副主任医师,外科,泌尿外科,北京大学第一医院,9.6,207,,￥100,
35,赵军,  主任医师,外科,泌尿外科,华中科技大学同济医学院附属协和医院,9.9,925,专家团队,￥30,
36,杨春光,  副主任医师,外科,泌尿外科,华中科技大学同济医学院附属同济医院,10.0,75,,￥50,
37,吴少峰,  主治医师,外科,泌尿外科,上海儿童医学中心,10.0,923,,￥60,￥150
38,张亚龙,  主治医师,外科,泌尿外科,西电集团医院,10.0,2598,,￥28,￥88
39,吴兴成,  副主任医师,外科,泌尿外科,北京协和医院,9.9,70,,￥200,
40,李东杰,  副主任医师,外科,泌尿外科,中南大学湘雅医院,10.0,103,,￥149,￥280
41,杨志尚,  主任医师,外科,泌尿外科,西安交通大学第一附属医院,10.0,185,专家团队,￥50,
42,李宁,  副主任医师,外科,泌尿外科,华中科技大学同济医学院附属同济医院,10.0,96,,￥50,
43,蔡涛,  副主任医师,外科,泌尿外科,北京大学第三医院,10.0,813,,￥200,￥500
