,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,黄伯高,  副主任医师,外科,烧伤科,上海交通大学医学院附属瑞金医院,9.8,1970,,￥100,￥150
1,向军,  副主任医师,外科,烧伤科,上海交通大学医学院附属瑞金医院,10.0,236,,￥116,
2,易磊,  副主任医师,外科,烧伤科,上海交通大学医学院附属瑞金医院,10.0,480,,￥60,￥300
3,黄晓琴,  副主任医师,外科,烧伤科,上海交通大学医学院附属瑞金医院,9.8,131,,￥100,￥200
4,王西樵,  副主任医师,外科,烧伤科,上海交通大学医学院附属瑞金医院,9.9,463,,￥150,￥300
5,郑朝,  副主任医师,外科,烧伤科,西京医院,10.0,51,,￥10,
6,张剑,  副主任医师,外科,烧伤科,上海交通大学医学院附属瑞金医院,9.9,723,,￥60,￥100
7,周捷,  副主任医师,外科,烧伤科,中南大学湘雅医院,9.8,69,,￥50,
8,周伟明,  副主任医师,外科,烧伤科,南方医科大学南方医院,10.0,31,,￥40,￥60
9,乔亮,  副主任医师,外科,烧伤科,上海交通大学医学院附属瑞金医院,10.0,78,,￥128,￥300
10,陈郑礼,  副主任医师,外科,烧伤科,上海长海医院,9.9,438,,￥65,￥120
11,肖宏涛,  副主任医师,外科,烧伤科,郑州市第一人民医院,,0,,￥30,
12,黄覛韬,  主治医师,外科,烧伤科,中南大学湘雅医院,10.0,95,,￥20,￥100
13,梁彦辉,  主任医师,外科,烧伤科,南开大学附属医院,,2,,￥80,
14,牛皓,  主治医师,外科,烧伤科,解放军总医院第四医学中心（304医院）,10.0,1101,,￥35,￥88
15,李昕,  副主任医师,外科,烧伤科,哈尔滨市第五医院,10.0,26,,￥25,
16,谢昆,  主治医师,外科,烧伤科,北京大学第一医院,,5,,￥59,
17,窦懿,  副主任医师,外科,烧伤科,上海交通大学医学院附属瑞金医院,10.0,28,,￥50,
18,谢春晖,  主治医师,外科,烧伤科,吉林大学第一医院,,4,,￥50,
19,徐朝晖,  主任医师,外科,烧伤科,淮北市人民医院,9.9,175,,￥20,￥35
20,陈忠民,  主任医师,外科,烧伤科,宝鸡市第二人民医院,,3,,￥60,
21,王家亮,  主治医师,外科,烧伤科,三明市第一医院,10.0,265,,￥30,￥150
22,孙华凤,  副主任医师,外科,烧伤科,解放军联勤保障部队第903医院,,1,,￥20,￥200
23,郑兴锋,  副主任医师,外科,烧伤科,上海长海医院,10.0,1543,,￥39,￥49
24,林才,  主任医师,外科,烧伤科,温州数字医院,,1,,￥80,
