,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,雷宇,  主治医师,外科,神经外科,复旦大学附属华山医院,,4,,￥50,￥200
1,龚秀,  主治医师,外科,神经外科,复旦大学附属华山医院,9.9,167,,￥30,
2,李培良,  副主任医师,外科,神经外科,复旦大学附属华山医院,,3,,￥250,
3,毛仁玲,  主任医师,外科,神经外科,复旦大学附属华东医院,9.8,2904,,￥50,
4,张启麟,  主治医师,外科,神经外科,复旦大学附属华山医院,,2,,￥50,
5,徐锋,  副主任医师,外科,神经外科,复旦大学附属华山医院,9.9,519,,￥100,
6,陈兢,  主任医师,外科,神经外科,四川大学华西医院,9.9,418,,￥300,
7,马骏鹏,  副主任医师,外科,神经外科,四川大学华西医院,10,268,,￥120,￥300
8,高超,  副主任医师,外科,神经外科,复旦大学附属华山医院,,4,,￥200,
9,徐铭,  副主任医师,外科,神经外科,复旦大学附属华山医院,10,550,,￥80,
10,齐曾鑫,  主治医师,外科,神经外科,复旦大学附属华山医院,10,6,,￥50,
11,陈功,  主任医师,外科,神经外科,复旦大学附属华山医院,9.6,1517,,￥100,￥300
12,张超英,  副主任医师,外科,神经外科,复旦大学附属华山医院虹桥院区,9,1012,,￥200,
13,徐淑军,  主任医师,外科,神经外科,山东大学齐鲁医院,,3,,￥50,
14,曾云辉,  主治医师,外科,神经外科,四川大学华西医院,9.9,365,,￥50,￥500
15,周翔,  副主任医师,外科,神经外科,复旦大学附属华山医院虹桥院区,,1,,￥50,
16,余果,  主治医师,外科,神经外科,复旦大学附属华山医院,,2,,￥250,
17,田彦龙,  副主任医师,外科,神经外科,复旦大学附属华山医院,9.7,233,,￥166,￥800
18,曾令成,  副主任医师,外科,神经外科,华中科技大学同济医学院附属同济医院,9.9,203,,￥30,￥100
19,厉华,  副主任医师,外科,神经外科,华中科技大学同济医学院附属同济医院,,1,,￥49,
20,伍军,  副主任医师,外科,神经外科,中南大学湘雅医院,9.6,6,,￥80,
21,徐斌,  主任医师,外科,神经外科,复旦大学附属华山医院,9.8,2769,,￥300,
22,于佶,  主任医师,外科,神经外科,复旦大学附属华山医院,9.4,835,,￥300,￥300
23,徐荣,  副主任医师,外科,神经外科,复旦大学附属华山医院,9.4,376,,￥200,￥200
24,陈文珍,  副主任医师,外科,神经外科,上海交通大学医学院附属瑞金医院,10,1061,,￥88,￥200
25,仇波,  主任医师,外科,神经外科,中国医科大学附属第一医院,,3,,￥200,￥249
26,孟祥喜,  主任医师,外科,神经外科,哈尔滨医科大学附属第一医院,,34,,￥98,
27,刘玉光,  主任医师,外科,神经外科,山东大学齐鲁医院,10,37,专家团队,￥100,
28,徐翠萍,  主治医师,外科,神经外科,首都医科大学宣武医院,,3,,￥200,￥500
29,戚其超,  主治医师,外科,神经外科,山东大学齐鲁医院,,11,,￥100,
30,丁兴华,  副主任医师,外科,神经外科,复旦大学附属华山医院,9.7,368,,￥100,
