,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,张燕,  主任医师,外科,肛肠外科,河北医科大学第三医院,10.0,8507,专家团队,￥30,￥60
1,刘轲,  主治医师,外科,肛肠外科,宁夏医科大学总医院,10.0,199,专家团队,￥20,￥30
2,刘彦,  主任医师,外科,肛肠外科,华中科技大学同济医学院附属协和医院,8.8,78,,￥50,￥60
3,李峰,  主任医师,外科,肛肠外科,山东省第二人民医院（山东省耳鼻喉医院）,10.0,2396,,￥28,￥100
4,吕勇刚,  副主任医师,外科,肛肠外科,山西省晋中市第一人民医院,10.0,3049,,￥30,￥40
5,陈新静,  主任医师,外科,肛肠外科,岳阳医院青海路名医特诊部,9.8,1642,专家团队,￥50,￥200
6,雷麸尔,  副主任医师,外科,肛肠外科,邵阳市中心医院,9.9,7444,,￥30,￥30
7,吴炯,  主任医师,外科,肛肠外科,岳阳医院青海路名医特诊部,9.9,2007,专家团队,￥58,
8,杨士伟,  主治医师,外科,肛肠外科,山东省千佛山医院,10.0,1686,,￥30,￥40
9,贺彩东,  副主任医师,外科,肛肠外科,甘肃省中医院,9.9,6983,专家团队,￥30,￥500
10,王与胜,  主任医师,外科,肛肠外科,十堰市人民医院,10.0,8,,￥30,
11,许崇斯,  副主任医师,外科,肛肠外科,湖南中医药大学第二附属医院,,9,,￥20,￥50
12,牛超,  副主任医师,外科,肛肠外科,长治市中医院,10.0,93,,￥20,￥30
13,黎晖,  主治医师,外科,肛肠外科,重庆医科大学附属第一医院,10.0,86,,￥10,
14,郑春菊,  主治中医师,外科,肛肠外科,淮安市中医院,10.0,309,,￥38,￥88
15,王海波,  主治医师,外科,肛肠外科,牡丹江市第一人民医院,10.0,1650,,￥5,￥20
16,沈通一,  副主任医师,外科,肛肠外科,上海市第十人民医院,10.0,2447,,￥30,￥100
17,刘迪,  副主任中医师,外科,肛肠外科,甘肃省第二人民医院,10.0,6105,专家团队,￥30,￥100
18,李清国,  副主任医师,外科,肛肠外科,复旦大学附属肿瘤医院徐汇院区,10.0,361,,￥40,￥500
19,王立伟,  副主任医师,外科,肛肠外科,石家庄市人民医院,10.0,2552,,￥30,￥30
20,李兆祥,  副主任医师,外科,肛肠外科,天津市人民医院,10.0,770,,￥20,
21,李震,  主任医师,外科,肛肠外科,郑州大学第一附属医院,10.0,124,专家团队,￥20,
22,王铭河,  副主任医师,外科,肛肠外科,复旦大学附属肿瘤医院徐汇院区,9.9,202,,￥100,
23,马延磊,  副主任医师,外科,肛肠外科,复旦大学附属肿瘤医院徐汇院区,10.0,387,,￥40,￥200
24,陈稳,  副主任医师,外科,肛肠外科,石家庄市人民医院,10.0,109,,￥20,
25,郝敬鹏,  副主任医师,外科,肛肠外科,天津医科大学第二医院,10.0,615,,￥20,￥30
