,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,严律南,  主任医师,外科,肝胆外科,四川大学华西医院,9.9,488,专家团队,￥300,￥1000
1,徐海峰,  副主任医师,外科,肝胆外科,北京协和医院,9.9,312,专家团队,￥300,￥800
2,李方跃,  主任医师,外科,肝胆外科,安徽医科大学第一附属医院绩溪路院区,10.0,9561,,￥100,
3,丁则阳,  副主任医师,外科,肝胆外科,华中科技大学同济医学院附属同济医院,9.8,171,,￥30,￥50
4,程琪,  副主任医师,外科,肝胆外科,华中科技大学同济医学院附属同济医院,,22,,￥30,
5,鲍广建,  主任医师,外科,肝胆外科,枣庄市立医院,10.0,3748,,￥20,
6,申铭,  主任医师,外科,肝胆外科,华中科技大学附属同济医院中法新城院区,9.6,36,专家团队,￥50,
7,厉智威,  副主任医师,外科,肝胆外科,浙江大学医学院附属第一医院,10.0,845,,￥60,￥106
8,梅斌,  主任医师,外科,肝胆外科,华中科技大学同济医学院附属同济医院,9.9,110,,￥50,
9,邱建国,  副主任医师,外科,肝胆外科,重庆医科大学附属第一医院,10.0,180,,￥100,￥300
10,陈志强,  副主任医师,外科,肝胆外科,山东大学齐鲁医院,,2,专家团队,￥39,
11,汪建林,  主治医师,外科,肝胆外科,西京医院,10.0,53,,￥30,
12,顾方明,  主任医师,外科,肝胆外科,海军军医大学第三附属医院（东方肝胆外科）长海路院区,10.0,2193,专家团队,￥200,￥200
13,沈英皓,  副主任医师,外科,肝胆外科,复旦大学附属中山医院,10.0,510,,￥30,
14,吴阳,  主任医师,外科,肝胆外科,郑州大学第一附属医院,10.0,235,专家团队,￥80,
15,赖明春,  副主任医师,外科,肝胆外科,浙江大学医学院附属第一医院,10.0,123,,￥39,￥100
16,蔡雄,  副主任医师,外科,肝胆外科,华中科技大学同济医学院附属协和医院,10.0,530,,￥30,
17,杨远,  副主任医师,外科,肝胆外科,海军军医大学第三附属医院（东方肝胆外科）长海路院区,10.0,1350,,￥60,￥200
18,梅方超,  主治医师,外科,肝胆外科,武汉大学人民医院,10.0,2960,,￥39,￥49
19,李鑫,  副主任医师,外科,肝胆外科,青岛市市立医院,,7,,￥20,￥30
20,司爽,  副主任医师,外科,肝胆外科,中日友好医院,,2,,￥100,
21,余松峰,  副主任医师,外科,肝胆外科,浙江大学医学院附属第一医院,,2,,￥50,
22,吴俊本,  副主任医师,外科,肝胆外科,滨州市人民医院,10.0,8139,,￥60,￥120
23,冯晓宁,  副主任医师,外科,肝胆外科,浙江大学医学院附属第一医院,10.0,38,,￥80,￥129
24,张粉,  主治医师,外科,肝胆外科,西京医院,9.9,131,,￥10,
25,傅德良,  主任医师,外科,肝胆外科,复旦大学附属华山医院,9.9,4264,专家团队,￥250,
26,谢坤林,  主治医师,外科,肝胆外科,四川大学华西医院,10.0,950,,￥100,￥100
27,张志华,  副主任医师,外科,肝胆外科,首都医科大学附属北京朝阳医院,9.9,118,,￥60,￥20
28,周瑜,  主治医师,外科,肝胆外科,武汉大学人民医院,10.0,357,,￥20,￥50
29,蒙轩,  副主任医师,外科,肝胆外科,中国医学科学院肿瘤医院,10.0,13,,￥80,￥200
30,高星,  主治医师,外科,肝胆外科,天津医院,10.0,805,,￥50,
31,孙喆,  主治医师,外科,肝胆外科,海军军医大学第三附属医院（东方肝胆外科）长海路院区,10.0,113,,￥39,￥100
32,赵昆,  主治医师,外科,肝胆外科,广西医科大学第一附属医院,10.0,8,,￥20,
33,陈勇,  主任医师,外科,肝胆外科,西京医院,10.0,8250,专家团队,￥50,
34,杨玉龙,  主任医师,外科,肝胆外科,上海市东方医院总院,10.0,6289,专家团队,￥88,￥180
35,黄成,  主任医师,外科,肝胆外科,复旦大学附属中山医院,9.5,39,,￥50,
36,谢敏,  主任医师,外科,肝胆外科,南京鼓楼医院,9.8,55,,￥60,
37,杨小华,  主任医师,外科,肝胆外科,苏州大学附属第一医院总院,10.0,257,,￥60,
38,张晔,  主任医师,外科,肝胆外科,天津市第三中心医院,10.0,546,,￥28,￥40
39,白同,  副主任医师,外科,肝胆外科,天津市第三中心医院,10.0,407,专家团队,￥30,￥80
40,王庆刚,  副主任医师,外科,肝胆外科,泰安市中心医院,10.0,4312,,￥20,￥39
41,崔巍,  副主任医师,外科,肝胆外科,天津市第三中心医院,10.0,158,,￥30,￥100
42,董晓刚,  副主任医师,外科,肝胆外科,新疆维吾尔自治区肿瘤医院,10.0,611,专家团队,￥29,￥50
43,鲍志野,  主治医师,外科,肝胆外科,中国医科大学附属第一医院,9.9,90,,￥30,
44,孟泽武,  副主任医师,外科,肝胆外科,福建医科大学附属协和医院,10.0,21,,￥49,￥200
45,施国明,  主任医师,外科,肝胆外科,复旦大学附属中山医院,9.9,3918,,￥60,
46,卢兴培,  主任医师,外科,肝胆外科,华中科技大学附属同济医院中法新城院区,9.7,18,专家团队,￥50,
47,刘卫仁,  副主任医师,外科,肝胆外科,复旦大学附属中山医院,9.9,99,,￥50,
48,张友磊,  主任医师,外科,肝胆外科,海军军医大学第三附属医院（东方肝胆外科医院）安亭院区,10.0,27,,￥300,￥500
49,易德会,  副主任医师,外科,肝胆外科,中国医科大学附属第一医院,9.9,107,,￥50,
50,邵自功,  副主任医师,外科,肝胆外科,中国医科大学附属第一医院,10.0,85,,￥30,
51,蔡加彬,  主治医师,外科,肝胆外科,复旦大学附属中山医院,10.0,54,,￥30,
52,曹经琳,  副主任医师,外科,肝胆外科,河北医科大学第三医院,10.0,7,专家团队,￥30,
53,郭景龙,  主治医师,外科,肝胆外科,山东省立第三医院,10.0,10,专家团队,￥6,
54,袁鹏,  主治医师,外科,肝胆外科,宁夏医科大学总医院,10.0,83,,￥30,
55,麻勇,  主任医师,外科,肝胆外科,哈尔滨医科大学附属第一医院,9.6,37,专家团队,￥120,￥300
56,余佳,  主任医师,外科,肝胆外科,武汉大学人民医院,10.0,73,,￥39,￥99
57,赵畅,  主治医师,外科,肝胆外科,湖南省直中医医院,10.0,459,,￥10,￥99
58,陈泉宁,  主任医师,外科,肝胆外科,上海市同济医院,10.0,21,专家团队,￥60,￥200
59,崔龙久,  副主任医师,外科,肝胆外科,海军军医大学第三附属医院（东方肝胆外科）长海路院区,10.0,277,,￥200,￥300
60,杨涛,  副主任医师,外科,肝胆外科,浙江省立同德医院,10.0,24,,￥50,￥100
61,焦守斐,  主治医师,外科,肝胆外科,首都医科大学附属北京同仁医院,10.0,18,,￥49,￥69
62,袁声贤,  副主任医师,外科,肝胆外科,海军军医大学第三附属医院（东方肝胆外科）长海路院区,,2,专家团队,￥100,
63,李弘,  主治医师,外科,肝胆外科,中国医科大学附属第一医院,10.0,71,,￥20,
64,王波,  主治医师,外科,肝胆外科,上海市东方医院总院,10.0,9,,￥20,
65,魏荣光,  住院医师,外科,肝胆外科,湖南省人民医院,,2,,￥30,
66,张伟,  副主任医师,外科,肝胆外科,华中科技大学同济医学院附属同济医院,9.7,128,,￥30,
67,刘扬,  副主任医师,外科,肝胆外科,上海市第十人民医院,10.0,7618,,￥300,￥200
68,孙健,  副主任医师,外科,肝胆外科,复旦大学附属中山医院,9.9,260,,￥100,
69,隋承军,  副主任医师,外科,肝胆外科,海军军医大学第三附属医院（东方肝胆外科）长海路院区,10.0,261,,￥80,￥200
70,李林强,  副主任医师,外科,肝胆外科,哈尔滨医科大学附属第一医院,10.0,13,,￥30,￥50
71,吕文才,  主任医师,外科,肝胆外科,大连市友谊医院,10.0,13,,￥20,￥200
72,沈宁佳,  主治医师,外科,肝胆外科,海军军医大学第三附属医院（东方肝胆外科）长海路院区,10.0,498,专家团队,￥68,￥198
73,王子承,  主治医师,外科,肝胆外科,湖南省人民医院,10.0,169,,￥25,￥50
74,张贯启,  主治医师,外科,肝胆外科,武汉大学人民医院,,1,,￥30,￥40
75,王婷,  副主任医师,外科,肝胆外科,复旦大学附属中山医院,,3,,￥200,
76,冯健,  副主任医师,外科,肝胆外科,天津市南开医院,,3,,￥20,
77,王珍荣,  主治医师,外科,肝胆外科,山东省第二人民医院（山东省耳鼻喉医院）,,3,,￥30,
78,高强,  主任医师,外科,肝胆外科,复旦大学附属中山医院,9.9,1855,,￥300,
79,肖永胜,  副主任医师,外科,肝胆外科,复旦大学附属中山医院,9.8,99,,￥60,
80,杨诏旭,  副主任医师,外科,肝胆外科,西京医院,9.9,114,专家团队,￥50,
81,尹玉春,  副主任医师,外科,肝胆外科,武汉大学中南医院,9.9,227,专家团队,￥20,￥40
82,冯宪光,  主任医师,外科,肝胆外科,山东省立第三医院,10.0,414,专家团队,￥20,￥60
83,李涛,  主任医师,外科,肝胆外科,北京大学人民医院,9.9,199,,￥100,￥300
84,郑楷炼,  副主任医师,外科,肝胆外科,上海长海医院,9.9,382,专家团队,￥88,
85,朱卫平,  副主任医师,外科,肝胆外科,复旦大学附属肿瘤医院徐汇院区,9.9,1001,,￥80,
86,于生才,  主治医师,外科,肝胆外科,江南大学附属医院南院,10.0,10819,,￥39,￥49
87,李甫,  副主任医师,外科,肝胆外科,上海中医药大学附属曙光医院东院,10.0,115,,￥100,
