,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,徐昱扬,  副主任医师,外科,胸外科,四川大学华西医院,9.9,476,,￥90,
1,董思远,  副主任医师,外科,胸外科,中国医科大学附属第一医院,10.0,2103,,￥99,￥300
2,李志刚,  主任医师,外科,胸外科,上海交通大学附属胸科医院,10.0,2036,,￥300,￥1500
3,张云锋,  主任医师,外科,胸外科,西安交通大学第一附属医院,10.0,3308,专家团队,￥150,￥180
4,杨咏,  主治医师,外科,胸外科,上海市肺科医院,10.0,283,专家团队,,￥100
5,何晓敏,  副主任医师,外科,胸外科,上海儿童医学中心,10.0,266,,￥30,
6,曹克坚,  主任医师,外科,胸外科,上海交通大学附属胸科医院,9.9,849,,￥500,
7,张燎,  副主任医师,外科,胸外科,湘潭县中医院,10.0,3654,,￥30,￥50
8,时雨,  副主任医师,外科,胸外科,复旦大学附属中山医院,10.0,671,,￥500,
9,赵晓建,  副主任医师,外科,胸外科,中国医学科学院肿瘤医院,9.9,204,,￥69,￥199
10,巩书磊,  主治医师,外科,胸外科,中国医科大学附属第一医院,9.8,333,,￥20,
11,潘征夏,  主任医师,外科,胸外科,重庆医科大学附属儿童医院,10.0,129,,￥60,￥120
12,赵亮,  副主任医师,外科,胸外科,中国医学科学院肿瘤医院,10.0,291,,￥500,￥1000
13,薛孟华,  主治医师,外科,胸外科,唐都医院,,3,,￥50,
14,景鑫,  主治医师,外科,胸外科,唐都医院,,5,,￥30,
15,雷丰丰,  主任医师,外科,胸外科,甘肃省人民医院,10.0,5773,专家团队,￥49,￥59
16,董卫,  副主任医师,外科,胸外科,上海儿童医学中心,10.0,278,,￥49,￥200
17,陈晓帆,  主治医师,外科,胸外科,浙江大学医学院附属第一医院,10.0,454,,￥20,
18,王旭广,  主任医师,外科,胸外科,郑州大学第一附属医院,10.0,347,专家团队,￥100,
19,徐晓辉,  副主任医师,外科,胸外科,北京协和医院,10.0,45,,￥600,￥699
20,张方,  主任医师,外科,胸外科,甘肃省人民医院,10.0,656,专家团队,￥30,
21,尹俊,  副主任医师,外科,胸外科,复旦大学附属中山医院,10.0,1000,,￥100,
22,蒋伟,  副主任医师,外科,胸外科,复旦大学附属中山医院,9.8,301,,￥80,
23,孙雷,  副主任医师,外科,胸外科,中国医科大学附属第一医院,10.0,558,,￥30,￥80
24,冉旭东,  副主任医师,外科,胸外科,苏州大学附属儿童医院,10.0,10297,,￥80,￥80
25,孙彦隽,  主任医师,外科,胸外科,上海儿童医学中心,9.9,204,,￥80,
26,马福刚,  主任医师,外科,胸外科,平顶山市第一人民医院,10.0,10193,,￥69,￥88
27,李少民,  主任医师,外科,胸外科,西安交通大学第二附属医院,,6,专家团队,￥50,
28,张军,  主任医师,外科,胸外科,中国医科大学附属第一医院,9.9,348,,￥300,￥300
29,邱维诚,  主任医师,外科,胸外科,上海交通大学医学院附属瑞金医院,9.6,385,专家团队,￥80,￥200
30,潘旭峰,  副主任医师,外科,胸外科,上海交通大学附属胸科医院,10.0,1644,,￥150,￥300
31,武开宏,  主任医师,外科,胸外科,南京市儿童医院,10.0,2125,,￥120,￥150
32,吴峻,  主治医师,外科,胸外科,上海市肺科医院,10.0,409,,￥99,
33,白金玲,  副主任医师,外科,胸外科,天津市蓟州区人民医院,10.0,3541,,￥20,
34,朱良纲,  副主任医师,外科,胸外科,上海交通大学医学院附属瑞金医院,9.7,108,专家团队,￥150,
35,伍宁,  副主任医师,外科,胸外科,复旦大学附属华山医院,9.9,776,,￥100,￥200
36,叶波,  副主任医师,外科,胸外科,上海交通大学附属胸科医院,10.0,772,,￥200,￥1000
37,王涛,  主任医师,外科,胸外科,唐都医院,,4,,￥50,￥200
38,韩丁培,  主治医师,外科,胸外科,上海交通大学医学院附属瑞金医院,9.9,432,,￥98,
39,薛亚军,  副主任医师,外科,胸外科,石河子大学医学院第一附属医院,10.0,1974,,￥25,￥40
40,陈磊,  副主任医师,外科,胸外科,泰安市立医院,10.0,2401,,￥29,￥49
41,卢春来,  副主任医师,外科,胸外科,复旦大学附属中山医院,10.0,2289,,￥300,
42,范虹,  主任医师,外科,胸外科,复旦大学附属中山医院,9.7,847,,￥200,￥500
43,乔贵宾,  主任医师,外科,胸外科,广东省人民医院,9.8,1150,专家团队,￥300,￥500
44,李印,  主任医师,外科,胸外科,中国医学科学院肿瘤医院,9.8,218,,￥1000,
45,苏凯,  副主任医师,外科,胸外科,中国医学科学院肿瘤医院,10.0,90,,￥500,
46,车云,  主治医师,外科,胸外科,中国医学科学院肿瘤医院,10.0,19,,￥50,
47,程净革,  主治医师,外科,胸外科,河北医科大学第四医院,10.0,7200,,￥39,
48,赵晓刚,  副主任医师,外科,胸外科,上海市肺科医院,9.9,1590,专家团队,￥900,￥1200
49,吴亮,  副主任医师,外科,胸外科,上海交通大学附属第一人民医院,10.0,1572,专家团队,￥300,￥400
50,胡定中,  主任医师,外科,胸外科,上海交通大学附属胸科医院,9.5,478,,￥500,￥1000
51,张瑞祥,  副主任医师,外科,胸外科,中国医学科学院肿瘤医院,9.9,62,,￥300,
52,王黎明,  副主任医师,外科,胸外科,中国医科大学附属第一医院,9.8,37,,￥50,
53,孙奉昊,  主治医师,外科,胸外科,复旦大学附属中山医院,9.9,280,,￥50,
54,王硕,  副主任医师,外科,胸外科,天津医科大学第二医院,10.0,111,,￥50,
55,赵海格,  主任医师,外科,胸外科,浙江大学医学院附属第一医院,10.0,158,,￥50,￥120
56,谢敏,  主任医师,外科,胸外科,南京鼓楼医院,9.8,55,,￥60,
57,薛亮,  副主任医师,外科,胸外科,复旦大学附属中山医院,10.0,23,,￥100,
58,赵洋,  副主任医师,外科,胸外科,上海交通大学附属胸科医院,9.8,645,,￥100,￥500
59,周晓,  副主任医师,外科,胸外科,安徽医科大学第二附属医院,10.0,6355,,￥15,￥35
60,杜亮,  主治医师,外科,胸外科,新疆维吾尔自治区人民医院,9.9,178,,￥50,￥50
61,陆如建,  副主任医师,外科,胸外科,南通市第三人民医院,9.9,443,,￥29,￥29
62,蔡杰,  住院医师,外科,胸外科,上海市肺科医院,,2,,￥20,
63,汪文东,  副主任医师,外科,胸外科,华中科技大学同济医学院附属协和医院,9.8,253,专家团队,￥50,
64,吴显宁,  副主任医师,外科,胸外科,安徽省立医院（总院）,10.0,108,,￥150,￥200
65,卢红光,  主治医师,外科,胸外科,哈尔滨医科大学附属第四医院,10.0,1287,,￥20,￥30
66,李作生,  主任医师,外科,胸外科,华北理工大学附属医院,10.0,593,,￥50,￥199
67,彭磊磊,  副主任医师,外科,胸外科,中国人民解放军联勤保障部队第901医院,10.0,1803,,￥30,￥100
68,冯飞,  主治医师,外科,胸外科,潍坊市中医院,10.0,4489,,￥20,￥50
69,周旺,  主治医师,外科,胸外科,宁德市医院,10.0,735,,￥29,￥69
70,严一杰,  主治医师,外科,胸外科,天津医科大学第二医院,,3,,￥20,
71,石磊,  副主任医师,外科,胸外科,上海市公共卫生临床中心金山总部,10.0,60,,￥100,
72,严华,  副主任医师,外科,胸外科,华中科技大学同济医学院附属同济医院,9.9,468,,￥30,
73,杨恩德,  主任医师,外科,胸外科,唐都医院,10.0,541,,￥50,￥60
74,奚俊杰,  副主任医师,外科,胸外科,复旦大学附属中山医院,10.0,24,,￥200,
75,陈晓伟,  副主任医师,外科,胸外科,广东省中医院大德路总院,10.0,103,,￥80,
76,周文勇,  副主任医师,外科,胸外科,上海交通大学附属胸科医院,10.0,14,,￥200,￥200
77,艾孜子·阿不来提,  主治医师,外科,胸外科,新疆维吾尔自治区人民医院,10.0,136,,￥20,￥50
78,奚雷,  主治医师,外科,胸外科,南京市胸科医院,10.0,748,,￥30,
79,倪晨辉,  主治医师,外科,胸外科,福建医科大学附属协和医院,10.0,22,,￥25,￥20
80,陈凯,  副主任医师,外科,胸外科,上海交通大学医学院附属瑞金医院,,7,,￥39,
81,丁新宇,  主治医师,外科,胸外科,上海长征医院,10.0,364,专家团队,￥30,
