,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,赵鑫,  住院医师,外科,骨科,四川大学华西医院,10.0,1885,,￥29,￥39
1,李晔,  副主任医师,外科,骨科,北京协和医院,10.0,59,,￥600,￥1000
2,周春光,  主治医师,外科,骨科,四川大学华西医院,10.0,353,,￥60,￥120
3,程鹏,  副主任医师,外科,骨科,华中科技大学同济医学院附属同济医院,10.0,869,,￥30,
4,宫萍,  副主任医师,外科,骨科,北京大学第三医院,9.8,335,,￥30,￥200
5,董玉雷,  主治医师,外科,骨科,北京协和医院,10.0,832,,￥80,
6,李其一,  副主任医师,外科,骨科,北京协和医院,9.8,84,,￥100,￥800
7,于晓巍,  主任医师,外科,骨科,上海市第六人民医院,9.9,404,,￥220,
8,姜晨轶,  主治医师,外科,骨科,上海市第六人民医院,10.0,2473,,￥129,￥298
9,陈强,  副主任医师,外科,骨科,南方医科大学南方医院,10.0,10886,,￥150,￥400
10,程建岗,  副主任医师,外科,骨科,西京医院,10.0,405,,￥58,￥60
11,段伟,  主治医师,外科,骨科,西京医院,,2,,￥40,￥100
12,马文瑞,  主治医师,外科,骨科,西京医院,10.0,2452,,￥30,￥30
13,丛琳,  副主任医师,外科,骨科,中国医科大学附属第一医院,10.0,1067,,￥59,￥299
14,罗鸣,  副主任医师,外科,骨科,西京医院,10.0,848,,￥29,￥99
15,肖鹏,  主任医师,外科,骨科,郑州大学第一附属医院,9.9,459,专家团队,￥20,￥200
16,郭建斌,  副主任医师,外科,骨科,西安市红会医院,10.0,1632,,￥18,￥68
17,沈宇辉,  副主任医师,外科,骨科,上海交通大学医学院附属瑞金医院,9.9,658,专家团队,￥200,￥160
18,黄轶刚,  主任医师,外科,骨科,上海市第六人民医院,9.9,608,,￥79,
19,顾世忠,  副主任医师,外科,骨科,中国医科大学附属第一医院,10.0,405,,￥20,￥50
20,李明辉,  主治医师,外科,骨科,西京医院,9.9,123,,￥35,
21,杨兆平,  副主任医师,外科,骨科,山东省泰安市中心医院分院,10.0,13376,,￥20,￥39
22,虞聪,  主任医师,外科,骨科,复旦大学附属华山医院,9.8,949,,￥100,￥300
23,王锋,  副主任医师,外科,骨科,上海市第六人民医院,10.0,958,,￥200,￥400
24,陈雁西,  主任医师,外科,骨科,复旦大学附属中山医院,10.0,535,,￥100,
25,廖炳辉,  副主任医师,外科,骨科,西京医院,10.0,525,,￥49,
26,文霆,  主任医师,外科,骨科,中南大学湘雅医院,9.5,32,,￥100,
27,谢林,  主治医师,外科,骨科,华中科技大学同济医学院附属协和医院,9.9,304,,￥20,￥100
28,刘代忠,  副主任医师,外科,骨科,四川大学华西医院西藏成办分院,10.0,13491,,￥15,￥30
29,王勇,  主任医师,外科,骨科,北京大学第三医院,10.0,147,,￥30,
30,郑宪友,  主任医师,外科,骨科,上海市第六人民医院,9.6,3648,专家团队,￥150,
31,李政,  副主任医师,外科,骨科,北京协和医院,9.7,101,,￥90,
32,周华,  副主任医师,外科,骨科,北京大学第三医院,10.0,149,,￥100,￥900
33,李良满,  主任医师,外科,骨科,中国医科大学附属第一医院,10.0,97,专家团队,￥59,￥200
34,侯鹏,  主治医师,外科,骨科,上海市第六人民医院,9.9,127,,￥30,
35,姜亮,  主任医师,外科,骨科,北京大学第三医院,10.0,72,,￥500,
36,宋会平,  主任医师,外科,骨科,华北理工大学附属医院,10.0,4926,,￥88,￥158
37,亓向同,  副主任医师,外科,骨科,泰安市中心医院,10.0,5762,,￥50,
38,张爱森,  副主任医师,外科,骨科,江苏省人民医院,10.0,8,专家团队,￥30,
39,代加楠,  副主任医师,外科,骨科,延安大学咸阳医院,10.0,72814,,￥20,
40,周晓枢,  副主任医师,外科,骨科,中国医科大学附属第一医院,,12,,￥20,
41,王泽刚,  主治医师,外科,骨科,北京大学第三医院,,2,,￥30,
42,刘雷,  主任医师,外科,骨科,四川大学华西医院,9.7,2652,,￥60,
43,邹雄飞,  副主任医师,外科,骨科,北京协和医院西院,9.7,112,,￥50,
44,吕扬,  副主任医师,外科,骨科,北京大学第三医院,10.0,26,,￥500,￥800
45,翟吉良,  副主任医师,外科,骨科,北京协和医院,9.8,59,,￥60,
46,万方,  主治医师,外科,骨科,复旦大学附属华山医院浦东院区,9.9,253,,￥188,￥399
47,潘胜发,  副主任医师,外科,骨科,北京大学第三医院,9.8,54,,￥100,
48,聂铭博,  副主任医师,外科,骨科,华中科技大学同济医学院附属同济医院,10.0,84,,￥30,
49,陈杰,  副主任医师,外科,骨科,复旦大学附属华山医院,10.0,98,,￥60,
50,王勇,  主治医师,外科,骨科,山东省第二人民医院（山东省耳鼻喉医院）,10.0,845,,￥49,￥200
51,李杰,  主治医师,外科,骨科,中国医科大学附属第一医院,10.0,20,,￥30,
52,祁军,  副主任医师,外科,骨科,华中科技大学同济医学院附属同济医院,,1,,￥30,
53,王洪立,  副主任医师,外科,骨科,复旦大学附属华山医院,10.0,1482,专家团队,￥100,
54,高阳,  主治医师,外科,骨科,北京大学第三医院,9.9,1260,,￥49,￥100
55,苏琰,  副主任医师,外科,骨科,上海市第六人民医院,9.9,650,,￥150,
56,郑帅,  副主任医师,外科,骨科,南方医科大学南方医院,9.9,972,,￥268,￥368
57,魏亦兵,  副主任医师,外科,骨科,复旦大学附属华山医院,9.1,205,专家团队,￥60,
58,李涛,  副主任医师,外科,骨科,西北妇女儿童医院,10.0,2497,,￥50,￥80
59,陈文坚,  副主任医师,外科,骨科,华中科技大学同济医学院附属同济医院,10.0,15,,￥30,
60,邢文钊,  副主任医师,外科,骨科,河北医科大学第三医院,10.0,292,,￥35,￥50
61,张进霖,  主治医师,外科,骨科,上海交通大学医学院附属瑞金医院北部院区,10.0,27262,,￥35,￥55
