,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,李伟,  副主任医师,妇产科,妇产科综合,华中科技大学同济医学院附属同济医院,10.0,217,,,￥150
1,田秦杰,  主任医师,妇产科,妇产科综合,北京协和医院西院,9.9,568,专家团队,￥800,￥1200
2,项涛,  副主任医师,妇产科,妇产科综合,华中科技大学附属同济医院光谷院区,9.9,4856,,￥50,￥150
3,王少帅,  副主任医师,妇产科,妇产科综合,华中科技大学同济医学院附属同济医院,9.9,1013,,￥50,￥100
4,刘佳,  副主任医师,妇产科,妇产科综合,华中科技大学同济医学院附属同济医院,10.0,745,,￥20,
5,邹世恩,  主任医师,妇产科,妇产科综合,复旦大学附属妇产科医院黄浦院区,9.9,4571,专家团队,￥299,￥499
6,邓东锐,  主任医师,妇产科,妇产科综合,华中科技大学同济医学院附属同济医院,9.9,5702,,￥100,￥600
7,王亚平,  副主任医师,妇产科,妇产科综合,北京协和医院西院,9.9,359,,￥200,￥300
8,张玲,  主治医师,妇产科,妇产科综合,复旦大学附属妇产科医院黄浦院区,10.0,551,,￥60,
9,肖喜荣,  主任医师,妇产科,妇产科综合,复旦大学附属妇产科医院黄浦院区,10.0,491,,￥158,￥300
10,叶双梅,  副主任医师,妇产科,妇产科综合,华中科技大学同济医学院附属同济医院,10.0,2291,,￥50,￥100
11,梁嬛,  副主任医师,妇产科,妇产科综合,复旦大学附属妇产科医院黄浦院区,10.0,2501,,￥168,
12,杨建波,  副主任医师,妇产科,妇产科综合,中山大学附属第一医院,10.0,162,,￥200,
13,邓敏,  主治医师,妇产科,妇产科综合,中山大学附属第一医院,10.0,13,,￥20,
14,吴庆华,  主任医师,妇产科,妇产科综合,郑州大学第一附属医院,10.0,728,专家团队,￥75,
15,李桂英,  副主任医师,妇产科,妇产科综合,复旦大学附属妇产科医院杨浦院区,9.6,3091,,￥238,￥248
16,艾继辉,  主任医师,妇产科,妇产科综合,华中科技大学附属同济医院光谷院区,10.0,9087,,￥100,
17,刘丽江,  主任医师,妇产科,妇产科综合,华中科技大学附属同济医院光谷院区,9.1,158,,￥100,
18,李喜莲,  副主任医师,妇产科,妇产科综合,复旦大学附属妇产科医院黄浦院区,10.0,4,,￥200,￥300
19,李强,  副主任医师,妇产科,妇产科综合,华中科技大学同济医学院附属同济医院,9.9,4594,,￥30,￥50
20,徐蓓,  副主任医师,妇产科,妇产科综合,华中科技大学同济医学院附属同济医院,10.0,5922,,￥30,￥50
21,翁艳洁,  副主任医师,妇产科,妇产科综合,华中科技大学同济医学院附属同济医院,10.0,1391,,￥40,
22,陈锰,  副主任医师,妇产科,妇产科综合,四川大学华西第二医院,,6,,￥60,￥300
23,张炜,  主任医师,妇产科,妇产科综合,复旦大学附属妇产科医院黄浦院区,9.5,5417,专家团队,￥390,￥680
24,周金玲,  副主任医师,妇产科,妇产科综合,浙江大学医学院附属妇产科医院,10.0,98,,￥80,￥100
25,李刚,  主任医师,妇产科,妇产科综合,郑州大学第一附属医院,10.0,372,,￥59,￥300
26,刘艳娟,  副主任医师,妇产科,妇产科综合,华中科技大学附属同济医院中法新城院区,9.8,1052,,￥30,
27,赵连明,  副主任医师,妇产科,妇产科综合,北京大学第三医院,10.0,14447,,￥120,￥180
28,史颖莉,  主任医师,妇产科,妇产科综合,复旦大学附属妇产科医院杨浦院区,10.0,1177,,￥199,￥300
29,郭奇桑,  副主任医师,妇产科,妇产科综合,上海衡山虹妇幼医院,9.9,982,,￥100,￥300
30,彭明刚,  副主任医师,妇产科,妇产科综合,华中科技大学同济医学院附属协和医院,9.9,141,,￥69,￥200
31,殷莉,  副主任医师,妇产科,妇产科综合,华中科技大学附属同济医院光谷院区,9.9,192,,￥30,
32,贾新转,  副主任医师,妇产科,妇产科综合,河北医科大学第四医院,10.0,25593,,￥99,￥199
33,徐伏兰,  主任医师,妇产科,妇产科综合,孝感市中心医院,10.0,10127,,￥69,￥300
34,焦坤,  副主任医师,妇产科,妇产科综合,泰安市中医医院,10.0,7069,,￥20,￥40
35,王英俊,  主治医师,妇产科,妇产科综合,浙江大学医学院附属妇产科医院,10.0,369,,￥29,
36,孙惠兰,  主任医师,妇产科,妇产科综合,杭州仁德妇产医院,10.0,9997,,￥50,
37,陈丹青,  主任医师,妇产科,妇产科综合,浙江大学医学院附属妇产科医院,9.9,350,,￥500,￥2000
38,石鑫玮,  副主任医师,妇产科,妇产科综合,华中科技大学同济医学院附属同济医院,9.9,184,,￥20,
39,侯亚亚,  主治医师,妇产科,妇产科综合,华中科技大学同济医学院附属协和医院,10.0,104,,￥20,
40,岑立微,  副主任医师,妇产科,妇产科综合,复旦大学附属妇产科医院杨浦院区,10.0,62,,￥100,
