,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,杨隽钧,  主任医师,妇产科,妇科,北京协和医院,10.0,2431,专家团队,￥480,￥700
1,熊巍,  副主任医师,妇产科,妇科,北京协和医院,10.0,1953,专家团队,￥269,￥500
2,秦宇,  主治医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,10.0,1140,,￥26,￥50
3,陈平波,  副主任医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,10.0,5540,,￥46,￥200
4,田秦杰,  主任医师,妇产科,妇科,北京协和医院,9.9,568,专家团队,￥800,￥1200
5,项涛,  副主任医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,9.9,4856,,￥50,￥150
6,万希润,  主任医师,妇产科,妇科,北京协和医院,9.7,58,,￥999,
7,刘佳,  副主任医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,10.0,745,,￥20,
8,史宏晖,  主任医师,妇产科,妇科,北京协和医院,10.0,137,,￥499,￥599
9,赵峻,  主任医师,妇产科,妇科,北京协和医院,10.0,65,,￥1000,
10,邹世恩,  主任医师,妇产科,妇科,复旦大学附属妇产科医院黄浦院区,9.9,4571,专家团队,￥299,￥499
11,邓东锐,  主任医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,9.9,5702,,￥100,￥600
12,邱琳,  主治医师,妇产科,妇科,北京协和医院,10.0,1975,专家团队,￥269,￥500
13,任常,  副主任医师,妇产科,妇科,北京协和医院,9.8,382,,￥306,
14,单莹,  副主任医师,妇产科,妇科,北京协和医院,9.9,775,,￥250,
15,王亚平,  副主任医师,妇产科,妇科,北京协和医院,9.9,359,,￥200,￥300
16,陶陶,  副主任医师,妇产科,妇科,北京协和医院,10.0,21,,,
17,陈蔚琳,  主任医师,妇产科,妇科,北京协和医院,9.7,518,专家团队,￥500,
18,叶双梅,  副主任医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,10.0,2291,,￥50,￥100
19,诸葛听,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院黄浦院区,10.0,3815,,￥100,
20,彭靖,  主治医师,妇产科,妇科,复旦大学附属妇产科医院黄浦院区,10.0,2466,,￥72,￥88
21,姜伟,  主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,10.0,19131,,￥100,￥200
22,任彤,  主任医师,妇产科,妇科,北京协和医院,9.9,159,,￥299,￥999
23,顾宇,  副主任医师,妇产科,妇科,北京协和医院,10.0,9,,,
24,杨建波,  副主任医师,妇产科,妇科,广州微医医院,10.0,162,,￥200,
25,赵洪波,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,9.9,25684,专家团队,￥80,
26,吴琴姣,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,10.0,12352,,￥120,￥300
27,顾彧,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,9.6,994,,￥160,￥200
28,李桂英,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,9.6,3091,,￥238,￥248
29,朱蔚敏,  主治医师,妇产科,妇科,复旦大学附属妇产科医院黄浦院区,10.0,2104,,￥50,
30,夏和霞,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院黄浦院区,10.0,265,,￥79,
31,刘丽江,  主任医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,9.1,158,,￥100,
32,周慧梅,  副主任医师,妇产科,妇科,北京协和医院,10.0,452,,￥399,
33,董晶,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院黄浦院区,10.0,1552,,￥399,
34,赵明智,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,10.0,638,,￥90,
35,牛艳芬,  主治医师,妇产科,妇科,北京大学第三医院,10.0,395,,￥60,
36,王恬,  主治医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,,2,,￥30,
37,李强,  副主任医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,9.9,4594,,￥30,￥50
38,徐蓓,  副主任医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,10.0,5922,,￥30,￥50
39,翁艳洁,  副主任医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,10.0,1391,,￥40,
40,钟森,  副主任医师,妇产科,妇科,北京协和医院,,3,专家团队,￥200,
41,吴小肄,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,10.0,458,,￥80,￥65
42,张炜,  主任医师,妇产科,妇科,复旦大学附属妇产科医院黄浦院区,9.5,5417,专家团队,￥390,￥680
43,杜明,  主任医师,妇产科,妇科,复旦大学附属妇产科医院黄浦院区,9.8,3308,专家团队,￥300,￥500
44,钱金凤,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,10.0,1324,,￥100,
45,刘婷,  主治医师,妇产科,妇科,山东大学齐鲁医院,9.9,996,,￥20,￥50
46,俞梅,  主任医师,妇产科,妇科,北京协和医院,10.0,630,专家团队,￥299,
47,伍俊萍,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院黄浦院区,9.6,622,,￥200,
48,聂姬婵,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,9.9,113,,￥150,￥150
49,康林英,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院黄浦院区,9.6,1858,专家团队,￥150,
50,姚霁航,  副主任医师,妇产科,妇科,中国医科大学附属第一医院,10.0,1881,,￥40,￥200
51,牛荔,  主治医师,妇产科,妇科,哈尔滨医科大学附属第一医院,10.0,1141,,￥30,
52,刘艳娟,  副主任医师,妇产科,妇科,华中科技大学同济医学院附属同济医院,9.8,1052,,￥30,
53,史颖莉,  主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,10.0,1177,,￥199,￥300
54,陆鹏荣,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,9.5,1137,,￥300,￥350
55,郭奇桑,  副主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,9.9,982,,￥100,￥300
56,李雪莲,  主任医师,妇产科,妇科,复旦大学附属妇产科医院杨浦院区,9.1,518,,￥600,
