,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,胡平,  副主任医师,急诊医学科,急诊科,华中科技大学同济医学院附属同济医院,10.0,1795,,￥25,
1,刘善收,  主治医师,急诊医学科,急诊科,西京医院,9.9,79,,￥20,
2,郑梓煜,  副主任医师,急诊医学科,急诊科,中山大学附属第一医院,10.0,52,,￥39,
3,肖鹏,  主任医师,急诊医学科,急诊科,郑州大学第一附属医院,9.9,459,专家团队,￥20,￥200
4,李刚,  主任医师,急诊医学科,急诊科,郑州大学第一附属医院,10.0,372,,￥59,￥300
5,高路,  副主任医师,急诊医学科,急诊科,郑州大学第一附属医院,10.0,132,,￥30,
6,郭学利,  主任医师,急诊医学科,急诊科,郑州大学第一附属医院,9.9,2009,专家团队,￥30,￥200
7,吴永峰,  副主任医师,急诊医学科,急诊科,七台河市人民医院,10.0,14081,,￥20,￥20
8,艾波,  主治医师,急诊医学科,急诊科,武汉大学人民医院,10.0,269,,￥20,
9,汪辛强,  主治医师,急诊医学科,急诊科,湖南中医药大学第一附属医院,9.9,3970,,￥20,￥40
10,肖浩,  主治医师,急诊医学科,急诊科,河北医科大学第二医院,10.0,285,,￥20,
11,傅健,  主治医师,急诊医学科,急诊科,首都医科大学附属北京同仁医院,9.9,1817,,￥20,￥20
12,梁申芝,  副主任医师,急诊医学科,急诊科,郑州大学第一附属医院,9.8,54,专家团队,￥20,
13,白伟民,  主治医师,急诊医学科,急诊科,河南省人民医院,10.0,60,,￥20,￥100
14,李柏刚,  主任医师,急诊医学科,急诊科,齐齐哈尔市第一医院,10.0,205,,￥50,
15,粟英,  副主任医师,急诊医学科,急诊科,湖北民族大学附属民大医院,10.0,834,,￥20,
16,林秋海,  主治医师,急诊医学科,急诊科,上海交通大学附属第一人民医院,9.0,539,,￥20,
17,丛云峰,  主任医师,急诊医学科,急诊科,哈尔滨医科大学附属第四医院,10.0,462,,￥30,￥60
18,余梅玫,  副主任医师,急诊医学科,急诊科,合肥市第一人民医院,,1,,￥20,
19,白亚辉,  副主任医师,急诊医学科,急诊科,郑州大学第一附属医院,10.0,50,,￥30,￥80
20,程立顺,  主任医师,急诊医学科,急诊科,合肥市第一人民医院,10.0,1820,,￥45,￥60
21,唐龙,  主治医师,急诊医学科,急诊科,陕西省人民医院,10.0,1141,,￥50,￥300
22,周长银,  主任医师,急诊医学科,急诊科,枣庄市立医院,10.0,259,,￥20,￥100
23,陈楚杰,  副主任医师,急诊医学科,急诊科,广州中医药大学第一附属医院,9.9,183,,￥39,
24,徐俪颖,  副主任医师,急诊医学科,急诊科,浙江省中医院,10.0,2000,,￥20,
25,李凡,  副主任医师,急诊医学科,急诊科,重庆医科大学附属第一医院金山医院,,2,,￥50,
26,叶烨,  主任医师,急诊医学科,急诊科,广东省中医院大德路总院,10.0,1105,,￥100,
27,郭弘堃,  主治医师,急诊医学科,急诊科,福建医科大学附属第一医院,10.0,113,,￥20,
28,杨磊,  主治医师,急诊医学科,急诊科,平顶山市第一人民医院,10.0,7319,,￥20,￥20
29,许崇斯,  副主任医师,急诊医学科,急诊科,湖南中医药大学第二附属医院,,9,,￥20,￥50
30,张强,  主任医师,急诊医学科,急诊科,泰安市中医医院,10.0,174,专家团队,￥0,￥20
31,费朝霞,  副主任医师,急诊医学科,急诊科,青岛市海慈医疗集团,9.9,783,专家团队,￥60,￥100
32,杨岗稳,  主治医师,急诊医学科,急诊科,榆林市第一医院,9.9,49,,￥20,￥50
33,耿继飞,  主治医师,急诊医学科,急诊科,泰安市中医医院,10.0,9,专家团队,￥30,
34,黄一赫,  主治医师,急诊医学科,急诊科,齐齐哈尔市中医医院,10.0,495,,￥20,
35,刘庆东,  副主任医师,急诊医学科,急诊科,泰安市中医医院,10.0,10,,￥10,
36,姜永生,  副主任医师,急诊医学科,急诊科,华中科技大学附属同济医院中法新城院区,9.7,122,,￥150,
37,王洪发,  主治医师,急诊医学科,急诊科,哈尔滨市第一医院,10.0,1097,,￥30,￥30
38,张莉,  副主任医师,急诊医学科,急诊科,山东省立第三医院,10.0,718,专家团队,￥30,￥50
39,赵庆峰,  副主任医师,急诊医学科,急诊科,南京市中医院,10.0,85,,￥30,
40,李铿,  主治医师,急诊医学科,急诊科,长沙市中心医院,10.0,353,,￥20,
41,张高兰,  主治中医师,急诊医学科,急诊科,泰安市中医医院,10.0,48,专家团队,￥10,￥30
42,潘钰婷,  主治医师,急诊医学科,急诊科,九江市第一人民医院,10.0,14,,￥30,
43,许彦明,  副主任医师,急诊医学科,急诊科,黑龙江省密山市人民医院,,1,,￥30,
44,李震,  主任医师,急诊医学科,急诊科,郑州大学第一附属医院,10.0,124,专家团队,￥20,
45,余平,  主治医师,急诊医学科,急诊科,武汉市第三医院首义院区,10.0,438,,￥20,￥50
46,陈焕,  主治医师,急诊医学科,急诊科,赣州市人民医院,10.0,1382,,￥30,
47,杨振中,  主治医师,急诊医学科,急诊科,西藏自治区人民医院,9.9,281,,￥20,
48,杨海棠,  副主任医师,急诊医学科,急诊科,漯河市中医院,10.0,64,,￥30,
49,赵江明,  主任医师,急诊医学科,急诊科,安徽省立医院（南区）,10.0,439,,,
50,尚文俊,  主任医师,急诊医学科,急诊科,郑州大学第一附属医院,9.9,160,专家团队,￥500,
51,马彬,  副主任医师,急诊医学科,急诊科,枣庄市立医院,10.0,132,,￥20,
52,黄莹,  副主任医师,急诊医学科,急诊科,湖南省人民医院,10.0,31,,￥79,￥79
53,李音,  副主任医师,急诊医学科,急诊科,复旦大学附属华东医院,10.0,230,,￥50,￥50
54,王萌,  主治医师,急诊医学科,急诊科,保定市第一中医院,10.0,125,,￥21,￥50
55,梁卫华,  住院医师,急诊医学科,急诊科,淮安市中医院,10.0,269,,￥30,
56,周敏,  主治医师,急诊医学科,急诊科,广东省第二中医院,10.0,20,,￥30,
57,顾江桥,  主治医师,急诊医学科,急诊科,绍兴市上虞中医医院,10.0,42,,￥30,
58,郝玉贵,  副主任医师,急诊医学科,急诊科,枣庄市立医院,10.0,14,,￥20,
59,田永超,  主治医师,急诊医学科,急诊科,天津中医药大学第一附属医院,,3,,￥10,
60,卢旭,  主治医师,急诊医学科,急诊科,三明市中西医结合医院,,33,,￥30,
61,隋欣烔,  主治医师,急诊医学科,急诊科,中国医科大学附属第一医院,10.0,7,,￥20,
62,张凤琪,  主治医师,急诊医学科,急诊科,天津市武清区中医医院,10.0,199,,￥20,
63,高尚秋,  主治医师,急诊医学科,急诊科,山东青岛中西医结合医院,10.0,1090,,￥20,￥20
64,戴隆金,  住院医师,急诊医学科,急诊科,金华市中心医院,9.9,366,,￥20,￥45
65,刘民军,  主治医师,急诊医学科,急诊科,赣州市立医院,9.5,196,,￥30,
66,高薇薇,  主治医师,急诊医学科,急诊科,天津市中医药研究院附属医院,,1,,￥30,
67,张耿昌,  副主任医师,急诊医学科,急诊科,普宁市人民医院,,3,,￥20,
68,殷宪刚,  主任医师,急诊医学科,急诊科,山东省立医院,10.0,30,,￥300,
69,郭玉飞,  副主任医师,急诊医学科,急诊科,湖北省中西医结合医院,,8,,￥40,￥120
70,韩奕,  主治医师,急诊医学科,急诊科,复旦大学附属中山医院,10.0,16,,￥100,
71,张骥,  主治医师,急诊医学科,急诊科,陕西省人民医院,10.0,42,,￥30,
72,张洪松,  副主任医师,急诊医学科,急诊科,四川省第四人民医院,,3,,￥40,
73,李巧华,  副主任中医师,急诊医学科,急诊科,临颍县妇幼保健院,10.0,375,,￥30,
74,黄孝锋,  住院医师,急诊医学科,急诊科,福建医科大学附属第一医院,,4,,￥30,
75,封启明,  主任医师,急诊医学科,急诊科,上海市第六人民医院,9.4,55,,￥79,
76,朱华,  副主任医师,急诊医学科,急诊科,南京医科大学第二附属医院,10.0,105,,￥50,
77,朴光熙,  副主任医师,急诊医学科,急诊科,北部战区总医院,,2,,￥50,
78,王瑛,  主治医师,急诊医学科,急诊科,武汉市第三医院首义院区,10.0,43,,￥20,
79,张鑫,  主治医师,急诊医学科,急诊科,天津中医药大学第一附属医院,,4,,￥10,
80,赵岩,  副主任医师,急诊医学科,急诊科,齐齐哈尔市中医医院,,2,,￥30,
81,王中焕,  主治医师,急诊医学科,急诊科,枣庄市立医院,,2,,￥20,
82,侯钢,  主治医师,急诊医学科,急诊科,枣庄市立医院,,2,,￥20,
83,梁丽红,  主治医师,急诊医学科,急诊科,河间市人民医院,,1,,￥20,
84,郝德勋,  主治医师,急诊医学科,急诊科,郑州大学第一附属医院,9.8,210,专家团队,,￥80
85,戴元荣,  主治医师,急诊医学科,急诊科,重庆长航医院,10.0,378,,￥20,
86,张茜,  副主任医师,急诊医学科,急诊科,空军军医大学(第四军医大学)口腔医学院,9.7,300,专家团队,￥100,
87,杨尚达,  主治医师,急诊医学科,急诊科,湘潭市第一人民医院,,4,,￥30,
88,王洪祥,  住院医师,急诊医学科,急诊科,天津市宝坻区人民医院,,1,,￥30,
89,李强,  住院医师,急诊医学科,急诊科,郴州市第一人民医院中心医院,,3,,￥30,
90,吴辛,  住院医师,急诊医学科,急诊科,江门市新会区人民医院,,1,,￥30,
91,陈浩,  主任医师,急诊医学科,急诊科,上海市长宁区天山中医医院,9.6,834,,￥100,￥200
92,王洪青,  主任医师,急诊医学科,急诊科,徐州市儿童医院,9.9,383,,￥45,￥50
93,邹华新,  主任医师,急诊医学科,急诊科,徐州市儿童医院,10.0,1074,,￥50,
94,杜兵强,  主任医师,急诊医学科,急诊科,郑州市第六人民医院,10.0,625,,￥30,
95,谭庆山,  主任医师,急诊医学科,急诊科,呼伦贝尔市人民医院,9.3,632,,,￥500
96,傅智明,  主治医师,急诊医学科,急诊科,三明市中西医结合医院,,1,,￥30,
97,林黄果,  副主任中医师,急诊医学科,急诊科,广东省中医院大学城医院,10.0,121,,￥50,
98,宋均宝,  住院医师,急诊医学科,急诊科,枣庄市立医院,,2,,￥20,
99,李连祥,  住院医师,急诊医学科,急诊科,山东第一医科大学第二附属医院,,2,,￥20,
100,黄雪垠,  主治医师,急诊医学科,急诊科,赣州市中医院,,1,,￥20,
101,黄承应,  住院医师,急诊医学科,急诊科,三明市中西医结合医院,,1,,￥30,
102,李证,  住院医师,急诊医学科,急诊科,盘锦市中医院,10.0,32,,￥20,
103,黄伟亮,  住院医师,急诊医学科,急诊科,丰顺县中医医院,,1,,￥30,
104,李振勇,  主任医师,急诊医学科,急诊科,徐州市中心医院,9.9,82,,￥50,￥50
105,顾月清,  主任医师,急诊医学科,急诊科,上海交通大学附属胸科医院,9.3,122,,￥200,
106,曾靖,  主任中医师,急诊医学科,急诊科,广东省中医院大学城医院,10.0,402,,￥50,
107,徐新兵,  主治医师,急诊医学科,急诊科,山东第一医科大学第二附属医院,10.0,155,,,￥20
108,韩振远,  主治医师,急诊医学科,急诊科,北海市人民医院,10.0,50,,￥30,
109,王明光,  主任医师,急诊医学科,急诊科,徐州市儿童医院,,3,,￥50,
110,陈国庭,  主任医师,急诊医学科,急诊科,上海市东方医院总院,,2,,￥30,
111,王琛宇,  主治医师,急诊医学科,急诊科,齐齐哈尔市中医医院,,3,,￥30,
112,张荣,  副主任医师,急诊医学科,急诊科,温州数字医院,10.0,53,,￥10,￥20
113,武冬,  副主任医师,急诊医学科,急诊科,陕西省人民医院,10.0,154,,￥20,
114,黄创伟,  住院医师,急诊医学科,急诊科,广州医科大学附属第二医院,9.9,21,,￥30,
115,盛越锋,  副主任医师,急诊医学科,急诊科,常熟市第一人民医院,10.0,38,,￥20,￥50
116,张志伟,  主治医师,急诊医学科,急诊科,安阳地区医院,,5,,￥30,
117,刘光河,  主治医师,急诊医学科,急诊科,泰安市第一人民医院,10.0,67,,￥0,￥39
118,邵彬彬,  住院医师,急诊医学科,急诊科,衢州市中医院,10.0,220,,￥5,
119,罗志辉,  主治医师,急诊医学科,急诊科,南方医科大学深圳医院,,3,,￥30,
120,聂辉,  主治医师,急诊医学科,急诊科,大庆油田脑血管医院,10.0,186,,￥50,￥20
121,赵锟,  副主任医师,急诊医学科,急诊科,定西市安定区西巩驿镇中心卫生院,10.0,15,,￥10,
