,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,赖伟红,  副主任医师,皮肤科,性病科,中国医学科学院皮肤病医院,10.0,5626,,￥128,
1,蒋娟,  主任医师,皮肤科,性病科,中国医学科学院皮肤病医院,9.9,863,,￥200,
2,侯麦花,  主任医师,皮肤科,性病科,江苏省人民医院,9.9,2383,,￥200,￥200
3,苏晓红,  主任医师,皮肤科,性病科,中国医学科学院皮肤病医院,9.9,439,,￥100,
4,齐淑贞,  副主任医师,皮肤科,性病科,中国医学科学院皮肤病医院,9.9,1706,,￥100,￥120
5,王万卷,  主任医师,皮肤科,性病科,西安交通大学第二附属医院,9.8,3170,,￥60,￥120
6,张宏伟,  主任医师,皮肤科,性病科,首都医科大学附属北京佑安医院,9.9,1461,专家团队,￥100,￥350
7,李群辉,  主任医师,皮肤科,性病科,首都医科大学附属北京佑安医院,10.0,367,,￥200,￥200
8,蒙秉新,  主任医师,皮肤科,性病科,海南省人民医院,10.0,6,,￥199,
9,龙福泉,  主任医师,皮肤科,性病科,上海市皮肤病医院,9.9,1204,,￥138,￥189
10,侯建玲,  主任医师,皮肤科,性病科,山东第一医科大学附属皮肤病医院,10.0,46,,￥150,
11,易倩,  主治医师,皮肤科,性病科,湖南中医药大学第一附属医院,10.0,363,,￥100,￥200
12,原茵,  主任医师,皮肤科,性病科,牡丹江市第一人民医院,9.8,481,,￥30,￥50
13,戚腾飞,  主治医师,皮肤科,性病科,上海市皮肤病医院,10.0,171,,￥99,
14,成媛媛,  主治医师,皮肤科,性病科,上海市皮肤病医院,10.0,65,,￥59,
15,王秀丽,  主任医师,皮肤科,性病科,上海市皮肤病医院,9.6,79,,￥199,
16,顾昕,  副主任医师,皮肤科,性病科,上海市皮肤病医院,10.0,1456,,￥100,
17,姜立伟,  主治医师,皮肤科,性病科,湖南中医药大学第一附属医院,9.7,376,,￥50,￥100
18,画伟,  副主任医师,皮肤科,性病科,首都医科大学附属北京佑安医院,10.0,473,,￥70,
19,孙建明,  主任医师,皮肤科,性病科,上海市中医医院石门路院区,9.6,1270,,￥30,￥166
20,龚伟明,  主任医师,皮肤科,性病科,上海市皮肤病医院,9.8,1570,,￥120,
21,石梅,  副主任医师,皮肤科,性病科,上海市皮肤病医院,10.0,1279,,￥100,
22,张京姬,  副主任医师,皮肤科,性病科,首都医科大学附属北京佑安医院,9.9,360,,￥100,￥200
23,王茜,  主治医师,皮肤科,性病科,首都医科大学附属北京佑安医院,9.8,75,,￥100,
24,李在村,  主任医师,皮肤科,性病科,首都医科大学附属北京佑安医院,9.9,299,,￥400,￥500
25,曾红,  主治医师,皮肤科,性病科,成都市青白江区人民医院,,6,,￥49,￥288
26,相文忠,  主任医师,皮肤科,性病科,杭州市第三人民医院,10.0,22,,￥50,
27,樊毅,  主治医师,皮肤科,性病科,达州市达川区河市镇中心卫生院,9.5,80,,￥50,￥150
28,陈晓芬,  副主任医师,皮肤科,性病科,广东省中医院大学城医院,10.0,76,,￥40,
29,李红毅,  主任医师,皮肤科,性病科,广东省中医院大学城医院,9.0,315,专家团队,￥100,
30,解恒珍,  副主任医师,皮肤科,性病科,济南市皮肤病防治院,9.3,252,,￥20,￥100
31,陈信生,  主任医师,皮肤科,性病科,广东省中医院大德路总院,9.3,215,专家团队,￥100,
32,池凤好,  主任医师,皮肤科,性病科,广东省中医院大德路总院,8.3,136,专家团队,￥100,
33,邓家侵,  主治医师,皮肤科,性病科,广东省中医院大学城医院,9.5,538,,￥30,
34,刘安,  主任医师,皮肤科,性病科,首都医科大学附属北京佑安医院,,4,,,
35,劳业聪,  主治医师,皮肤科,性病科,化州市林尘卫生院,,2,,￥30,
36,孙清娟,  主任医师,皮肤科,性病科,内蒙古自治区人民医院,9.2,26,,,
37,林立真,  副主任医师,皮肤科,性病科,福建省皮肤病性病防治院,9.6,104,,,
38,廖列辉,  主任医师,皮肤科,性病科,广东省中医院大德路总院,9.0,184,专家团队,,
39,梁海莹,  副主任医师,皮肤科,性病科,广东省中医院大德路总院,9.1,77,专家团队,,
40,彭锐锐,  副主任医师,皮肤科,性病科,上海市皮肤病医院,10.0,65,,,
41,魏世娟,  住院医师,皮肤科,性病科,山东省千佛山医院,10.0,146,,,
42,陈俊宏,  住院医师,皮肤科,性病科,化州市林尘卫生院,9.7,41,,,
43,樊明,  副主任医师,皮肤科,性病科,青海省疾病预防控制中心,10.0,192,,,
44,吉彬,  副主任医师,皮肤科,性病科,天津市中医药研究院附属医院,,12,,,
45,刘成才,  副主任医师,皮肤科,性病科,川北医学院附属医院,,6,专家团队,,
46,胡太平,  主治医师,皮肤科,性病科,景德镇市皮肤病医院,,5,,,
47,孙继丹,  住院医师,皮肤科,性病科,肇州县朝阳沟卫生院,9.7,76,,,
48,王福喜,  主任医师,皮肤科,性病科,深圳市第二人民医院,9.1,12,,,
49,张凤池,  副主任医师,皮肤科,性病科,徐州市传染病医院,10.0,17,,,
50,梁宝莹,  主治医师,皮肤科,性病科,广东省中医院大学城医院,,28,,,
51,向丽萍,  主任医师,皮肤科,性病科,湖南中医药大学第二附属医院,7.1,8,,,
52,段妍,  主任医师,皮肤科,性病科,内蒙古自治区人民医院,,4,,,
53,刘代明,  主治医师,皮肤科,性病科,湖南中医药大学第二附属医院,,5,,,
54,孙宏勇,  住院医师,皮肤科,性病科,内蒙古自治区人民医院,,1,,,
55,吕均香,  副主任医师,皮肤科,性病科,济南市皮肤病防治院,,5,,,
56,杨日东,  主任医师,皮肤科,性病科,广州市皮肤病防治所,,15,,,
57,王英,  住院医师,皮肤科,性病科,汉滨区第一医院,,3,,,
