,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,郝军峰,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,8672,,￥50,￥100
1,谢凤含,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,1306,,￥49,
2,刘斌,  主任医师,皮肤科,皮肤性病科,西京医院,9.9,1286,,￥50,￥150
3,王莉,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,4413,,￥30,
4,郭伟楠,  主治医师,皮肤科,皮肤性病科,西京医院,9.9,476,,￥50,￥100
5,姚婷,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,691,,￥100,￥50
6,肖茜,  副主任医师,皮肤科,皮肤性病科,西京医院,10.0,1185,,￥99,￥198
7,师蓓,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,385,,￥10,
8,陈慧,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,756,,￥88,
9,余忠义,  主治医师,皮肤科,皮肤性病科,浙江省台州医院,10.0,67282,,￥30,￥45
10,孙红平,  副主任医师,皮肤科,皮肤性病科,新疆生产建设兵团第一师医院,10.0,5037,,￥40,
11,张倩,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,32,,￥39,
12,张晓,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,414,,￥35,
13,刘邦民,  副主任医师,皮肤科,皮肤性病科,西京医院,9.9,394,,￥40,
14,李玲芳,  主任医师,皮肤科,皮肤性病科,淮北市人民医院,10.0,33383,,￥80,
15,杜晓晖,  副主任医师,皮肤科,皮肤性病科,秦皇岛市中医医院,10.0,4758,,￥500,￥50
16,颜建伟,  主治医师,皮肤科,皮肤性病科,鹤岗市人民医院,10.0,3851,,￥20,￥39
17,鞠延娇,  主治医师,皮肤科,皮肤性病科,北京大学第三医院,10.0,1207,,￥50,￥200
18,毛晶,  主治医师,皮肤科,皮肤性病科,滨州医学院烟台附属医院,9.7,448,,￥20,￥20
19,秦明珠,  副主任医师,皮肤科,皮肤性病科,淮北市人民医院,10.0,29284,,￥50,￥120
20,刁友涛,  主任医师,皮肤科,皮肤性病科,广东省妇幼保健院番禺院区,10.0,2426,,￥80,
21,辛浩,  主治医师,皮肤科,皮肤性病科,淮南市第一人民医院,10.0,3643,,￥29,￥120
22,胡杰伟,  主治医师,皮肤科,皮肤性病科,利川市民族中医院,9.6,2263,,￥20,
23,王延婷,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,43,,￥60,
24,徐芳,  副主任医师,皮肤科,皮肤性病科,蚌埠医学院第二附属医院,10.0,6286,,￥20,￥30
25,陈胡林,  主治医师,皮肤科,皮肤性病科,广东省妇幼保健院番禺院区,10.0,5274,,￥30,
26,刘英权,  主治医师,皮肤科,皮肤性病科,石家庄市人民医院,10.0,18474,,￥20,￥30
27,倪萍,  副主任医师,皮肤科,皮肤性病科,蚌埠医学院第二附属医院,9.9,6892,,￥58,
28,吴亚东,  主治医师,皮肤科,皮肤性病科,石家庄市人民医院,10.0,7238,,￥30,￥100
29,张海龙,  副主任医师,皮肤科,皮肤性病科,西京医院,9.9,356,,￥150,
30,彭洋,  副主任医师,皮肤科,皮肤性病科,北京大学第一医院,10.0,353,专家团队,￥360,￥500
31,张谊,  副主任医师,皮肤科,皮肤性病科,温州医科大学附属第一医院老院区,10.0,1388,,￥50,￥80
32,刘志,  副主任医师,皮肤科,皮肤性病科,贵州医科大学附属医院,10.0,120,,￥30,
33,刘志罡,  副主任医师,皮肤科,皮肤性病科,哈尔滨市中医医院,10.0,19,,￥68,￥88
34,胡新红,  主治医师,皮肤科,皮肤性病科,唐都医院,10.0,2159,,￥30,
35,张金娥,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,232,,￥199,
36,赵建红,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,76,,￥90,
37,姬程,  主治医师,皮肤科,皮肤性病科,浙江省中医院,10.0,3655,,￥20,￥100
38,张超,  副主任医师,皮肤科,皮肤性病科,单县中心医院,10.0,4083,,￥20,
39,马瑞侠,  副主任医师,皮肤科,皮肤性病科,银川市妇幼保健院,10.0,2427,,￥20,
40,崔琳静,  主治医师,皮肤科,皮肤性病科,淮北市人民医院,9.6,1350,,￥100,
41,陶荣,  主治医师,皮肤科,皮肤性病科,北京大学第一医院,,7,,￥80,
42,党延玲,  主治医师,皮肤科,皮肤性病科,西北妇女儿童医院,10.0,5971,,￥30,
43,宋元涛,  主治医师,皮肤科,皮肤性病科,天津市儿童医院,10.0,4159,,￥39,￥500
44,徐信蜂,  副主任医师,皮肤科,皮肤性病科,菏泽市中医医院,10.0,2003,,￥20,￥40
45,刘光金,  副主任中医师,皮肤科,皮肤性病科,新泰市中医医院,10.0,970,,￥68,￥200
46,徐佩红,  主任医师,皮肤科,皮肤性病科,上海市第六人民医院,9.5,82,,￥108,
47,韩宪伟,  主任医师,皮肤科,皮肤性病科,沈阳市第七人民医院,10.0,2177,,￥50,￥70
48,唐洪波,  主治医师,皮肤科,皮肤性病科,眉山市妇幼保健院,10.0,12222,,￥10,￥39
49,王海英,  主任医师,皮肤科,皮肤性病科,北京大学首钢医院,10.0,2115,,￥40,￥100
50,刘春宜,  主治医师,皮肤科,皮肤性病科,襄阳市中心医院,10.0,1668,,￥25,￥200
51,张艳丽,  主治医师,皮肤科,皮肤性病科,河北医科大学第三医院,10.0,143,,￥25,
52,郭永贞,  主治医师,皮肤科,皮肤性病科,太原市中心医院,10.0,1618,,￥30,
53,路瑞娟,  副主任医师,皮肤科,皮肤性病科,甘肃省第二人民医院,10.0,383,,￥20,￥80
54,张华敏,  主治医师,皮肤科,皮肤性病科,山东中医药大学第二附属医院,10.0,152,,￥25,
55,刘太宾,  主治医师,皮肤科,皮肤性病科,德州市人民医院（山东大学齐鲁医院德州医院）,10.0,13187,,￥20,
56,刘明明,  主治医师,皮肤科,皮肤性病科,西京医院,10.0,503,,￥50,
57,程化翠,  副主任医师,皮肤科,皮肤性病科,新泰市中医医院,10.0,1479,,￥10,￥30
58,卢娟,  主治医师,皮肤科,皮肤性病科,新疆医科大学第二附属医院,10.0,112,,￥29,
59,王万卷,  主任医师,皮肤科,皮肤性病科,西安交通大学第二附属医院,9.8,3170,,￥60,￥120
60,宋国强,  主治医师,皮肤科,皮肤性病科,沈阳市第七人民医院,9.9,1480,,￥30,￥100
61,王晓雯,  副主任医师,皮肤科,皮肤性病科,北京大学第一医院,10.0,16,,￥199,
62,赵伟,  主治医师,皮肤科,皮肤性病科,上海市皮肤病医院,10.0,3384,,￥59,
63,胡艳双,  主治医师,皮肤科,皮肤性病科,牡丹江市第一人民医院,10.0,5714,,￥20,
64,赵艳,  主治医师,皮肤科,皮肤性病科,临沂市人民医院,10.0,210,,￥30,￥100
65,李伟娥,  主治医师,皮肤科,皮肤性病科,银川市妇幼保健院,10.0,341,,￥20,
66,王永贤,  主任医师,皮肤科,皮肤性病科,西安交通大学第二附属医院,9.8,361,,￥50,￥100
67,黄捷,  主任医师,皮肤科,皮肤性病科,深圳市第三人民医院,9.9,596,,￥50,￥200
68,高美艳,  主治医师,皮肤科,皮肤性病科,西京医院,9.3,103,,￥39,
