,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,吴金峰,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,1254,,￥89,
1,朱小华,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,31842,,￥150,￥500
2,王朵勤,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,23054,专家团队,￥108,￥200
3,马东来,  主任医师,皮肤科,皮肤科,北京协和医院,10.0,156,,￥1000,￥800
4,王倩倩,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,14532,,￥79,￥150
5,杨勤萍,  主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.6,7796,专家团队,￥258,￥600
6,杨永生,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.9,3370,,￥150,￥500
7,刘孟国,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,6667,专家团队,￥79,
8,唐慧,  主任医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,9727,专家团队,￥200,
9,郭昊,  副主任医师,皮肤科,皮肤科,中国医科大学附属第一医院,10.0,1572,,￥60,￥100
10,李锋,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.4,12982,专家团队,￥300,￥400
11,王月华,  主任医师,皮肤科,皮肤科,复旦大学附属华山医院浦东院区,9.7,5778,专家团队,￥280,￥300
12,魏明辉,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.3,3278,,￥150,￥500
13,朱奕锜,  医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,502,,￥75,
14,方丽华,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.5,11569,专家团队,￥300,
15,王家俊,  主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.7,5435,,￥200,
16,郑志忠,  主任医师,皮肤科,皮肤科,复旦大学附属华山医院虹桥院区,9.3,1117,,￥120,
17,洪玉晓,  主治医师,皮肤科,皮肤科,中国医科大学附属第一医院,10.0,194,,￥29,
18,张成锋,  主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.8,710,专家团队,￥499,
19,韩凌,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.9,785,专家团队,￥200,
20,赵漂萍,  主治医师,皮肤科,皮肤科,复旦大学附属儿科医院,10.0,1683,,￥90,￥150
21,王榴慧,  副主任医师,皮肤科,皮肤科,复旦大学附属儿科医院,9.6,6035,,￥200,
22,陈连军,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.2,907,专家团队,￥300,￥600
23,陈圣安,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,2142,专家团队,￥90,
24,张超英,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.0,1012,,￥200,
25,张庆,  副主任医师,皮肤科,皮肤科,中南大学湘雅二医院,9.8,232,,￥50,
26,徐涵,  主治医师,皮肤科,皮肤科,上海交通大学医学院附属瑞金医院,10.0,1075,,￥100,
27,黄琼,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,8.6,653,,￥150,
28,沈燕芸,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.9,2907,专家团队,￥150,
29,严昉,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,1459,专家团队,￥68,
30,周隽,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,954,,￥85,
31,罗帅寒天,  主治医师,皮肤科,皮肤科,中南大学湘雅二医院,9.8,920,,￥40,
32,林能兴,  主任医师,皮肤科,皮肤科,华中科技大学同济医学院附属协和医院,9.8,1174,专家团队,￥100,
33,夏莉,  主任医师,皮肤科,皮肤科,宁夏医科大学总医院,10.0,7159,专家团队,￥100,￥200
34,徐中奕,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,15,,￥79,
35,吴瑶,  主治医师,皮肤科,皮肤科,复旦大学附属儿科医院,10.0,2554,,￥100,￥150
36,吴家强,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,1171,,￥80,
37,吴杰,  副主任医师,皮肤科,皮肤科,复旦大学附属中山医院,10.0,1915,,￥80,￥120
38,曾婷,  主治医师,皮肤科,皮肤科,中南大学湘雅二医院,9.9,1317,,￥30,
39,王上上,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,9.9,801,专家团队,￥100,￥139
40,赖伟红,  副主任医师,皮肤科,皮肤科,中国医学科学院皮肤病医院,10.0,5626,,￥128,
41,蒋娟,  主任医师,皮肤科,皮肤科,中国医学科学院皮肤病医院,9.9,863,,￥200,
42,杨明炜,  主任医师,皮肤科,皮肤科,华中科技大学同济医学院附属同济医院,9.9,2583,,￥30,
43,尹慧彬,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,9.9,1356,,￥89,￥150
44,姜玥颀,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,401,,￥88,
45,张正华,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,8.7,10,,,
46,苏燕晨,  副主任医师,皮肤科,皮肤科,天津市蓟州区人民医院,10.0,71219,,￥30,￥50
47,孙新芬,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.3,5769,专家团队,￥328,
48,弓娟琴,  主任医师,皮肤科,皮肤科,中国医学科学院皮肤病医院,9.9,3892,,￥260,￥400
49,李久宏,  主任医师,皮肤科,皮肤科,中国医科大学附属第一医院,10.0,76,,￥160,
50,廖洁月,  主治医师,皮肤科,皮肤科,中南大学湘雅二医院,9.9,569,,￥50,
51,李红梅,  主任医师,皮肤科,皮肤科,重庆医科大学附属儿童医院,10.0,225,,￥150,
52,吴健,  副主任医师,皮肤科,皮肤科,上海儿童医学中心,9.8,2142,,￥128,
53,范丽云,  主治医师,皮肤科,皮肤科,天津医科大学总医院,10.0,3422,,￥35,￥100
54,傅雯雯,  主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.8,2173,,￥800,
55,谢勇,  副主任医师,皮肤科,皮肤科,北京协和医院,9.9,190,,￥288,￥1000
56,周英,  主任医师,皮肤科,皮肤科,中南大学湘雅二医院,9.8,1012,,￥180,
57,顾超颖,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,863,,￥128,
58,陈淑君,  副主任医师,皮肤科,皮肤科,复旦大学附属华山医院,9.7,106,,￥100,
59,陈力,  主治医师,皮肤科,皮肤科,复旦大学附属华山医院,10.0,883,,￥89,￥198
60,向桂琼,  主治医师,皮肤科,皮肤科,西安医学院第一附属医院,9.9,11002,,￥50,￥100
61,唐玮韬,  主治医师,皮肤科,皮肤科,复旦大学附属儿科医院,10.0,197,,￥100,
62,高飞,  副主任医师,皮肤科,皮肤科,长沙市第一医院,10.0,22388,,￥39,￥99
63,胡乃明,  主任医师,皮肤科,皮肤科,鄂州市中心医院,9.9,4773,,￥300,
64,李明,  主任医师,皮肤科,皮肤科,复旦大学附属儿科医院,9.9,4061,,￥200,
65,曾学思,  主任医师,皮肤科,皮肤科,中国医学科学院皮肤病医院,10.0,2979,,￥300,￥300
66,杨井,  副主任医师,皮肤科,皮肤科,华中科技大学同济医学院附属协和医院,9.9,2072,专家团队,￥50,
