,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,杨旭波,  副主任医师,眼科,小儿眼科,四川大学华西医院,10.0,932,,￥199,￥300
1,邱璇,  主治医师,眼科,小儿眼科,中山大学中山眼科中心,10.0,179,,￥100,
2,刘刚,  主治医师,眼科,小儿眼科,首都医科大学附属北京同仁医院,10.0,129,,￥200,
3,张雪,  主治医师,眼科,小儿眼科,哈尔滨市儿童医院,10.0,2840,,￥25,￥40
4,袁昌亮,  副主任医师,眼科,小儿眼科,湖北省妇幼保健院,10.0,1132,,￥30,￥80
5,麦伟虎,  副主任医师,眼科,小儿眼科,海南省妇幼保健院,10.0,214,,￥29,￥129
6,肇龙,  副主任医师,眼科,小儿眼科,北京大学第一医院,9.9,916,,￥450,￥1000
7,王苏,  副主任医师,眼科,小儿眼科,湖北省妇幼保健院,10.0,1643,,￥30,￥69
8,崔元玥,  主治医师,眼科,小儿眼科,上海儿童医学中心,10.0,85,,￥50,
9,李谐,  主治医师,眼科,小儿眼科,上海儿童医学中心,10.0,6225,,￥30,
10,靳婧,  主治医师,眼科,小儿眼科,上海儿童医学中心,10.0,642,,￥30,
11,夏红玉,  副主任医师,眼科,小儿眼科,昆明市儿童医院,10.0,90,,￥60,
12,邸悦,  副主任医师,眼科,小儿眼科,上海市儿童医院北京西路院区,10.0,4253,专家团队,￥36,￥140
13,蒋晶晶,  副主任医师,眼科,小儿眼科,北京儿童医院,10.0,1009,,￥77,
14,申涛,  主治医师,眼科,小儿眼科,中山大学中山眼科中心,,5,,￥200,
15,刘丹,  主治医师,眼科,小儿眼科,温州医科大学附属第二医院,10.0,96,,￥30,
16,符竹筠,  主治医师,眼科,小儿眼科,南京市儿童医院,10.0,257,,￥30,
17,洪德健,  主任医师,眼科,小儿眼科,江苏省中医院,10.0,676,,￥50,
18,梅芳,  主任医师,眼科,小儿眼科,南京市儿童医院,10.0,195,,￥100,
19,王惠,  副主任医师,眼科,小儿眼科,河南省儿童医院,10.0,204,,￥20,
20,陈敏,  主任医师,眼科,小儿眼科,河南省儿童医院,9.8,126,,￥24,
21,娄斌,  主治医师,眼科,小儿眼科,南京市儿童医院,10.0,1194,,￥50,￥79
22,余继锋,  主任医师,眼科,小儿眼科,北京儿童医院,10.0,49,,￥200,
23,周青,  副主任医师,眼科,小儿眼科,南京市儿童医院,9.8,333,,￥100,￥200
24,揭红,  副主任医师,眼科,小儿眼科,武汉市妇女儿童医疗保健中心(儿童门诊),9.8,78,,￥40,
25,佘相均,  主治医师,眼科,小儿眼科,浙江省眼科医院杭州院区,10.0,65,专家团队,￥20,
26,钱晶,  副主任医师,眼科,小儿眼科,南京市儿童医院,9.9,482,,￥100,
27,胡燕妮,  主任医师,眼科,小儿眼科,湖北省妇幼保健院,10.0,370,,￥30,￥60
28,吴琼,  主治医师,眼科,小儿眼科,西北妇女儿童医院,10.0,59,,￥40,
29,刘红,  主任医师,眼科,小儿眼科,上海儿童医学中心,9.4,1283,专家团队,￥300,￥500
30,魏伟,  主任医师,眼科,小儿眼科,江苏省中医院,9.4,168,专家团队,￥80,￥100
31,张煜昭,  主治医师,眼科,小儿眼科,武汉市妇女儿童医疗保健中心(儿童门诊),10.0,10,,￥30,
32,叶海昀,  副主任医师,眼科,小儿眼科,上海市儿童医院北京西路院区,9.8,84,专家团队,￥30,￥150
33,万晓梅,  主治医师,眼科,小儿眼科,山东第一医科大学附属青岛眼科医院,9.7,108,专家团队,￥50,
34,李巧娴,  主任医师,眼科,小儿眼科,北京大学第一医院,10.0,326,,￥600,￥600
35,白雪晴,  副主任医师,眼科,小儿眼科,北京儿童医院,9.9,861,专家团队,￥100,
36,邱婷,  主治医师,眼科,小儿眼科,上海儿童医学中心,9.7,47,,￥50,
37,刘素江,  主治医师,眼科,小儿眼科,河北省眼科医院,10.0,20,,￥20,￥50
38,夏雪文,  主治医师,眼科,小儿眼科,北京市大兴区妇幼保健院,10.0,20,,￥40,
39,汤文权,  主治医师,眼科,小儿眼科,湖南省儿童医院,9.8,1481,,￥30,￥100
40,杜芬,  副主任医师,眼科,小儿眼科,湖南省儿童医院,9.9,96,,￥50,
41,梅松华,  主治医师,眼科,小儿眼科,武汉市妇女儿童医疗保健中心(儿童门诊),10.0,9,,￥30,
42,李晓清,  主任医师,眼科,小儿眼科,北京大学第一医院,9.4,87,,￥189,￥250
43,许凯,  主治医师,眼科,小儿眼科,上海市儿童医院普陀新院,9.8,173,,,￥150
44,向勤,  主治医师,眼科,小儿眼科,重庆医科大学附属儿童医院,9.9,156,,,
45,李世莲,  主任医师,眼科,小儿眼科,武汉市妇女儿童医疗保健中心(儿童门诊),9.9,2451,,￥80,
46,彭小维,  主任医师,眼科,小儿眼科,南昌大学第二附属医院,10.0,93,,,￥250
47,向施红,  主任医师,眼科,小儿眼科,武汉市妇女儿童医疗保健中心(儿童门诊),8.9,83,,￥50,
48,邓姿峰,  主治医师,眼科,小儿眼科,湖南省儿童医院,9.6,6496,,￥80,￥120
49,徐春玲,  副主任医师,眼科,小儿眼科,吉林大学第二医院,9.8,156,专家团队,,
50,楚瑞雪,  主治医师,眼科,小儿眼科,河南省儿童医院,9.0,10,,￥20,
