,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,刘磊,  主任医师,眼科,屈光科,华中科技大学同济医学院附属同济医院,9.1,4,,￥60,
1,李振萍,  副主任医师,眼科,屈光科,广东省中医院大德路总院,8.8,138,专家团队,￥50,
2,周雨声,  主任医师,眼科,屈光科,宁波市眼科医院,10.0,854,,￥30,￥40
3,王爽,  主治医师,眼科,屈光科,山东第一医科大学附属青岛眼科医院,10.0,1182,,￥50,
4,彭予苏,  医师,眼科,屈光科,山东第一医科大学附属青岛眼科医院,10.0,12,,￥10,
5,张妍,  主任医师,眼科,屈光科,吉林大学第二医院,10.0,614,,￥50,￥200
6,冷林,  副主任医师,眼科,屈光科,山东第一医科大学附属青岛眼科医院,10.0,61,,￥80,
7,丛林,  主治医师,眼科,屈光科,山东第一医科大学附属青岛眼科医院,10.0,64,,￥20,
8,张哲,  副主任医师,眼科,屈光科,宁波市眼科医院,10.0,12,,￥20,
9,张光明,  副主任医师,眼科,屈光科,华中科技大学同济医学院附属协和医院,9.7,711,专家团队,￥40,
10,杨德峰,  主治医师,眼科,屈光科,吉林大学第二医院,9.8,170,专家团队,￥50,
11,周炼红,  主任医师,眼科,屈光科,武汉大学人民医院,9.9,55,,￥50,
12,梅艳,  副主任医师,眼科,屈光科,中山大学中山眼科中心南昌眼科医院,10.0,9,,￥20,
13,刘建慧,  主治医师,眼科,屈光科,昌邑市人民医院,,2,,￥30,
14,苗晓,  主治医师,眼科,屈光科,吉林大学第二医院,9.8,48,,￥50,
15,胡启迪,  副主任医师,眼科,屈光科,宁波市眼科医院,10.0,154,,￥20,
16,王成虎,  副主任医师,眼科,屈光科,南京医科大学眼科医院,9.8,298,,￥100,
17,左绪宏,  副主任医师,眼科,屈光科,烟台毓璜顶医院,9.8,17,专家团队,￥30,￥200
18,陈敏,  副主任医师,眼科,屈光科,山东第一医科大学附属青岛眼科医院,9.9,397,专家团队,￥50,￥200
19,王璐,  主治医师,眼科,屈光科,广东省中医院大学城医院,9.4,38,专家团队,￥30,
20,冀杰,  主治医师,眼科,屈光科,广东省中医院大学城医院,9.3,106,专家团队,￥30,
21,涂昌森,  主治医师,眼科,屈光科,温州医学院附属眼视光医院,10.0,10,,￥100,￥200
22,毛伟,  副主任医师,眼科,屈光科,宁波市眼科医院,9.9,326,,￥20,
23,祁勇军,  主任医师,眼科,屈光科,广州微医医院,,4,专家团队,￥50,
24,许懋,  主治医师,眼科,屈光科,广州微医医院,,5,专家团队,￥15,
25,龙克利,  副主任医师,眼科,屈光科,山东第一医科大学附属青岛眼科医院,10.0,217,,￥50,
26,廉井财,  主任医师,眼科,屈光科,上海新视界东区眼科医院,10.0,13,,￥100,
27,陈茹茹,  主治医师,眼科,屈光科,浙江省眼科医院杭州院区,10.0,6,,￥100,
28,丁谷丽,  主治医师,眼科,屈光科,哈尔滨医科大学附属第四医院,,12,,￥15,
29,黄悦,  副主任医师,眼科,屈光科,天津医科大学眼科医院,,5,,￥30,
30,王华,  主任医师,眼科,屈光科,湖南省人民医院,9.5,48,专家团队,￥50,
31,李丽华,  主任医师,眼科,屈光科,天津市眼科医院,,14,,￥30,
32,赵少贞,  主任医师,眼科,屈光科,天津医科大学眼科医院,,3,,￥30,
33,林斌武,  主治医师,眼科,屈光科,广东省中医院大学城医院,8.9,0,,￥15,
34,王海燕,  主任医师,眼科,屈光科,兰州大学第一医院,,6,,￥20,
35,俞萍萍,  副主任医师,眼科,屈光科,浙江省新华医院,,0,专家团队,￥30,
36,叶湘湘,  主治医师,眼科,屈光科,广州微医医院,,2,专家团队,￥30,
37,吴頔,  住院医师,眼科,屈光科,天津医科大学眼科医院,,0,,￥30,
38,祁媛媛,  住院医师,眼科,屈光科,天津医科大学眼科医院,,0,,￥10,
39,叶宇峰,  主任医师,眼科,屈光科,浙江省眼科医院杭州院区,,1,,,￥400
40,於水清,  副主任医师,眼科,屈光科,杭州市萧山区第一人民医院,,1,,￥29,
41,王智强,  主任医师,眼科,屈光科,信阳市眼科医院,,1,,￥80,
42,贾喆,  主治医师,眼科,屈光科,天津医科大学眼科医院,,0,,￥30,
43,茹玉莎,  住院医师,眼科,屈光科,天津医科大学眼科医院,,0,,￥30,
44,王秀,  住院医师,眼科,屈光科,天津医科大学眼科医院,,0,,￥30,
45,张晓琳,  副主任医师,眼科,屈光科,上海新视界东区眼科医院,,2,,￥50,
46,张建华,  主任医师,眼科,屈光科,上海长海医院,9.3,136,专家团队,,
47,高旭,  副主任医师,眼科,屈光科,首都医科大学附属北京同仁医院,9.5,89,,,
48,丁雯芝,  主治医师,眼科,屈光科,山东第一医科大学附属青岛眼科医院,9.9,96,,,
49,李富强,  主治医师,眼科,屈光科,吉林大学第二医院,9.8,388,专家团队,,
50,秦霖,  副主任医师,眼科,屈光科,广东省中医院大学城医院,8.8,113,专家团队,,
51,张超然,  主治医师,眼科,屈光科,广东省中医院大学城医院,9.6,129,专家团队,,
52,周跃华,  主任医师,眼科,屈光科,首都医科大学附属北京同仁医院,9.7,114,,,
53,费传统,  主任医师,眼科,屈光科,嘉兴市第三医院,10.0,68,,,
54,侯立杰,  主任医师,眼科,屈光科,浙江省眼科医院杭州院区,9.8,78,,,
55,田乐,  主治医师,眼科,屈光科,山东第一医科大学附属青岛眼科医院,,6,专家团队,,
56,王瑞卿,  主治医师,眼科,屈光科,吉林大学第二医院,10.0,536,专家团队,,
57,万鲁芹,  主治医师,眼科,屈光科,山东第一医科大学附属青岛眼科医院,,20,专家团队,,
58,肖婷婷,  主治医师,眼科,屈光科,河南省人民医院,9.1,12,,,
59,翟长斌,  主任医师,眼科,屈光科,首都医科大学附属北京同仁医院,9.9,87,,,
60,盛艳,  副主任医师,眼科,屈光科,浙江大学医学院附属第一医院,,4,,,
61,倪思利,  主治医师,眼科,屈光科,重庆医科大学附属儿童医院,,13,,,
62,黄橙赤,  主治医师,眼科,屈光科,哈尔滨医科大学附属第四医院,,8,,,
63,齐颖,  主任医师,眼科,屈光科,首都医科大学附属北京同仁医院,,10,,,
64,毛欣杰,  副主任医师,眼科,屈光科,温州医学院附属眼视光医院,9.8,19,,,
65,高华,  主任医师,眼科,屈光科,山东第一医科大学附属青岛眼科医院,,5,专家团队,,
66,杜显丽,  副主任医师,眼科,屈光科,山东第一医科大学附属青岛眼科医院,9.8,589,专家团队,,
67,陈蛟,  副主任医师,眼科,屈光科,湖南省人民医院,9.4,10,专家团队,,
68,李金科,  副主任医师,眼科,屈光科,武警陕西省总队医院,,2,专家团队,,
69,乔丽萍,  副主任医师,眼科,屈光科,中国人民武装警察部队特色医学中心,,16,专家团队,,
70,周冰倩,  住院医师,眼科,屈光科,广东省中医院大学城医院,,7,,,
71,徐海萍,  主任医师,眼科,屈光科,杭州市萧山区第一人民医院,10.0,10,,,
72,李海燕,  副主任医师,眼科,屈光科,上海新视界东区眼科医院,9.6,5,,,
73,刘淑君,  副主任医师,眼科,屈光科,烟台毓璜顶医院,,6,,,
