,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,周臻,  副主任医师,眼科,白内障科,天津市眼科医院,10.0,97,,￥59,
1,马忠旭,  主任医师,眼科,白内障科,天津市眼科医院,10.0,32,,￥20,￥60
2,宋慧,  主任医师,眼科,白内障科,天津市眼科医院,10.0,10,,￥30,
3,赵亮亮,  副主任医师,眼科,白内障科,吉林大学第二医院,10.0,55,,￥50,
4,黄子旭,  主治医师,眼科,白内障科,河南省人民医院,10.0,12,,￥40,￥40
5,魏丽清,  副主任医师,眼科,白内障科,浙江省眼科医院之江院区,10.0,270,专家团队,￥20,￥50
6,王亚尼,  主治医师,眼科,白内障科,山东第一医科大学附属青岛眼科医院,9.7,70,,￥25,
7,马修彬,  副主任医师,眼科,白内障科,山东第一医科大学附属青岛眼科医院,9.7,114,,￥30,￥60
8,顾操,  副主任医师,眼科,白内障科,上海新视界中兴眼科医院,10.0,12,,￥30,
9,欧扬,  副主任医师,眼科,白内障科,广东省中医院大德路总院,9.1,70,专家团队,￥30,
10,陈兹满,  主任医师,眼科,白内障科,广东省中医院大德路总院,9.0,57,专家团队,￥50,
11,代云海,  主任医师,眼科,白内障科,山东第一医科大学附属青岛眼科医院,9.9,138,专家团队,￥50,
12,王燕,  副主任医师,眼科,白内障科,广东省中医院大德路总院,8.5,32,专家团队,￥50,
13,邱波,  主任医师,眼科,白内障科,广东省中医院大德路总院,9.4,230,专家团队,￥50,
14,涂良钰,  主任医师,眼科,白内障科,广东省中医院二沙岛分院,9.5,234,,,
15,杨宝霞,  住院医师,眼科,白内障科,山东第一医科大学附属青岛眼科医院,,5,,￥20,
16,庞龙,  主任医师,眼科,白内障科,广东省中医院大德路总院,9.0,84,专家团队,￥50,
17,闫桂刚,  副主任医师,眼科,白内障科,烟台毓璜顶医院,9.5,46,专家团队,￥50,
18,陈博,  副主任医师,眼科,白内障科,华中科技大学同济医学院附属同济医院,9.4,47,,￥40,
19,魏荫娟,  副主任医师,眼科,白内障科,天津市眼科医院,,0,,￥20,
20,邹贺,  副主任医师,眼科,白内障科,吉林大学第二医院,9.8,7,专家团队,￥60,
21,王丹丹,  主治医师,眼科,白内障科,浙江省眼科医院杭州院区,,5,专家团队,,￥50
22,马路生,  主任医师,眼科,白内障科,烟台毓璜顶医院,9.8,33,专家团队,￥50,￥50
23,孙家郡,  主治医师,眼科,白内障科,山东第一医科大学附属青岛眼科医院,,0,,￥20,
24,滕贺,  副主任医师,眼科,白内障科,天津医科大学眼科医院,,0,,￥20,
25,孙靖,  主任医师,眼科,白内障科,天津医科大学眼科医院,,0,,￥30,
26,王铁成,  副主任医师,眼科,白内障科,天津医科大学眼科医院,,0,,￥30,
27,步绍翀,  副主任医师,眼科,白内障科,天津医科大学眼科医院,,0,,￥30,
28,刘圆媛,  住院医师,眼科,白内障科,天津医科大学眼科医院,,0,,￥30,
29,周秀花,  主任医师,眼科,白内障科,上海新视界中兴眼科医院,,1,,￥30,
30,孙琰,  副主任医师,眼科,白内障科,上海新视界东区眼科医院,,0,,￥30,
31,曾秋林,  主治医师,眼科,白内障科,上海新视界东区眼科医院,,0,,￥30,
32,刘良平,  住院医师,眼科,白内障科,中山大学中山眼科中心,,3,,,
33,苑晓勇,  主任医师,眼科,白内障科,天津市眼科医院,,4,,,
34,吕明原,  主治医师,眼科,白内障科,山东第一医科大学附属青岛眼科医院,9.4,22,,,
35,陈睛晶,  副主任医师,眼科,白内障科,中山大学中山眼科中心,9.9,56,,,
36,李洪垒,  住院医师,眼科,白内障科,山东第一医科大学附属青岛眼科医院,10.0,7,,,
37,吴晓明,  副主任医师,眼科,白内障科,山东第一医科大学附属青岛眼科医院,9.9,37,专家团队,,
38,王陆飞,  副主任医师,眼科,白内障科,吉林大学第二医院,9.4,17,专家团队,,
39,陈榆,  主治医师,眼科,白内障科,浙江省眼科医院之江院区,10.0,94,专家团队,,
40,李璋亮,  主治医师,眼科,白内障科,浙江省眼科医院杭州院区,,1,,,
41,田芳,  主任医师,眼科,白内障科,天津医科大学眼科医院,,2,,,
42,葛佳佳,  住院医师,眼科,白内障科,山东第一医科大学附属青岛眼科医院,10.0,23,,,
43,杨晓锋,  医师,眼科,白内障科,中山大学中山眼科中心,,9,,,
44,董楠楠,  主治医师,眼科,白内障科,浙江省眼科医院之江院区,,5,,,
45,李斌,  主任医师,眼科,白内障科,华中科技大学同济医学院附属同济医院,9.4,28,,,
46,袁建树,  主任医师,眼科,白内障科,宁波市眼科医院,8.7,32,,,
47,姬戎媛,  主治医师,眼科,白内障科,山东第一医科大学附属青岛眼科医院,10.0,24,,,
48,胡军,  副主任医师,眼科,白内障科,华中科技大学同济医学院附属同济医院,8.6,15,专家团队,,
49,赵银莹,  主治医师,眼科,白内障科,浙江省眼科医院杭州院区,10.0,24,专家团队,,
50,胡维琨,  副主任医师,眼科,白内障科,华中科技大学同济医学院附属同济医院,9.4,34,专家团队,,
