,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,潘钦托,  主治医师,眼科,眼底病科,温州医学院附属眼视光医院,10.0,154,,￥100,￥69
1,郑坤坤,  主治医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,10.0,277,,￥20,￥20
2,向武,  主治医师,眼科,眼底病科,中山大学中山眼科中心,9.9,136,,￥200,
3,李君,  副主任医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,10.0,1480,,,￥100
4,王爽,  主治医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,10.0,1182,,￥50,
5,刘芳,  主治医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,9.9,305,,￥29,￥200
6,胡博杰,  主任医师,眼科,眼底病科,天津医科大学眼科医院,9.9,82,,￥100,￥300
7,刘月明,  主治医师,眼科,眼底病科,首都医科大学附属北京同仁医院,9.7,44,,￥100,
8,李继鹏,  副主任医师,眼科,眼底病科,首都医科大学附属北京同仁医院,9.9,467,,￥300,￥600
9,丛林,  主治医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,10.0,64,,￥20,
10,赖坤贝,  副主任医师,眼科,眼底病科,中山大学中山眼科中心,10.0,84,,￥200,￥500
11,高艳,  副主任医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,10.0,263,,￥40,
12,万磊,  副主任医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,10.0,25,,￥40,￥200
13,佘相均,  主治医师,眼科,眼底病科,浙江省眼科医院杭州院区,10.0,65,专家团队,￥20,
14,伍蒙爱,  主治医师,眼科,眼底病科,浙江省眼科医院杭州院区,9.7,312,专家团队,￥20,￥50
15,马修彬,  副主任医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,9.7,114,,￥30,￥60
16,顾操,  副主任医师,眼科,眼底病科,上海新视界中兴眼科医院,10.0,12,,￥30,
17,郑斌,  主任医师,眼科,眼底病科,浙江省眼科医院杭州院区,10.0,53,专家团队,,
18,欧扬,  副主任医师,眼科,眼底病科,广东省中医院大德路总院,9.1,70,专家团队,￥30,
19,陈立锋,  住院医师,眼科,眼底病科,浙江省眼科医院杭州院区,10.0,15,专家团队,,￥100
20,陈兹满,  主任医师,眼科,眼底病科,广东省中医院大德路总院,9.0,57,专家团队,￥50,
21,邱波,  主任医师,眼科,眼底病科,广东省中医院大德路总院,9.4,230,专家团队,￥50,
22,陈秀丽,  主治医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,9.8,284,专家团队,￥20,
23,戚艳,  主治医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,9.8,32,,￥10,
24,涂良钰,  主任医师,眼科,眼底病科,广东省中医院二沙岛分院,9.5,234,,,
25,杨宝霞,  住院医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,,5,,￥20,
26,焦明菲,  副主任医师,眼科,眼底病科,天津医科大学眼科医院,,5,,￥30,
27,庞龙,  主任医师,眼科,眼底病科,广东省中医院大德路总院,9.0,84,专家团队,￥50,
28,易细香,  主任医师,眼科,眼底病科,北京大学深圳医院,10.0,25,,￥100,￥200
29,刘巨平,  副主任医师,眼科,眼底病科,天津医科大学眼科医院,,4,,￥30,
30,闫桂刚,  副主任医师,眼科,眼底病科,烟台毓璜顶医院,9.5,46,专家团队,￥50,
31,冉莉莉,  主治医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,10.0,26,,￥25,
32,张珑俐,  副主任医师,眼科,眼底病科,天津医科大学眼科医院,,1,,￥20,
33,杨晓彤,  住院医师,眼科,眼底病科,天津医科大学眼科医院,,0,,￥10,
34,李忠庆,  副主任医师,眼科,眼底病科,聊城光明眼科医院,,1,,￥40,
35,陈曦腾,  主治医师,眼科,眼底病科,天津医科大学眼科医院,,0,,￥30,
36,王勇,  主治医师,眼科,眼底病科,天津医科大学眼科医院,,0,,￥30,
37,孙琰,  副主任医师,眼科,眼底病科,上海新视界东区眼科医院,,0,,￥30,
38,徐玄,  主治医师,眼科,眼底病科,上海新视界中兴眼科医院,,0,,￥50,
39,曾秋林,  主治医师,眼科,眼底病科,上海新视界东区眼科医院,,0,,￥30,
40,李富强,  主治医师,眼科,眼底病科,吉林大学第二医院,9.8,388,专家团队,,
41,王加涛,  主治医师,眼科,眼底病科,首都医科大学附属北京同仁医院,9.9,143,,,
42,吴培培,  主治医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,9.7,66,,,
43,金玮,  副主任医师,眼科,眼底病科,武汉大学人民医院,9.8,37,,,
44,费传统,  主任医师,眼科,眼底病科,嘉兴市第三医院,10.0,68,,,
45,谭亮章,  主治医师,眼科,眼底病科,天津医科大学眼科医院,,3,,,
46,高雪霞,  主任医师,眼科,眼底病科,郑州市第二人民医院,10.0,67,,,
47,于滨,  主任医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,9.1,29,,,
48,林丽,  住院医师,眼科,眼底病科,浙江省眼科医院杭州院区,,1,专家团队,,
49,邢晓利,  主治医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,10.0,24,,,
50,隋桂琴,  主任医师,眼科,眼底病科,吉林大学第二医院,8.8,18,专家团队,,
51,张妍,  主治医师,眼科,眼底病科,中山大学中山眼科中心,10.0,25,,,
52,李毅斌,  主任医师,眼科,眼底病科,首都医科大学附属北京同仁医院,10.0,64,,,
53,刘丽梅,  副主任医师,眼科,眼底病科,烟台毓璜顶医院,10.0,39,,,
54,徐海峰,  主任医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,9.2,27,专家团队,,
55,邵彦,  副主任医师,眼科,眼底病科,天津医科大学眼科医院,,4,,,
56,肖赛男,  医师,眼科,眼底病科,中山大学中山眼科中心,,14,,,
57,陈楠,  副主任医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,9.0,7,,,
58,张昱,  副主任医师,眼科,眼底病科,青岛市市立医院东院,,1,专家团队,,
59,张赟,  副主任医师,眼科,眼底病科,浙江省眼科医院杭州院区,10.0,10,专家团队,,
60,卢宁,  主任医师,眼科,眼底病科,首都医科大学附属北京同仁医院,,5,,,
61,陈建斌,  副主任医师,眼科,眼底病科,华中科技大学同济医学院附属同济医院,8.1,5,专家团队,,
62,李倩,  副主任医师,眼科,眼底病科,首都医科大学附属北京同仁医院,,2,,,
63,韩金栋,  主任医师,眼科,眼底病科,天津医科大学眼科医院,,9,,,
64,张海涛,  副主任医师,眼科,眼底病科,河南省人民医院,,3,,,
65,龚雁,  主任医师,眼科,眼底病科,宁波市眼科医院,9.5,21,,,
66,周占宇,  主任医师,眼科,眼底病科,青岛市市立医院,9.9,4,专家团队,,
67,石德鹏,  主治医师,眼科,眼底病科,山东第一医科大学附属青岛眼科医院,9.6,7,专家团队,,
68,和艳艳,  主治医师,眼科,眼底病科,嘉兴市中医医院,,2,,,
