,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,杨旭波,  副主任医师,眼科,眼科综合,四川大学华西医院,10.0,932,,￥199,￥300
1,黄庆,  主治医师,眼科,眼科综合,四川大学华西医院,10.0,878,,￥59,
2,吴莹,  副主任医师,眼科,眼科综合,复旦大学附属眼耳鼻喉科医院,9.6,2617,专家团队,￥200,￥180
3,秦冰,  副主任医师,眼科,眼科综合,复旦大学附属眼耳鼻喉科医院,9.9,1199,专家团队,￥200,￥218
4,林通,  主治医师,眼科,眼科综合,复旦大学附属眼耳鼻喉科医院,10.0,1115,,￥69,
5,夏韦艺,  住院医师,眼科,眼科综合,复旦大学附属眼耳鼻喉科医院,10.0,228,,￥36,
6,龚岚,  主任医师,眼科,眼科综合,复旦大学附属眼耳鼻喉科医院,9.8,2054,,,￥600
7,唐俊文,  主任医师,眼科,眼科综合,四川大学华西医院,9.9,82,,￥150,
8,范虹,  副主任医师,眼科,眼科综合,天津市眼科医院,10.0,1139,,￥100,￥100
9,刘兴强,  主任医师,眼科,眼科综合,东营市人民医院,10.0,22177,,￥100,￥200
10,王开杰,  副主任医师,眼科,眼科综合,首都医科大学附属北京同仁医院,9.8,477,专家团队,￥200,
11,黄佳,  副主任医师,眼科,眼科综合,复旦大学附属眼耳鼻喉科医院,9.7,303,专家团队,￥280,￥200
12,程金伟,  副主任医师,眼科,眼科综合,复旦大学附属眼耳鼻喉科医院,9.9,957,专家团队,￥199,￥299
13,邹宸,  主治医师,眼科,眼科综合,复旦大学附属眼耳鼻喉科医院,10.0,6152,专家团队,￥88,
14,魏红,  副主任医师,眼科,眼科综合,四川大学华西医院,10.0,398,,￥39,
15,孙守彬,  副主任医师,眼科,眼科综合,哈尔滨医科大学附属第四医院,10.0,35417,,￥30,
16,杨晓璐,  副主任医师,眼科,眼科综合,上海交通大学附属第一人民医院,9.9,353,,￥50,
17,黄锦海,  副主任医师,眼科,眼科综合,复旦大学附属眼耳鼻喉科医院,10.0,937,专家团队,￥60,￥100
18,刘丽英,  主治医师,眼科,眼科综合,北京协和医院,10.0,64,,￥100,
19,孙静芬,  副主任医师,眼科,眼科综合,上海交通大学医学院附属瑞金医院,9.5,87,,￥50,￥100
20,杨勇,  副主任医师,眼科,眼科综合,广西医科大学第一附属医院,10.0,1726,,￥20,￥40
21,刘焰工作室,  主任医师,眼科,眼科综合,上海交通大学附属第一人民医院,9.8,318,,￥300,
22,童博玎,  主治医师,眼科,眼科综合,中南大学湘雅二医院,10.0,579,,￥20,
23,姜发纲,  主任医师,眼科,眼科综合,华中科技大学同济医学院附属协和医院,9.9,633,专家团队,￥120,￥200
24,钱宜珊,  副主任医师,眼科,眼科综合,复旦大学附属眼耳鼻喉科医院,9.6,929,专家团队,￥300,￥300
25,袁一飞,  副主任医师,眼科,眼科综合,复旦大学附属眼耳鼻喉科医院,9.9,3035,,￥150,￥200
26,刘东宝,  主任医师,眼科,眼科综合,沈阳市红十字会医院,10.0,104746,,￥29,￥80
27,任湘,  主治医师,眼科,眼科综合,四川大学华西医院,9.8,51,,￥30,
28,但汉东,  主治医师,眼科,眼科综合,河南省人民医院,10.0,10425,,￥20,￥40
29,林刚,  副主任医师,眼科,眼科综合,黔东南州人民医院,10.0,20378,,￥39,
30,冯婷婷,  主治医师,眼科,眼科综合,天津市眼科医院,,1,,￥10,
