,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,张慧,  副主任医师,眼科,青光眼科,首都医科大学附属北京同仁医院,10.0,129,,￥120,
1,蔡鸿英,  副主任医师,眼科,青光眼科,天津市眼科医院,9.9,59,,￥30,
2,张岩,  副主任医师,眼科,青光眼科,天津市眼科医院,10.0,90,,￥50,￥200
3,杨勤,  主任医师,眼科,青光眼科,江苏省人民医院,9.9,276,,￥60,
4,段晓明,  副主任医师,眼科,青光眼科,首都医科大学附属北京同仁医院,9.5,41,,￥200,￥300
5,黄子旭,  主治医师,眼科,青光眼科,河南省人民医院,10.0,12,,￥40,￥40
6,邢小丽,  主任医师,眼科,青光眼科,天津医科大学眼科医院,9.9,168,,￥30,
7,张舒心,  主任医师,眼科,青光眼科,首都医科大学附属北京同仁医院,9.8,216,,￥200,
8,鞠宏,  副主任医师,眼科,青光眼科,天津市眼科医院,9.9,105,,￥60,￥80
9,田晓峰,  副主任医师,眼科,青光眼科,天津市眼科医院,9.5,25,,￥40,
10,王亚尼,  主治医师,眼科,青光眼科,山东第一医科大学附属青岛眼科医院,9.7,70,,￥25,
11,顾操,  副主任医师,眼科,青光眼科,上海新视界中兴眼科医院,10.0,12,,￥30,
12,于波,  主治医师,眼科,青光眼科,天津医科大学眼科医院,10.0,112,,￥30,
13,武群英,  副主任医师,眼科,青光眼科,河北省眼科医院,9.8,15,专家团队,￥30,
14,孙红,  主任医师,眼科,青光眼科,江苏省人民医院,9.8,467,,￥100,
15,李健,  主任医师,眼科,青光眼科,江苏省人民医院,9.3,17,,￥50,
16,闫桂刚,  副主任医师,眼科,青光眼科,烟台毓璜顶医院,9.5,46,专家团队,￥50,
17,李军花,  副主任医师,眼科,青光眼科,浙江省眼科医院杭州院区,9.4,63,专家团队,￥50,￥200
18,张冰,  主治医师,眼科,青光眼科,浙江省立同德医院,,0,,￥30,
19,刘爱华,  副主任医师,眼科,青光眼科,天津医科大学眼科医院,,0,,￥30,
20,徐玄,  主治医师,眼科,青光眼科,上海新视界中兴眼科医院,,0,,￥50,
21,吕明原,  主治医师,眼科,青光眼科,山东第一医科大学附属青岛眼科医院,9.4,22,,,
22,刘伟,  副主任医师,眼科,青光眼科,天津医科大学眼科医院,,4,,,
23,徐晓萍,  主任医师,眼科,青光眼科,宁波市眼科医院,9.9,199,,,
24,田国红,  副主任医师,眼科,青光眼科,复旦大学附属眼耳鼻喉科医院,9.5,523,,,
25,邬一楠,  副主任医师,眼科,青光眼科,宁波市眼科医院,9.9,57,,,
26,葛佳佳,  住院医师,眼科,青光眼科,山东第一医科大学附属青岛眼科医院,10.0,23,,,
27,许淑霞,  住院医师,眼科,青光眼科,温州医学院附属眼视光医院,9.4,42,,,
28,周雄武,  副主任医师,眼科,青光眼科,华中科技大学同济医学院附属同济医院,9.3,9,专家团队,,
29,徐海峰,  主任医师,眼科,青光眼科,山东第一医科大学附属青岛眼科医院,9.2,27,专家团队,,
30,杨瑾,  主任医师,眼科,青光眼科,天津市眼科医院,10.0,14,,,
31,张静,  主治医师,眼科,青光眼科,山东第一医科大学附属青岛眼科医院,,5,专家团队,,
32,蓝婕,  主治医师,眼科,青光眼科,山东第一医科大学附属青岛眼科医院,8.4,5,,,
33,孙伟,  主治医师,眼科,青光眼科,山东第一医科大学附属青岛眼科医院,,12,,,
34,陈虹,  主任医师,眼科,青光眼科,首都医科大学附属北京同仁医院,,1,,,
35,陈红,  副主任医师,眼科,青光眼科,河北省眼科医院,,3,,,
36,吕瀛娟,  主治医师,眼科,青光眼科,天津医科大学眼科医院,,3,,,
37,季健,  主任医师,眼科,青光眼科,天津医科大学眼科医院,,1,,,
