,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,邓红玉,  副主任医师,精神科,心理科,上海市精神卫生中心,9.8,4664,,￥80,￥200
1,盛建华,  主任医师,精神科,心理科,上海市精神卫生中心,9.8,526,,￥300,￥3000
2,刘双臣,  主任医师,精神科,心理科,北京德胜门中医院,10.0,4291,,￥149,￥700
3,耿卫国,  副主任医师,精神科,心理科,西京医院,10.0,6370,,￥60,
4,王俊明,  副主任医师,精神科,心理科,淄博市中西医结合医院,10.0,12345,,￥50,￥200
5,余世鹏,  主治医师,精神科,心理科,宜昌优抚医院,10.0,848,,￥20,￥99
6,易正辉,  主任医师,精神科,心理科,上海市精神卫生中心,9.8,2502,,￥150,￥800
7,董慧茜,  主治医师,精神科,心理科,中南大学湘雅医院,10.0,2065,,￥200,￥400
8,潘丽丽,  主治医师,精神科,心理科,泰安市中医医院,10.0,72838,,￥30,￥60
9,张峻岭,  主任医师,精神科,心理科,巴州人民医院,10.0,11543,,￥15,￥100
10,张晶璟,  副主任医师,精神科,心理科,上海交通大学医学院附属瑞金医院,9.9,1018,,￥150,￥300
11,杨放如,  副主任医师,精神科,心理科,中南大学湘雅医院,9.9,14406,,￥300,
12,任俊赏,  副主任医师,精神科,心理科,天水市第三人民医院,10.0,17714,专家团队,￥15,￥99
13,何军衡,  主治医师,精神科,心理科,甘肃省第二人民医院,10.0,1059,,￥20,￥50
14,王承展,  主治医师,精神科,心理科,天津医科大学总医院,10.0,5287,,￥30,￥100
15,陈涵,  副主任医师,精神科,心理科,上海市精神卫生中心,9.9,5866,,￥400,￥1000
16,蒲唯丹,  副主任医师,精神科,心理科,中南大学湘雅二医院,9.9,1107,,￥200,￥300
17,曹金霞,  主任医师,精神科,心理科,连云港市第二人民医院东院,10.0,10597,,￥50,￥60
18,朱俊娟,  副主任医师,精神科,心理科,上海市精神卫生中心,10.0,366,,,￥800
19,石华孟,  主任医师,精神科,心理科,上海市精神卫生中心,9.8,370,,￥300,
20,张子迪,  主治医师,精神科,心理科,天津医院,10.0,5954,,￥60,￥400
21,赵梅,  主治医师,精神科,心理科,泰安市中医医院,10.0,3805,,￥20,
22,李强,  主任医师,精神科,心理科,西安交通大学第一附属医院,9.9,2058,专家团队,￥60,￥100
23,张选红,  副主任医师,精神科,心理科,上海市精神卫生中心,9.7,1147,,￥150,￥300
24,黄云,  主任医师,精神科,心理科,南京脑科医院,10.0,2412,,￥200,￥399
25,谌益华,  副主任医师,精神科,心理科,湖南省第二人民医院,9.9,1087,,￥50,￥300
26,胡卫红,  副主任医师,精神科,心理科,上海市精神卫生中心,9.8,94,,￥100,￥180
27,李海滨,  主治医师,精神科,心理科,复旦大学附属中山医院,9.8,128,,￥100,
28,龙英,  主任医师,精神科,心理科,哈尔滨市第一专科医院,,3,,￥200,
29,林伟成,  副主任医师,精神科,心理科,微医全科（广州天河）中心,9.9,65,,￥70,￥200
30,毛雪琴,  主任医师,精神科,心理科,山东大学齐鲁医院,10.0,704,专家团队,￥150,
31,王晓良,  副主任医师,精神科,心理科,上海市精神卫生中心,10.0,207,,￥400,
32,徐进,  主任医师,精神科,心理科,淮安市妇幼保健院,10.0,5797,,￥50,￥60
33,秦海兵,  主治医师,精神科,心理科,长治医学院附属和平医院,10.0,9899,,￥20,￥100
34,廖涛,  主治医师,精神科,心理科,赣州市第三人民医院,10.0,4242,,￥20,
35,任泽普,  主治医师,精神科,心理科,海南医学院第一附属医院,10.0,3542,,￥28,
36,侯正华,  主治医师,精神科,心理科,东南大学附属中大医院,10.0,785,,￥39,￥99
37,姜爽,  副主任医师,精神科,心理科,辽宁省肿瘤医院,10.0,40,,￥50,
38,周晓岚,  主治医师,精神科,心理科,南宁市第一人民医院,10.0,2960,,￥20,
39,沈翔慧,  主任医师,精神科,心理科,上海交通大学医学院附属瑞金医院,9.7,1002,,￥200,
40,赵鹏,  副主任医师,精神科,心理科,南京鼓楼医院,9.9,1406,专家团队,￥50,￥400
41,叶尘宇,  副主任医师,精神科,心理科,复旦大学附属中山医院,10.0,1430,,￥200,
42,李冰,  主任医师,精神科,心理科,北京大学第六医院,10.0,50,,,￥800
43,靳自斌,  主任医师,精神科,心理科,徐州市东方人民医院,10.0,474,,￥35,
44,易凡,  主任医师,精神科,心理科,中国人民解放军联勤保障部队第909医院,10.0,9717,,￥60,￥100
45,应颖,  主治医师,精神科,心理科,上海市精神卫生中心,9.4,78,,,
46,韦盛中,  主任医师,精神科,心理科,南宁市第一人民医院,10.0,14627,,￥30,￥50
47,周平,  副主任医师,精神科,心理科,西京医院,10.0,13,,￥60,
48,张庆彬,  副主任医师,精神科,心理科,平度市人民医院,9.9,8132,,￥60,￥300
49,孙江男,  主治医师,精神科,心理科,福建医科大学附属第一医院,10.0,616,,￥100,
50,刘涛生,  副主任医师,精神科,心理科,上海长征医院,10.0,32,,￥100,
51,孙丽新,  副主任医师,精神科,心理科,河南省精神病医院,10.0,86,,￥30,
52,咸振萍,  主任医师,精神科,心理科,连云港市第一人民医院通灌院区,9.9,85,,￥100,￥200
53,李霞,  主任医师,精神科,心理科,上海国际医学中心,9.8,1172,专家团队,￥390,￥800
54,戴俊平,  主任医师,精神科,心理科,微医全科（广州天河）中心,9.9,1167,,￥60,￥150
55,冯丽平,  主治医师,精神科,心理科,青岛市市立医院,10.0,1738,,￥20,￥300
56,牛娟,  副主任医师,精神科,心理科,青岛大学附属医院市南院区,9.5,32,,￥200,
57,王树锋,  主治医师,精神科,心理科,河北北方学院附属第一医院,10.0,5844,,￥40,￥60
58,金莲玉,  副主任医师,精神科,心理科,宁波市鄞州第二医院,10.0,6113,,￥15,￥80
59,王耀光,  主治医师,精神科,心理科,天津市滨海新区塘沽安定医院,10.0,11003,,￥20,
60,谭高,  主治医师,精神科,心理科,长沙市第九医院,10.0,746,,￥20,￥50
61,石兴超,  副主任医师,精神科,心理科,珠海市中西医结合医院,10.0,464,,￥50,￥800
62,汪贝妮,  主治医师,精神科,心理科,宁波市康宁医院,,2,,￥200,
63,高云涛,  住院医师,精神科,心理科,西京医院,9.7,61,,￥30,
64,李传威,  副主任医师,精神科,心理科,苏州市广济医院,10.0,237,,￥100,￥500
65,金文岚,  副主任医师,精神科,心理科,上海交通大学附属第一人民医院,10.0,16,,￥300,
66,耿瑞杰,  主治医师,精神科,心理科,复旦大学附属中山医院,10.0,108,,￥100,
67,梁龙腾,  主治医师,精神科,心理科,枣庄市立医院,10.0,586,,￥50,
68,孙殿彭,  主治医师,精神科,心理科,嘉兴市康慈医院（嘉兴市心理卫生中心）,10.0,4745,,￥30,￥100
69,袁冬秀,  主治医师,精神科,心理科,南宁市第一人民医院,10.0,1854,,￥20,
70,刘绪蓬,  主治医师,精神科,心理科,徐州市东方人民医院,10.0,36,,￥35,
71,赵文静,  主治医师,精神科,心理科,衡水市第四人民医院,10.0,4931,,￥29,
72,诸索宇,  副主任医师,精神科,心理科,复旦大学附属华山医院,9.9,2151,,,￥1000
73,高鸿云,  主任医师,精神科,心理科,上海国际医学中心,10.0,641,,,
74,徐佳,  主任医师,精神科,心理科,哈尔滨市第一专科医院,10.0,275,,￥60,￥300
75,王银龙,  副主任医师,精神科,心理科,西安交通大学第一附属医院东院,9.9,763,,￥29,￥59
76,李俊喜,  主治医师,精神科,心理科,衡水市第四人民医院,10.0,1286,,￥20,
77,孙录,  主任医师,精神科,心理科,广东省中医院二沙岛分院,9.9,3635,专家团队,￥98,￥500
78,李佳,  副主任医师,精神科,心理科,苏州市广济医院,10.0,1920,,￥80,
79,陈黎明,  副主任医师,精神科,心理科,重庆市精神卫生中心,10.0,683,,￥100,￥500
80,周华,  主任医师,精神科,心理科,常州市妇幼保健院,9.9,126,,￥180,￥200
81,宋苹,  主任中医师,精神科,心理科,广东省中医院二沙岛分院,9.5,126,专家团队,￥300,
82,李培凯,  副主任医师,精神科,心理科,云南省第二人民医院,9.9,659,专家团队,￥70,￥200
83,唐伟,  主任医师,精神科,心理科,温州医科大学附属康宁医院,9.9,1761,,￥30,￥500
84,刘会国,  副主任医师,精神科,心理科,宁波市康宁医院,9.9,383,,￥40,￥300
85,战玉华,  副主任医师,精神科,心理科,中国医科大学附属盛京医院南湖院区,10.0,289,,￥80,
86,杨兆辉,  主治医师,精神科,心理科,秦皇岛市九龙山医院,10.0,8483,,￥30,
87,朱屹,  副主任医师,精神科,心理科,海南医学院第一附属医院,10.0,189,,￥20,
88,刘莹,  主治医师,精神科,心理科,临沂市第四人民医院,9.9,653,,￥30,
89,蒙天,  副主任医师,精神科,心理科,南宁市第五人民医院,10.0,2066,,￥29,
90,蔡文婷,  副主任医师,精神科,心理科,赣州市第三人民医院,10.0,13,,￥50,
91,张锦花,  主治医师,精神科,心理科,中国中医科学院广安门医院,10.0,165,,￥59,
92,陈敏,  主治医师,精神科,心理科,天津医院,10.0,512,,￥30,
93,曹秋云,  主任医师,精神科,心理科,南京鼓楼医院,10.0,5213,专家团队,,￥388
94,李荣,  主任医师,精神科,心理科,浙江大学医学院附属儿童医院(滨江新院区),9.8,771,,￥300,
95,韩容,  主治医师,精神科,心理科,重庆市妇幼保健院(冉家坝院区),10.0,852,,￥50,￥200
96,李建伟,  主治医师,精神科,心理科,天津医科大学第二医院,10.0,111,,￥15,￥300
97,梅妍,  主任医师,精神科,心理科,天津市中医药研究院附属医院,10.0,157,,￥30,￥50
98,崔兰香,  主治医师,精神科,心理科,滨州市沾化区人民医院,10.0,1502,,￥20,￥39
99,唐加旭,  副主任医师,精神科,心理科,资阳市第四人民医院,10.0,1480,,￥100,￥100
100,王晓龙,  主任医师,精神科,心理科,苏州市吴中区甪直人民医院,9.9,249,,￥35,
101,牛慧明,  主任医师,精神科,心理科,天水市第三人民医院,,4,,￥150,
102,邓钧,  主任医师,精神科,心理科,克拉玛依市独山子人民医院,10.0,10,,￥60,￥150
103,唐文忠,  主任医师,精神科,心理科,上海市精神卫生中心,9.8,914,,,
104,胡维,  副主任医师,精神科,心理科,徐州市东方人民医院,10.0,165,,￥22,￥49
105,韩晶晶,  主治医师,精神科,心理科,上海市东方医院总院,10.0,989,,￥120,
106,牛雪芹,  主治医师,精神科,心理科,哈尔滨医科大学附属第四医院,10.0,11,,￥20,
107,黄月香,  副主任医师,精神科,心理科,苏州市广济医院,,13,,￥200,
108,刘舒文,  主治医师,精神科,心理科,徐州市中心医院,10.0,11,,￥25,
109,曾亮,  副主任医师,精神科,心理科,广东省中医院二沙岛分院,9.7,1810,,￥30,￥300
110,唐小伟,  副主任医师,精神科,心理科,江苏省扬州五台山医院,10.0,847,,￥30,￥200
111,储兴,  主任医师,精神科,心理科,江南大学附属医院南院,10.0,1469,,￥100,￥150
112,王苏弘,  副主任医师,精神科,心理科,常州市第一人民医院,10.0,384,,,
113,宋东峰,  主治医师,精神科,心理科,陕西省人民医院,9.9,940,专家团队,￥50,
114,孟琳,  副主任医师,精神科,心理科,天津中医药大学第二附属医院,10.0,613,,,￥100
115,姜文娟,  副主任医师,精神科,心理科,武汉市精神卫生中心,9.9,140,,￥100,
116,樊小兰,  主任医师,精神科,心理科,长沙市妇幼保健院,10.0,69,,￥60,
117,谢静涛,  主任医师,精神科,心理科,湖南中医药大学第一附属医院,10.0,56,,￥400,
118,查彩慧,  主任医师,精神科,心理科,广州市妇女儿童医疗中心珠江新城院区,10.0,13,,￥218,￥368
119,王文霞,  主治医师,精神科,心理科,温州医科大学附属康宁医院,10.0,11,,￥30,
120,朱美陈,  主治医师,精神科,心理科,福建省闽清精神病防治院,10.0,102,,￥20,
121,李先扬,  主治医师,精神科,心理科,宜昌优抚医院,,3,,￥20,
122,冯威,  主任医师,精神科,心理科,复旦大学附属肿瘤医院徐汇院区,10.0,992,专家团队,￥300,
123,高安民,  主任医师,精神科,心理科,青岛市精神卫生中心,10.0,262,,￥100,￥200
