,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,孔朝红,  副主任医师,精神科,精神科,武汉大学人民医院,10.0,7929,,￥30,￥80
1,倪照军,  主治医师,精神科,精神科,北京大学第六医院,10.0,1570,,￥150,￥500
2,肖攀攀,  主任医师,精神科,精神科,广州医科大学附属脑科医院,10.0,15526,,￥80,￥250
3,邓红玉,  副主任医师,精神科,精神科,上海市精神卫生中心,9.8,4664,,￥80,￥200
4,张卫华,  副主任医师,精神科,精神科,北京大学第六医院,9.9,296,,￥80,￥500
5,盛建华,  主任医师,精神科,精神科,上海市精神卫生中心,9.8,526,,￥300,￥3000
6,李秋英,  主任医师,精神科,精神科,武汉大学人民医院,9.9,2343,,￥59,￥300
7,刘双臣,  主任医师,精神科,精神科,北京回龙观医院,10.0,4291,,￥149,￥700
8,梁勇,  主任医师,精神科,精神科,太原市精神病医院,10.0,17558,,￥100,￥300
9,张鸿燕,  主任医师,精神科,精神科,北京大学第六医院,10.0,1128,,￥300,￥500
10,王晴,  主治医师,精神科,精神科,武汉大学人民医院,10.0,717,,￥49,
11,易正辉,  主任医师,精神科,精神科,上海市精神卫生中心,9.8,2502,,￥150,￥800
12,周建松,  主任医师,精神科,精神科,中南大学湘雅二医院,9.9,385,,,￥400
13,张峻岭,  主任医师,精神科,精神科,巴州人民医院,10.0,11543,,￥15,￥100
14,向慧,  主治医师,精神科,精神科,中南大学湘雅二医院,9.9,1095,,￥100,￥300
15,甄龙,  主任医师,精神科,精神科,天津市安定医院,10.0,3691,,￥20,￥20
16,任俊赏,  副主任医师,精神科,精神科,天水市第三人民医院,10.0,17714,专家团队,￥15,￥99
17,郝伟,  主任医师,精神科,精神科,中南大学湘雅二医院,10.0,31,,￥500,
18,李海燕,  副主任医师,精神科,精神科,广州医科大学附属脑科医院,10.0,14,,￥300,￥500
19,马俊华,  主治医师,精神科,精神科,武汉市精神卫生中心,9.9,1634,,￥30,￥100
20,陆水平,  主任医师,精神科,精神科,南京脑科医院,,7,,￥120,
21,杨岳,  主治医师,精神科,精神科,陕西省核工业215医院,10.0,25163,,￥59,
22,陈诚,  主治医师,精神科,精神科,武汉大学人民医院,,2,,￥50,
23,谭华威,  主治医师,精神科,精神科,武汉大学人民医院,9.9,258,,￥30,￥100
24,王磊,  主治医师,精神科,精神科,安徽省精神卫生防治中心,10.0,1163,,￥20,
25,谢军,  主治医师,精神科,精神科,淄博市第五人民医院,10.0,13585,,￥15,￥30
26,许委娟,  主治医师,精神科,精神科,浙江大学医学院附属第一医院,,4,,￥100,￥300
27,陈涵,  副主任医师,精神科,精神科,上海市精神卫生中心,9.9,5866,,￥400,￥1000
28,孙元锋,  主治医师,精神科,精神科,四川大学华西医院,9.7,121,,￥100,￥200
29,常卫利,  副主任医师,精神科,精神科,郑州大学第一附属医院,10.0,471,,￥69,
30,徐再锋,  主治医师,精神科,精神科,武汉市精神卫生中心,10.0,8424,,￥25,￥100
31,陈绘景,  主治医师,精神科,精神科,武汉市精神卫生中心,10.0,6590,,￥60,￥200
32,王瑞斌,  副主任医师,精神科,精神科,安徽省精神卫生防治中心,10.0,637,,￥50,
33,王小虎,  副主任医师,精神科,精神科,四川省南充精神卫生中心,10.0,1522,,￥15,
34,王从辉,  副主任医师,精神科,精神科,天津市安定医院,10.0,6295,专家团队,￥60,￥200
35,张帅斌,  主治医师,精神科,精神科,洛阳市精神卫生中心,10.0,17703,,￥20,￥200
36,周佳男,  主治医师,精神科,精神科,天津市安定医院,10.0,7594,,￥79,￥360
37,裴文志,  主治医师,精神科,精神科,安徽省精神卫生防治中心,10.0,4182,,￥20,￥80
38,徐改玲,  主任医师,精神科,精神科,天津市安定医院,10.0,1007,,￥50,￥50
39,张春长,  副主任医师,精神科,精神科,河北医科大学第一医院,10.0,1044,,￥100,
40,张选红,  副主任医师,精神科,精神科,上海市精神卫生中心,9.7,1147,,￥150,￥300
41,黄云,  主任医师,精神科,精神科,南京脑科医院,10.0,2412,,￥200,￥399
42,谌益华,  副主任医师,精神科,精神科,湖南省第二人民医院,9.9,1087,,￥50,￥300
43,董问天,  主任医师,精神科,精神科,北京大学第六医院,10.0,25,,￥300,
44,张宝立,  主治医师,精神科,精神科,武汉大学人民医院,10.0,268,,￥50,
45,万兴松,  主任医师,精神科,精神科,安徽省精神卫生防治中心,10.0,6765,,￥50,￥300
46,费小聪,  副主任医师,精神科,精神科,湖州市第三人民医院,10.0,4975,,￥20,￥100
47,于现庆,  副主任医师,精神科,精神科,聊城市第四人民医院,10.0,2740,,￥30,
48,林伟成,  副主任医师,精神科,精神科,广州医科大学附属脑科医院,9.9,65,,￥70,￥200
49,张庆榕,  副主任医师,精神科,精神科,苏州市广济医院,10.0,2676,,￥50,￥100
50,张猛,  主治医师,精神科,精神科,嘉兴市康慈医院（嘉兴市心理卫生中心）,10.0,2600,,￥10,￥50
51,袁家鹏,  主治医师,精神科,精神科,宜昌优抚医院,10.0,10495,,￥20,￥50
52,关建军,  主治医师,精神科,精神科,安徽省精神卫生防治中心,10.0,10742,,￥20,￥80
53,杨巍,  主治医师,精神科,精神科,武汉市精神卫生中心,10.0,248,,￥20,
54,鄢传东,  主治医师,精神科,精神科,武汉市精神卫生中心,,65,,￥40,
55,石中永,  住院医师,精神科,精神科,上海市精神卫生中心,9.9,294,专家团队,￥80,
56,张峰,  主任医师,精神科,精神科,北京安定医院,10.0,3942,,￥50,￥300
57,李安妮,  主治医师,精神科,精神科,武汉市精神卫生中心,10.0,809,,￥60,￥200
58,刘凌峰,  主治医师,精神科,精神科,盐城市第四人民医院,10.0,2024,,￥30,￥30
59,程夏龙,  主治医师,精神科,精神科,安徽省精神卫生防治中心,10.0,8785,,￥29,￥49
60,姚坚,  主任医师,精神科,精神科,云南省精神病医院,10.0,844,,￥30,
61,李侃虔,  主治医师,精神科,精神科,天水市第三人民医院,10.0,7607,专家团队,￥20,
62,刘威,  主治医师,精神科,精神科,哈励逊国际和平医院,10.0,589,,￥20,
63,蔡佳,  副主任医师,精神科,精神科,厦门市仙岳医院,10.0,5375,,￥200,￥200
64,朱培俊,  主任医师,精神科,精神科,无锡市精神卫生中心,10.0,1944,,￥150,￥500
65,李翔,  副主任医师,精神科,精神科,天津市第三中心医院,10.0,869,,￥30,￥300
66,熊辉,  主任医师,精神科,精神科,内江市第二人民医院,10.0,1284,,￥200,￥100
67,刘媛媛,  主治医师,精神科,精神科,天津市安定医院,10.0,687,,￥49,
68,陈晓岗,  主任医师,精神科,精神科,中南大学湘雅二医院,9.9,268,,￥150,
69,杜万君,  主任医师,精神科,精神科,北京安定医院,9.9,485,,￥200,￥500
70,李冰,  主任医师,精神科,精神科,北京大学第六医院,10.0,50,,,￥800
71,靳自斌,  主任医师,精神科,精神科,徐州市东方人民医院,10.0,474,,￥35,
72,应颖,  主治医师,精神科,精神科,上海市精神卫生中心,9.4,78,,,
73,陈铭,  主任医师,精神科,精神科,宁夏回族自治区自治区宁安医院,10.0,16137,,￥25,￥50
74,吴丽娟,  主治医师,精神科,精神科,福建省福州神经精神病防治院,10.0,1780,,￥30,￥100
75,史秘亮,  主治医师,精神科,精神科,天水市第三人民医院,10.0,502,,￥20,
76,林虹,  主治医师,精神科,精神科,广州医科大学附属脑科医院,9.7,56,,￥38,
77,杨孔军,  主任医师,精神科,精神科,深圳市康宁医院,10.0,13,,,￥300
78,张炳智,  副主任医师,精神科,精神科,雅安市第四人民医院,10.0,1263,,￥80,
79,王力芳,  副主任医师,精神科,精神科,北京大学第六医院,9.9,453,,￥200,￥300
80,杨灿,  副主任医师,精神科,精神科,武汉大学人民医院,10.0,2496,,￥59,￥300
81,范肖冬,  副主任医师,精神科,精神科,北京大学第六医院,10.0,23,,￥300,
82,马欢,  副主任医师,精神科,精神科,中国医科大学附属第一医院,10.0,161,,￥99,
83,孙丰霞,  主治医师,精神科,精神科,山东省精神卫生中心,10.0,739,,￥30,￥50
84,肖剑文,  副主任医师,精神科,精神科,深圳市第三人民医院,10.0,5450,,￥20,
85,白青青,  副主任医师,精神科,精神科,锦州市康宁医院,10.0,7503,,￥20,￥300
