,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,高文翔,  主治医师,耳鼻咽喉科,耳鼻咽喉科,中山大学附属第一医院,10.0,675,,￥100,
1,赵可庆,  副主任医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,9.9,1757,,￥120,
2,石小玲,  主治医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,10.0,2263,,￥60,￥200
3,于慧前,  副主任医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,9.9,3655,,￥120,￥200
4,谢明,  主任医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,9.4,222,,￥150,
5,霍红,  副主任医师,耳鼻咽喉科,耳鼻咽喉科,北京协和医院,10.0,156,专家团队,￥300,
6,蒋子栋,  主任医师,耳鼻咽喉科,耳鼻咽喉科,北京协和医院,10.0,719,,￥300,￥500
7,仝选甫,  主任医师,耳鼻咽喉科,耳鼻咽喉科,河南省中医院,10.0,56865,,￥60,￥60
8,陈泽宇,  主任医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,9.6,844,,￥299,￥359
9,韦蕾,  主任医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,9.1,650,,￥30,
10,任同力,  主治医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,10.0,54,,￥200,￥300
11,刘建平,  主任医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,9.3,716,,￥200,￥500
12,王晓巍,  副主任医师,耳鼻咽喉科,耳鼻咽喉科,北京协和医院,9.8,154,,￥120,
13,汪毅,  主治医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,10.0,2093,,￥98,￥168
14,李穗,  主治医师,耳鼻咽喉科,耳鼻咽喉科,重庆医科大学附属第一医院,10.0,2777,,￥39,￥59
15,周健,  主治医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,10.0,618,,￥188,
16,陶磊,  主任医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,9.9,14282,,￥100,
17,项明,  主任医师,耳鼻咽喉科,耳鼻咽喉科,上海国际医学中心,9.5,319,,￥150,
18,丁言言,  主治医师,耳鼻咽喉科,耳鼻咽喉科,华中科技大学同济医学院附属协和医院,10.0,13,,￥39,￥100
19,王斌,  副主任医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,9.8,5046,,￥286,
20,杜进涛,  主治医师,耳鼻咽喉科,耳鼻咽喉科,四川大学华西医院,10.0,942,,￥150,
21,金毅,  主治医师,耳鼻咽喉科,耳鼻咽喉科,中南大学湘雅医院,9.8,178,,￥60,
22,丁国臣,  副主任医师,耳鼻咽喉科,耳鼻咽喉科,武警辽宁总队医院,10.0,56817,,￥30,￥50
23,童华,  主治医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,10.0,704,,￥200,￥500
24,陈建军,  主任医师,耳鼻咽喉科,耳鼻咽喉科,华中科技大学同济医学院附属协和医院,9.9,8129,,￥200,
25,程庆,  副主任医师,耳鼻咽喉科,耳鼻咽喉科,华中科技大学同济医学院附属协和医院,9.8,782,,￥80,
26,王宇澄,  副主任医师,耳鼻咽喉科,耳鼻咽喉科,复旦大学附属眼耳鼻喉科医院,9.7,456,,￥300,￥500
