,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,姚晓峰,  副主任医师,肿瘤科,头颈肿瘤科,天津市肿瘤医院,9.9,306,,￥50,
1,李德志,  副主任医师,肿瘤科,头颈肿瘤科,中国医学科学院肿瘤医院,9.9,733,,￥300,￥500
2,董伟,  副主任医师,肿瘤科,头颈肿瘤科,山东省肿瘤医院,10.0,49,专家团队,￥20,
3,赵辉,  副主任医师,肿瘤科,头颈肿瘤科,新乡市中心医院,10.0,3123,,￥30,￥60
4,张艳,  副主任医师,肿瘤科,头颈肿瘤科,天津市肿瘤医院,9.8,1072,,￥100,￥300
5,陈超,  副主任医师,肿瘤科,头颈肿瘤科,浙江省肿瘤医院,10.0,360,专家团队,￥30,
6,于水,  主治医师,肿瘤科,头颈肿瘤科,山东省肿瘤医院,,1,专家团队,￥20,
7,鄢丹桂,  副主任医师,肿瘤科,头颈肿瘤科,中国医学科学院肿瘤医院,9.9,354,,￥200,
8,徐升,  副主任医师,肿瘤科,头颈肿瘤科,新乡市中心医院,10.0,14,,￥20,
9,张希梅,  副主任医师,肿瘤科,头颈肿瘤科,天津市肿瘤医院,9.7,134,,￥80,
10,韩春,  主任医师,肿瘤科,头颈肿瘤科,浙江省肿瘤医院,9.7,103,专家团队,￥100,
11,魏建华,  主任医师,肿瘤科,头颈肿瘤科,空军军医大学(第四军医大学)口腔医学院,9.9,171,专家团队,￥80,￥200
12,黄晶,  副主任医师,肿瘤科,头颈肿瘤科,华中科技大学同济医学院附属协和医院,10.0,252,,￥30,￥100
13,由佳,  主治医师,肿瘤科,头颈肿瘤科,天津市肿瘤医院,9.9,59,,￥30,
14,王天笑,  副主任医师,肿瘤科,头颈肿瘤科,北京大学肿瘤医院,10.0,976,,￥100,
15,侯小锋,  主治医师,肿瘤科,头颈肿瘤科,浙江省肿瘤医院,9.9,46,专家团队,￥19,￥50
16,张建伟,  副主任医师,肿瘤科,头颈肿瘤科,甘肃省肿瘤医院,9.8,224,专家团队,￥20,￥100
17,季冬梅,  副主任医师,肿瘤科,头颈肿瘤科,复旦大学附属肿瘤医院徐汇院区,9.9,532,,￥500,￥500
18,范廷勇,  主任医师,肿瘤科,头颈肿瘤科,山东省肿瘤医院,10.0,41,专家团队,￥50,￥200
19,聂喜林,  主治医师,肿瘤科,头颈肿瘤科,浙江省肿瘤医院,10.0,39,,￥80,
20,刘欣,  副主任医师,肿瘤科,头颈肿瘤科,复旦大学附属肿瘤医院徐汇院区,10.0,19,,￥198,
21,刘桂才,  副主任医师,肿瘤科,头颈肿瘤科,空军军医大学(第四军医大学)口腔医学院,10.0,60,专家团队,￥30,
22,徐加杰,  主治医师,肿瘤科,头颈肿瘤科,浙江省肿瘤医院,9.9,44,专家团队,￥25,
23,赏金标,  主任医师,肿瘤科,头颈肿瘤科,浙江省肿瘤医院,10.0,20,专家团队,￥100,
24,杨新华,  副主任医师,肿瘤科,头颈肿瘤科,山东省肿瘤医院,9.7,26,专家团队,￥20,
25,魏正专,  副主任医师,肿瘤科,头颈肿瘤科,武汉大学中南医院,10.0,34,专家团队,￥20,
26,宋韫韬,  副主任医师,肿瘤科,头颈肿瘤科,北京大学肿瘤医院,9.9,231,,￥60,
27,马骁,  副主任医师,肿瘤科,头颈肿瘤科,北京大学肿瘤医院,,4,,￥100,
28,王军,  主任医师,肿瘤科,头颈肿瘤科,甘肃省肿瘤医院,9.9,500,专家团队,￥100,
29,刘宝国,  主任医师,肿瘤科,头颈肿瘤科,北京大学肿瘤医院,10.0,138,,￥210,
