,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,陈平波,  副主任医师,肿瘤科,妇科肿瘤科,华中科技大学附属同济医院中法新城院区,10.0,5540,,￥46,￥200
1,刘佳,  副主任医师,肿瘤科,妇科肿瘤科,华中科技大学附属同济医院中法新城院区,10.0,746,,￥20,
2,谢鹏,  主任医师,肿瘤科,妇科肿瘤科,山东省肿瘤医院,10.0,10,专家团队,￥60,
3,张平,  主任医师,肿瘤科,妇科肿瘤科,浙江省肿瘤医院,10.0,1001,专家团队,￥300,￥300
4,吴卉娟,  副主任医师,肿瘤科,妇科肿瘤科,天津市肿瘤医院,10.0,304,,￥80,
5,李恩春,  副主任医师,肿瘤科,妇科肿瘤科,浙江大学医学院附属妇产科医院,,1,,￥50,￥160
6,刘荣华,  副主任医师,肿瘤科,妇科肿瘤科,华中科技大学附属同济医院光谷院区,9.6,544,,￥60,￥100
7,高泳涛,  主任医师,肿瘤科,妇科肿瘤科,中国福利会国际和平妇幼保健院,9.9,3222,,￥200,
8,沈源明,  副主任医师,肿瘤科,妇科肿瘤科,浙江大学医学院附属妇产科医院,9.8,27,,￥60,￥60
9,赵灵琴,  副主任医师,肿瘤科,妇科肿瘤科,浙江省肿瘤医院,10.0,30,专家团队,￥50,
10,王珂,  主任医师,肿瘤科,妇科肿瘤科,天津市肿瘤医院,9.8,749,,￥300,￥400
11,王征,  副主任医师,肿瘤科,妇科肿瘤科,上海市质子重离子医院,10.0,1804,,￥298,
12,吴明富,  主任医师,肿瘤科,妇科肿瘤科,华中科技大学附属同济医院中法新城院区,9.6,1592,,￥50,￥120
13,朱娅莉,  主治中医师,肿瘤科,妇科肿瘤科,广东省中医院大学城医院,9.5,184,,￥30,
14,孙海燕,  主任医师,肿瘤科,妇科肿瘤科,浙江省肿瘤医院,10.0,1883,专家团队,￥100,￥500
15,陈鲁,  主任医师,肿瘤科,妇科肿瘤科,浙江省肿瘤医院,9.9,103,专家团队,￥100,￥200
16,于浩,  副主任医师,肿瘤科,妇科肿瘤科,山东省肿瘤医院,10.0,147,专家团队,￥20,￥100
17,马耀梅,  副主任医师,肿瘤科,妇科肿瘤科,天津市肿瘤医院,10.0,1585,,￥60,
18,魏军成,  副主任医师,肿瘤科,妇科肿瘤科,华中科技大学附属同济医院光谷院区,9.5,18,,￥50,
19,张友忠,  主任医师,肿瘤科,妇科肿瘤科,山东大学齐鲁医院,9.9,757,,￥50,￥200
20,吴绪峰,  主任医师,肿瘤科,妇科肿瘤科,湖北省妇幼保健院,10.0,1649,,￥200,
21,邵株燕,  副主任医师,肿瘤科,妇科肿瘤科,浙江省肿瘤医院,,5,,￥30,
22,陈雅卿,  主任医师,肿瘤科,妇科肿瘤科,浙江省肿瘤医院,10.0,94,专家团队,￥80,￥100
