,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,王宏羽,  主任医师,肿瘤科,肿瘤内科,中国医学科学院肿瘤医院,9.9,375,,￥500,
1,徐海燕,  主任医师,肿瘤科,肿瘤内科,中国医学科学院肿瘤医院,10.0,201,,￥500,￥600
2,田乐,  主治医师,肿瘤科,肿瘤内科,中国医学科学院肿瘤医院,10.0,276,,￥200,￥300
3,郭三星,  副主任医师,肿瘤科,肿瘤内科,郑州大学第一附属医院,10.0,1476,,￥20,￥30
4,张明光,  副主任医师,肿瘤科,肿瘤内科,亳州市中医院,10.0,12668,,￥50,￥65
5,迟志宏,  主任医师,肿瘤科,肿瘤内科,北京大学肿瘤医院,10.0,856,,￥200,￥299
6,殷欣,  副主任医师,肿瘤科,肿瘤内科,复旦大学附属中山医院,10.0,2194,,￥100,￥400
7,戴红,  主任医师,肿瘤科,肿瘤内科,首都医科大学附属北京朝阳医院,10.0,1861,,￥120,
8,晁腾飞,  副主任医师,肿瘤科,肿瘤内科,华中科技大学同济医学院附属同济医院,10.0,706,,￥199,
9,高鹏,  主任中医师,肿瘤科,肿瘤内科,扬州市中医院,9.8,10090,,￥120,￥180
10,张鹏,  副主任医师,肿瘤科,肿瘤内科,华中科技大学同济医学院附属同济医院,9.9,567,,￥60,
11,徐刚,  副主任医师,肿瘤科,肿瘤内科,北京大学肿瘤医院,9.9,601,,￥300,￥500
12,张丽,  副主任医师,肿瘤科,肿瘤内科,天津市肿瘤医院,,1,,￥80,
13,王永亮,  主治医师,肿瘤科,肿瘤内科,哈尔滨市第一医院,10.0,19839,,￥15,
14,梁彦,  副主任医师,肿瘤科,肿瘤内科,天津市肿瘤医院,10.0,203,,￥100,
15,杨帏,  住院医师,肿瘤科,肿瘤内科,中山大学附属肿瘤医院,10.0,101,,￥30,￥100
16,熊慧华,  主任医师,肿瘤科,肿瘤内科,华中科技大学同济医学院附属同济医院,9.8,503,,￥60,
17,臧春宝,  副主任医师,肿瘤科,肿瘤内科,安徽省立医院（总院）,10.0,2758,,￥30,￥50
18,杨毕伟,  主任医师,肿瘤科,肿瘤内科,复旦大学附属中山医院,9.9,922,,￥30,￥300
19,王榕生,  副主任医师,肿瘤科,肿瘤内科,江苏省人民医院,9.9,1232,专家团队,￥100,
20,李璋琳,  副主任医师,肿瘤科,肿瘤内科,天津市肿瘤医院,9.7,85,,￥150,
21,尹洪磊,  副主任医师,肿瘤科,肿瘤内科,天津市肿瘤医院,9.9,141,专家团队,￥30,
22,赵苇苇,  副主任医师,肿瘤科,肿瘤内科,复旦大学附属肿瘤医院徐汇院区,10.0,536,,￥150,￥300
23,杨庆玺,  副主任医师,肿瘤科,肿瘤内科,山东省泰山医院,10.0,332333,,￥20,
24,徐蓓,  副主任医师,肿瘤科,肿瘤内科,复旦大学附属中山医院,9.9,749,,￥250,
