,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,崔双林,  副主任医师,肿瘤科,肿瘤外科,中山大学附属肿瘤医院,9.9,9228,,￥120,￥120
1,张云锋,  主任医师,肿瘤科,肿瘤外科,西安交通大学第一附属医院,10.0,3308,专家团队,￥150,￥180
2,朱甲明,  主任医师,肿瘤科,肿瘤外科,中国医科大学附属第一医院,10.0,109,,￥20,
3,姜成钢,  副主任医师,肿瘤科,肿瘤外科,中国医科大学附属第一医院,10.0,828,,￥30,￥50
4,王鸿鹄,  副主任医师,肿瘤科,肿瘤外科,中国医科大学附属第一医院,10.0,895,,￥100,
5,朱志,  主任医师,肿瘤科,肿瘤外科,中国医科大学附属第一医院,10.0,61,,￥29,￥99
6,卢嘉宁,  主治医师,肿瘤科,肿瘤外科,天津医院,10.0,7128,专家团队,￥70,￥150
7,冯鑫,  主治医师,肿瘤科,肿瘤外科,泰安市中心医院,10.0,12205,,￥0,￥20
8,吴福生,  主任医师,肿瘤科,肿瘤外科,浙江大学医学院附属第一医院,9.7,111,,￥100,￥200
9,王亚秋,  主任医师,肿瘤科,肿瘤外科,湖北省肿瘤医院,10.0,1496,专家团队,￥60,
10,宋洪江,  主任医师,肿瘤科,肿瘤外科,哈尔滨贵生堂中医医院,10.0,41,,￥100,
11,李盛龙,  主治医师,肿瘤科,肿瘤外科,辽宁省肿瘤医院,10.0,4316,,￥20,￥50
12,张鹏程,  主治医师,肿瘤科,肿瘤外科,泰安市中心医院,10.0,1057,,￥0,
13,俞雄飞,  副主任医师,肿瘤科,肿瘤外科,浙江大学医学院附属第一医院,10.0,143,,￥60,￥120
14,袁鹏,  副主任医师,肿瘤科,肿瘤外科,北京大学肿瘤医院,10.0,45,,,
15,章均,  副主任医师,肿瘤科,肿瘤外科,重庆医科大学附属儿童医院,10.0,251,,￥150,￥500
16,汪文东,  副主任医师,肿瘤科,肿瘤外科,华中科技大学同济医学院附属协和医院,9.8,254,专家团队,￥50,
17,陆轶民,  副主任医师,肿瘤科,肿瘤外科,浙江大学医学院附属第一医院,10.0,2303,,￥30,￥99
18,马付懿,  主任医师,肿瘤科,肿瘤外科,潍坊市人民医院,10.0,144,专家团队,￥30,
19,孟潘庆,  主任医师,肿瘤科,肿瘤外科,泰安市中心医院,10.0,106,,￥30,
20,柴大海,  副主任医师,肿瘤科,肿瘤外科,宁夏医科大学总医院肿瘤医院,10.0,2755,专家团队,￥30,￥30
21,刘昌化,  主治医师,肿瘤科,肿瘤外科,南华大学附属第二医院,10.0,11593,,￥30,￥80
22,王永恒,  主治医师,肿瘤科,肿瘤外科,陕西省人民医院,,5,专家团队,￥10,
23,费晓洁,  主治医师,肿瘤科,肿瘤外科,浙江大学医学院附属第一医院,10.0,5,,￥50,
24,赵雪桃,  主任医师,肿瘤科,肿瘤外科,宁夏回族自治区第五人民医院,10.0,1264,,￥20,￥60
25,付大鹏,  主治医师,肿瘤科,肿瘤外科,黑龙江省农垦总局总医院,,2,专家团队,￥40,
26,张明亮,  副主任医师,肿瘤科,肿瘤外科,蚌埠医学院第一附属医院,10.0,391,,￥50,￥80
27,廉斌,  主治医师,肿瘤科,肿瘤外科,宁夏医科大学总医院肿瘤医院,10.0,368,专家团队,￥58,￥100
28,张喜平,  主任医师,肿瘤科,肿瘤外科,浙江省肿瘤医院,10.0,1202,,￥100,￥100
29,李刚,  副主任医师,肿瘤科,肿瘤外科,泰安市中心医院,10.0,241,,￥30,
30,宋韬,  主治医师,肿瘤科,肿瘤外科,海南医学院第二附属医院,10.0,80,,￥22,
31,刘建捷,  住院医师,肿瘤科,肿瘤外科,潍坊市中医院,,1,,￥20,
32,韩亚东,  主治医师,肿瘤科,肿瘤外科,徐州医科大学附属医院,10.0,22,,￥20,
33,黄锦宇,  主治医师,肿瘤科,肿瘤外科,中国医科大学附属第一医院,,5,,￥20,￥50
34,赵志龙,  主治医师,肿瘤科,肿瘤外科,宝鸡市中心医院,10.0,269,专家团队,￥58,￥119
35,胡一迪,  副主任医师,肿瘤科,肿瘤外科,浙江中医药大学附属温州中医院,9.9,117,,￥25,￥50
36,熊金秋,  主治医师,肿瘤科,肿瘤外科,潍坊市人民医院,,5,,￥20,
37,王军贤,  主任医师,肿瘤科,肿瘤外科,甘肃省武威肿瘤医院,9.9,473,专家团队,￥50,￥50
38,黄建宏,  副主任医师,肿瘤科,肿瘤外科,宜昌市第二人民医院,,2,,￥50,￥80
39,杨红健,  主任医师,肿瘤科,肿瘤外科,浙江省肿瘤医院,9.7,59,专家团队,￥100,
40,郭澎涛,  副主任医师,肿瘤科,肿瘤外科,中国医科大学附属第一医院,,2,,￥30,￥50
41,高阳,  主治医师,肿瘤科,肿瘤外科,复旦大学附属肿瘤医院徐汇院区,10.0,546,专家团队,￥50,￥100
42,曲兴龙,  主任医师,肿瘤科,肿瘤外科,复旦大学附属肿瘤医院闵行分院,9.9,83,,￥80,
43,屈国伦,  主治医师,肿瘤科,肿瘤外科,复旦大学附属肿瘤医院闵行分院,10.0,710,,￥20,￥50
44,王尚卿,  住院医师,肿瘤科,肿瘤外科,徐州医科大学附属医院,,8,,￥5,
45,顾松,  副主任医师,肿瘤科,肿瘤外科,上海儿童医学中心,9.8,1956,,￥299,￥500
46,程冲,  副主任医师,肿瘤科,肿瘤外科,陕西省人民医院,9.9,163,专家团队,￥29,
47,何贵省,  副主任医师,肿瘤科,肿瘤外科,海南医学院第二附属医院,10.0,97,,￥30,
48,黄国定,  副主任医师,肿瘤科,肿瘤外科,海南省西部中心医院,10.0,40,,￥50,
49,赵胜,  主治医师,肿瘤科,肿瘤外科,应急总医院,,3,,￥30,
50,赵洪猛,  主治医师,肿瘤科,肿瘤外科,天津市肿瘤医院,,3,,￥100,
