,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,汪涛,  主任医师,肿瘤科,胸部肿瘤科,华中科技大学同济医学院附属同济医院,10.0,3818,,￥120,
1,徐昱扬,  副主任医师,肿瘤科,胸部肿瘤科,四川大学华西医院,9.9,476,,￥90,
2,吴强,  主治医师,肿瘤科,胸部肿瘤科,四川大学华西医院,9.9,1239,,￥50,
3,陈传贵,  副主任医师,肿瘤科,胸部肿瘤科,天津市肿瘤医院,10.0,49,,￥20,
4,朱建权,  主治医师,肿瘤科,胸部肿瘤科,天津市肿瘤医院,10.0,3262,,￥80,
5,邱小明,  副主任医师,肿瘤科,胸部肿瘤科,四川大学华西医院,9.9,103,,￥300,
6,胡旭东,  主任医师,肿瘤科,胸部肿瘤科,山东省肿瘤医院,10.0,223,专家团队,￥48,￥200
7,韩大力,  副主任医师,肿瘤科,胸部肿瘤科,山东省肿瘤医院,10.0,640,,￥30,￥120
8,任鹏,  副主任医师,肿瘤科,胸部肿瘤科,天津市肿瘤医院,9.9,262,,￥30,￥150
9,曹曼卿,  主治医师,肿瘤科,胸部肿瘤科,天津市肿瘤医院,9.8,70,,￥30,
10,刘成新,  副主任医师,肿瘤科,胸部肿瘤科,山东省肿瘤医院,10.0,18,,￥20,
11,赵洪林,  副主任医师,肿瘤科,胸部肿瘤科,天津医科大学总医院,10.0,9,,￥20,
12,王忱,  主任医师,肿瘤科,胸部肿瘤科,天津市肿瘤医院,9.9,188,专家团队,￥100,￥400
13,王海峰,  主任医师,肿瘤科,胸部肿瘤科,上海市肺科医院,9.9,1362,,￥300,
14,刘志刚,  副主任医师,肿瘤科,胸部肿瘤科,陕西省肿瘤医院,10.0,95,,￥28,￥49
15,尤健,  主任医师,肿瘤科,胸部肿瘤科,天津市肿瘤医院,9.8,385,,￥500,￥500
16,冉凤鸣,  主任医师,肿瘤科,胸部肿瘤科,湖北省肿瘤医院,9.9,688,专家团队,￥30,￥100
17,陈奇勋,  主任医师,肿瘤科,胸部肿瘤科,浙江省肿瘤医院,9.9,201,专家团队,￥100,
