,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,罗德云,  副主任医师,肿瘤科,腹部肿瘤科,四川大学华西医院,10.0,304,,￥300,￥600
1,符涛,  副主任医师,肿瘤科,腹部肿瘤科,北京大学肿瘤医院,10.0,1916,,￥70,￥200
2,刘新志,  主治医师,肿瘤科,腹部肿瘤科,北京大学肿瘤医院,10.0,287,,￥150,￥150
3,孙志伟,  副主任医师,肿瘤科,腹部肿瘤科,北京大学肿瘤医院,10.0,150,专家团队,￥200,￥300
4,王仁本,  主任医师,肿瘤科,腹部肿瘤科,山东省肿瘤医院,10.0,88,专家团队,￥50,￥300
5,陈蕾,  主治医师,肿瘤科,腹部肿瘤科,北京大学肿瘤医院,10.0,32,,￥30,
6,肖勇,  副主任医师,肿瘤科,腹部肿瘤科,华中科技大学同济医学院附属协和医院,9.8,665,专家团队,￥100,￥150
7,张成海,  副主任医师,肿瘤科,腹部肿瘤科,北京大学肿瘤医院,10.0,729,,￥100,￥199
8,岳欣,  主任医师,肿瘤科,腹部肿瘤科,天津市肿瘤医院,10.0,1457,,￥100,
9,刘宁,  主任医师,肿瘤科,腹部肿瘤科,天津市肿瘤医院,9.9,168,,￥100,￥300
10,王晓娜,  副主任医师,肿瘤科,腹部肿瘤科,天津市肿瘤医院,9.9,127,,￥80,
11,崔明,  主任医师,肿瘤科,腹部肿瘤科,北京大学肿瘤医院,10.0,182,,￥200,
12,付志璇,  副主任医师,肿瘤科,腹部肿瘤科,浙江省肿瘤医院,10.0,113,专家团队,￥50,
13,柯彬,  副主任医师,肿瘤科,腹部肿瘤科,天津市肿瘤医院,10.0,452,,￥50,￥100
14,刘勇,  副主任医师,肿瘤科,腹部肿瘤科,天津市肿瘤医院,10.0,7,,￥20,
15,余见洪,  副主任医师,肿瘤科,腹部肿瘤科,福建省肿瘤医院,10.0,214,,￥59,￥199
16,赵鹏,  主任医师,肿瘤科,腹部肿瘤科,天津市肿瘤医院,9.8,789,,￥60,
17,姚震旦,  副主任医师,肿瘤科,腹部肿瘤科,北京大学肿瘤医院,10.0,74,,￥100,
18,李楠,  副主任医师,肿瘤科,腹部肿瘤科,海军军医大学第三附属医院（东方肝胆外科）长海路院区,9.9,872,,￥80,￥80
19,王秀超,  副主任医师,肿瘤科,腹部肿瘤科,天津市肿瘤医院,10.0,18,,￥20,
