,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,朱小军,  副主任医师,肿瘤科,骨与软组织肿瘤科,中山大学附属肿瘤医院,10.0,1459,专家团队,￥100,￥300
1,马育林,  副主任医师,肿瘤科,骨与软组织肿瘤科,天津市肿瘤医院,9.7,37,,￥100,
2,李舒,  副主任医师,肿瘤科,骨与软组织肿瘤科,北京大学肿瘤医院,10.0,597,,￥100,
3,唐清连,  副主任医师,肿瘤科,骨与软组织肿瘤科,中山大学附属肿瘤医院,9.9,198,,￥50,
4,滕胜,  副主任医师,肿瘤科,骨与软组织肿瘤科,天津市肿瘤医院,9.9,121,,￥20,
5,邢汝维,  副主任医师,肿瘤科,骨与软组织肿瘤科,天津市肿瘤医院,9.6,37,,￥20,
6,吴强,  副主任医师,肿瘤科,骨与软组织肿瘤科,华中科技大学同济医学院附属协和医院,9.7,70,专家团队,￥80,
7,唐顺,  主任医师,肿瘤科,骨与软组织肿瘤科,北京大学人民医院,10.0,13,,￥60,
8,郭天慧,  住院医师,肿瘤科,骨与软组织肿瘤科,中山大学附属肿瘤医院,10.0,23,,￥30,
9,郑炳鑫,  主治医师,肿瘤科,骨与软组织肿瘤科,青岛大学附属医院崂山院区,10.0,166,,￥200,
10,张超,  主治医师,肿瘤科,骨与软组织肿瘤科,天津市肿瘤医院,10.0,16,,￥10,
11,李大森,  主任医师,肿瘤科,骨与软组织肿瘤科,北京大学人民医院,10.0,120,,￥100,
12,蔡维泺,  主治医师,肿瘤科,骨与软组织肿瘤科,复旦大学附属肿瘤医院徐汇院区,9.9,180,,￥50,￥100
13,燕太强,  主任医师,肿瘤科,骨与软组织肿瘤科,北京大学人民医院,9.8,73,,￥50,
14,陈国景,  副主任医师,肿瘤科,骨与软组织肿瘤科,西京医院,10.0,90,专家团队,￥50,￥30
15,江仁兵,  主任医师,肿瘤科,骨与软组织肿瘤科,新疆维吾尔自治区肿瘤医院,10.0,26,专家团队,￥50,
16,王春萌,  副主任医师,肿瘤科,骨与软组织肿瘤科,复旦大学附属肿瘤医院徐汇院区,9.5,680,,￥150,
17,范宏斌,  副主任医师,肿瘤科,骨与软组织肿瘤科,西京医院,9.8,58,专家团队,￥30,
18,刘思源,  主任医师,肿瘤科,骨与软组织肿瘤科,河北医科大学第三医院,10.0,63,专家团队,￥50,￥50
19,黄智勇,  主任医师,肿瘤科,骨与软组织肿瘤科,重庆大学附属肿瘤医院,10.0,17,,￥30,
20,黄稳定,  副主任医师,肿瘤科,骨与软组织肿瘤科,复旦大学附属肿瘤医院徐汇院区,10.0,57,,￥50,
21,徐绍年,  主任医师,肿瘤科,骨与软组织肿瘤科,辽宁省人民医院,10.0,14,专家团队,￥50,
22,高天,  副主任医师,肿瘤科,骨与软组织肿瘤科,北京大学肿瘤医院,10.0,172,,￥150,
23,姬涛,  主任医师,肿瘤科,骨与软组织肿瘤科,北京大学人民医院,9.4,37,,￥60,￥200
