,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,王子兵,  主治医师,营养科,营养科,潍坊市人民医院,10.0,2307,,￥25,￥80
1,潘莉雅,  主治医师,营养科,营养科,上海儿童医学中心,10.0,78,,￥0,￥200
2,胡小翠,  主任医师,营养科,营养科,湖南省肿瘤医院,10.0,655,,￥78,￥50
3,冯一,  副主任医师,营养科,营养科,上海交通大学医学院附属新华医院,9.9,355,,￥100,
4,杨艳晖,  副主任医师,营养科,营养科,哈尔滨医科大学附属第二医院,10.0,38,,￥30,
5,陈妍,  主任医师,营养科,营养科,江苏省肿瘤医院,10.0,130,,￥20,
6,项琦,  主治医师,营养科,营养科,天津市安定医院,10.0,703,,￥20,￥20
7,宋新,  主治医师,营养科,营养科,首都医科大学附属北京朝阳医院,9.7,35,专家团队,￥30,
8,窦攀,  副主任医师,营养科,营养科,北京大学第一医院,10.0,11,,￥138,
9,张景,  副主任医师,营养科,营养科,徐州市儿童医院,10.0,79,,￥29,
10,胡若梅,  副主任医师,营养科,营养科,天津医院,,19,,￥20,￥60
11,冯艳,  副主任医师,营养科,营养科,烟台毓璜顶医院,9.9,65,,￥55,￥88
12,冯钰婷,  医师,营养科,营养科,浙江省新华医院,10.0,11,,￥599,
13,赵悦彤,  主治医师,营养科,营养科,北京大学第一医院,,1,,￥80,
14,单晶,  主治医师,营养科,营养科,安徽省儿童医院,,4,,￥20,
15,蔡骏,  主任医师,营养科,营养科,上海中医药大学附属龙华医院,9.4,21,,￥100,
16,汤庆娅,  主任医师,营养科,营养科,上海交通大学医学院附属新华医院,9.5,62,,￥200,￥500
17,陈辉,  主任医师,营养科,营养科,无锡市第二人民医院,10.0,16,,￥60,￥120
18,孙文广,  主任医师,营养科,营养科,中国福利会国际和平妇幼保健院,9.9,144,,￥80,
19,王洪青,  主任医师,营养科,营养科,徐州市儿童医院,9.9,383,,￥45,￥50
20,马保海,  副主任医师,营养科,营养科,潍坊市妇幼保健院,,2,,￥30,
21,张婉媛,  副主任医师,营养科,营养科,合肥市第一人民医院,10.0,352,,￥30,
22,蔡红琳,  副主任医师,营养科,营养科,华中科技大学同济医学院附属协和医院,9.5,163,专家团队,￥100,￥200
23,曲庆兰,  主任医师,营养科,营养科,烟台毓璜顶医院,9.8,3592,专家团队,￥50,
24,付欢欢,  主治医师,营养科,营养科,上海儿童医学中心,9.9,91,,￥0,￥200
25,任凯文,  医师,营养科,营养科,湖州市中心医院,9.9,76,,￥15,
26,焉雨濛,  主治医师,营养科,营养科,中国医科大学附属盛京医院南湖院区,10.0,46,,￥30,
27,郭玉文,  副主任医师,营养科,营养科,天津医科大学第二医院,,18,,￥30,
28,赵洪伟,  副主任医师,营养科,营养科,吉林省脑科医院,10.0,8,,￥20,
29,康瑞雪,  住院医师,营养科,营养科,天津医院,,2,,￥10,
30,张萌,  主任医师,营养科,营养科,新余市人民医院,,2,,￥20,
31,郑颖嘉,  主治医师,营养科,营养科,汕头市中心医院,,15,,￥50,
32,胡华芸,  副主任医师,营养科,营养科,广东省妇幼保健院番禺院区,10.0,12859,,￥50,￥100
33,林惠芳,  主治医师,营养科,营养科,广东省妇幼保健院番禺院区,10.0,470,,￥30,
34,王卫光,  主治医师,营养科,营养科,浙江省浙江医院,10.0,212,,￥35,￥50
35,吴锦晖,  主治医师,营养科,营养科,广州市妇女儿童医疗中心(广州市儿童医院),10.0,30,,￥50,
36,李艳玲,  主任医师,营养科,营养科,天津中医药大学第一附属医院,10.0,423,,￥30,
37,孔娟,  主任医师,营养科,营养科,中国医科大学附属盛京医院南湖院区,10.0,9,专家团队,￥30,
38,丁胜,  副主任医师,营养科,营养科,武汉市中心医院后湖院区,9.9,351,,￥30,
39,刘展,  主任医师,营养科,营养科,湖南省人民医院,10.0,16,,￥40,
40,彭武江,  副主任医师,营养科,营养科,广东省妇幼保健院番禺院区,9.9,688,,￥50,￥100
41,刘海珍,  副主任医师,营养科,营养科,潍坊市人民医院,,61,,￥20,
42,吴萍,  主任医师,营养科,营养科,上海市同济医院,10.0,255,,￥298,￥498
43,李荣,  副主任医师,营养科,营养科,南京市儿童医院,9.9,1347,专家团队,￥100,￥200
44,阮慧娟,  主治医师,营养科,营养科,上海交通大学医学院附属新华医院,9.9,98,,￥118,￥200
45,鲍雷,  主治医师,营养科,营养科,北京大学国际医院,,4,,￥20,
46,冉亮,  副主任医师,营养科,营养科,重庆医科大学附属第一医院,,6,,￥50,
47,贺雪姣,  主治医师,营养科,营养科,石家庄市妇产医院,10.0,511,,￥20,
48,甘志明,  住院医师,营养科,营养科,昆明医科大学第一附属医院,,2,,￥9,
49,周春凌,  主任医师,营养科,营养科,哈尔滨医科大学附属第四医院,,2,,￥100,
50,郭荣鑫,  主治医师,营养科,营养科,南方医科大学深圳医院,,2,,￥50,
51,许淑芳,  副主任医师,营养科,营养科,武汉市中心医院南京路院区,10.0,39,,￥20,￥50
52,陆春玲,  主任医师,营养科,营养科,河北医科大学附属以岭医院,10.0,27,,￥59,￥200
53,柯海劲,  主任医师,营养科,营养科,广东省妇幼保健院番禺院区,9.9,962,,￥80,
54,金焱,  主治医师,营养科,营养科,中国福利会国际和平妇幼保健院,10.0,103,,￥30,￥88
55,程梦婕,  主治医师,营养科,营养科,武汉大学人民医院,,2,,￥59,
56,胡海英,  副主任医师,营养科,营养科,浙江大学医学院附属第二医院解放路院区,10.0,68,,￥200,￥200
57,张雅莉,  副主任医师,营养科,营养科,淮安市第二人民医院,10.0,37,专家团队,￥21,￥80
58,陈梦莹,  副主任医师,营养科,营养科,南京市儿童医院,9.8,535,,￥80,￥300
59,姚颖,  主任医师,营养科,营养科,华中科技大学同济医学院附属同济医院,9.6,105,专家团队,￥50,
60,车千红,  副主任医师,营养科,营养科,中国医科大学附属盛京医院南湖院区,9.8,219,,￥35,
61,汤丽芬,  主治医师,营养科,营养科,安徽中医药大学第一附属医院,10.0,40,,￥30,
62,陈启众,  副主任医师,营养科,营养科,宁夏医科大学总医院,10.0,15,,￥20,
63,陈刘芳,  副主任医师,营养科,营养科,南方医科大学深圳医院,,5,,￥50,
64,张旭艳,  副主任医师,营养科,营养科,武汉市中心医院后湖院区,9.9,201,,￥30,
65,韩磊,  主任医师,营养科,营养科,青岛大学附属医院市南院区,9.5,57,,￥50,
66,王海生,  主治医师,营养科,营养科,中国人民武装警察部队特色医学中心,9.9,22,专家团队,￥30,￥200
67,胡萍,  主治医师,营养科,营养科,湖南省肿瘤医院,10.0,45,,￥20,￥100
68,付娟,  医师,营养科,营养科,武汉市第三医院光谷院区,9.7,26,专家团队,￥5,
69,冯磊,  主任医师,营养科,营养科,浙江大学医学院附属妇产科医院,10.0,43,,￥50,￥100
